split,arm,seed,n,Exact,MAE,Signed_Bias,absolute_Signed_Bias,Kendall_tau_b,QWK,L2H_rate,H2L_rate,Label_1_Recall,Label_2_Recall,Label_3_Recall,Label_4_Recall,Label_5_Recall,forced_completion_rate,strict_parse_rate,L2H_count,low_n,H2L_count,high_n,forced_completion_count,confusion_matrix_gold_rows_pred_columns,Label_1_n,Label_1_correct_count,Label_2_n,Label_2_correct_count,Label_3_n,Label_3_correct_count,Label_4_n,Label_4_correct_count,Label_5_n,Label_5_correct_count
dev,P2_SORC_SCORE,44,664,0.7093373493975904,0.3358433734939759,0.09487951807228916,0.09487951807228916,0.5974012422381003,0.6023578272670788,0.5,0.005154639175257732,0.5,0.07142857142857142,0.25806451612903225,0.7046413502109705,0.8231884057971014,0.23042168674698796,1.0,10,20,3,582,153,"[[3, 0, 1, 1, 1], [0, 1, 5, 8, 0], [0, 0, 16, 34, 12], [1, 2, 12, 167, 55], [0, 0, 0, 61, 284]]",6,3,14,1,62,16,237,167,345,284
dev,P3_JOINT_SORC,42,664,0.7093373493975904,0.338855421686747,0.10993975903614457,0.10993975903614457,0.5966491076376521,0.6182459868695686,0.4,0.006872852233676976,0.8333333333333334,0.0,0.20967741935483872,0.6666666666666666,0.855072463768116,0.24096385542168675,1.0,8,20,4,582,160,"[[5, 0, 1, 0, 0], [2, 0, 4, 6, 2], [0, 0, 13, 36, 13], [2, 1, 13, 158, 63], [1, 0, 0, 49, 295]]",6,5,14,0,62,13,237,158,345,295
dev,P3_JOINT_SORC,43,664,0.7078313253012049,0.3313253012048193,0.08132530120481928,0.08132530120481928,0.6078672799416239,0.6559753409948452,0.35,0.006872852233676976,0.8333333333333334,0.14285714285714285,0.22580645161290322,0.6835443037974683,0.8318840579710145,0.05572289156626506,1.0,7,20,4,582,37,"[[5, 0, 1, 0, 0], [2, 2, 3, 7, 0], [1, 0, 14, 36, 11], [2, 2, 11, 162, 60], [0, 0, 0, 58, 287]]",6,5,14,2,62,14,237,162,345,287
dev,P3_JOINT_SORC,44,664,0.7093373493975904,0.33433734939759036,0.09939759036144578,0.09939759036144578,0.5988703001832983,0.6036636822064423,0.5,0.003436426116838488,0.5,0.07142857142857142,0.24193548387096775,0.7046413502109705,0.8260869565217391,0.19879518072289157,1.0,10,20,2,582,132,"[[3, 0, 1, 1, 1], [0, 1, 5, 8, 0], [0, 0, 15, 35, 12], [1, 1, 13, 167, 55], [0, 0, 0, 60, 285]]",6,3,14,1,62,15,237,167,345,285
test,P0_R3_SFT,42,2218,0.7267808836789901,0.3575293056807935,0.16275924256086566,0.16275924256086566,0.5723850264347617,0.5334483621042345,0.5922330097087378,0.0015616866215512754,0.4107142857142857,0.0,0.23195876288659795,0.7152777777777778,0.8567860116569526,0.21866546438232642,1.0,61,103,3,1921,485,"[[23, 0, 2, 4, 27], [0, 0, 17, 10, 20], [1, 1, 45, 109, 38], [0, 1, 33, 515, 171], [0, 2, 2, 168, 1029]]",56,23,47,0,194,45,720,515,1201,1029
test,P0_R3_SFT,43,2218,0.7285843101893598,0.3295761947700631,0.13931469792605952,0.13931469792605952,0.6071731548910891,0.6401762231988257,0.46601941747572817,0.0,0.6785714285714286,0.0,0.17525773195876287,0.725,0.8509575353871773,0.0545536519386835,1.0,48,103,0,1921,121,"[[38, 0, 0, 5, 13], [1, 0, 16, 16, 14], [1, 0, 34, 126, 33], [0, 0, 27, 522, 171], [0, 0, 2, 177, 1022]]",56,38,47,0,194,34,720,522,1201,1022
test,P0_R3_SFT,44,2218,0.7100991884580703,0.3836789900811542,0.19972948602344454,0.19972948602344454,0.5765116645791568,0.42729563468386444,0.8349514563106796,0.0,0.0,0.0,0.13917525773195877,0.7361111111111112,0.8476269775187344,0.18169522091974752,1.0,86,103,0,1921,403,"[[0, 0, 0, 33, 23], [0, 0, 17, 19, 11], [0, 0, 27, 136, 31], [0, 0, 20, 530, 170], [0, 0, 1, 182, 1018]]",56,0,47,0,194,27,720,530,1201,1018
test,P1_FIELD_DPO,42,2218,0.7299368800721371,0.33994589720468893,0.13525698827772767,0.13525698827772767,0.5979877398263171,0.6046654260048674,0.49514563106796117,0.0026028110359187923,0.5535714285714286,0.02127659574468085,0.2422680412371134,0.7152777777777778,0.8534554537885096,0.22317403065825067,1.0,51,103,5,1921,495,"[[31, 2, 0, 6, 17], [0, 1, 18, 10, 18], [2, 1, 47, 109, 35], [1, 2, 34, 515, 168], [0, 2, 1, 173, 1025]]",56,31,47,1,194,47,720,515,1201,1025
test,P1_FIELD_DPO,43,2218,0.7339945897204689,0.31199278629395855,0.109107303877367,0.109107303877367,0.6293572039428188,0.7015163142905985,0.34951456310679613,0.0015616866215512754,0.8214285714285714,0.0,0.22164948453608246,0.7166666666666667,0.8517901748542881,0.062218214607754736,1.0,36,103,3,1921,138,"[[46, 2, 0, 2, 6], [1, 0, 18, 15, 13], [1, 2, 43, 115, 33], [0, 3, 34, 516, 167], [0, 0, 2, 176, 1023]]",56,46,47,0,194,43,720,516,1201,1023
test,P1_FIELD_DPO,44,2218,0.7218214607754734,0.345356176735798,0.13796212804328223,0.13796212804328223,0.6077079519746146,0.5807060528730137,0.5631067961165048,0.0,0.375,0.02127659574468085,0.19072164948453607,0.7416666666666667,0.839300582847627,0.19161406672678089,1.0,58,103,0,1921,425,"[[21, 2, 0, 13, 20], [2, 1, 19, 17, 8], [2, 0, 37, 129, 26], [0, 0, 29, 534, 157], [0, 0, 2, 191, 1008]]",56,21,47,1,194,37,720,534,1201,1008
test,P2_SORC_SCORE,42,2218,0.7317403065825068,0.33543733092876465,0.12623985572587917,0.12623985572587917,0.6009009141834507,0.6194051128575411,0.46601941747572817,0.0026028110359187923,0.6071428571428571,0.02127659574468085,0.26804123711340205,0.7138888888888889,0.8509575353871773,0.21866546438232642,1.0,48,103,5,1921,485,"[[34, 1, 1, 4, 16], [0, 1, 18, 10, 18], [2, 0, 52, 105, 35], [1, 2, 37, 514, 166], [0, 2, 1, 176, 1022]]",56,34,47,1,194,52,720,514,1201,1022
test,P2_SORC_SCORE,43,2218,0.7330928764652841,0.31154192966636607,0.10324616771866546,0.10324616771866546,0.6302410270095415,0.7069802742818387,0.33980582524271846,0.002082248828735034,0.8392857142857143,0.0,0.2422680412371134,0.7111111111111111,0.8492922564529559,0.059963931469792606,1.0,35,103,4,1921,133,"[[47, 2, 0, 2, 5], [1, 0, 18, 15, 13], [1, 0, 47, 114, 32], [0, 4, 37, 512, 167], [0, 0, 2, 179, 1020]]",56,47,47,0,194,47,720,512,1201,1020
test,P2_SORC_SCORE,44,2218,0.7249774571686204,0.3408476104598738,0.13165013525698827,0.13165013525698827,0.6093400489266826,0.5918047227568823,0.5436893203883495,0.0,0.4107142857142857,0.02127659574468085,0.23195876288659795,0.7375,0.839300582847627,0.18800721370604148,1.0,56,103,0,1921,417,"[[23, 1, 0, 12, 20], [3, 1, 19, 16, 8], [1, 0, 45, 122, 26], [0, 0, 31, 531, 158], [0, 0, 3, 190, 1008]]",56,23,47,1,194,45,720,531,1201,1008
test,P3_JOINT_SORC,42,2218,0.7353471596032461,0.3246167718665464,0.12263300270513977,0.12263300270513977,0.6092266194382253,0.6522619350913712,0.4077669902912621,0.002082248828735034,0.7142857142857143,0.02127659574468085,0.25773195876288657,0.7125,0.855120732722731,0.21009918845807032,1.0,42,103,4,1921,466,"[[40, 1, 1, 2, 12], [0, 1, 18, 9, 19], [2, 0, 50, 107, 35], [0, 2, 36, 513, 169], [0, 2, 2, 170, 1027]]",56,40,47,1,194,50,720,513,1201,1027
test,P3_JOINT_SORC,43,2218,0.7348963029756538,0.30297565374211,0.09918845807033363,0.09918845807033363,0.6392693300812521,0.7317155060480305,0.30097087378640774,0.0015616866215512754,0.9107142857142857,0.0,0.21649484536082475,0.7208333333333333,0.8476269775187344,0.05049594229035167,1.0,31,103,3,1921,112,"[[51, 2, 0, 2, 1], [1, 0, 18, 16, 12], [1, 0, 42, 120, 31], [0, 3, 32, 519, 166], [0, 0, 2, 181, 1018]]",56,51,47,0,194,42,720,519,1201,1018
test,P3_JOINT_SORC,44,2218,0.7231740306582507,0.3412984670874662,0.13480613165013525,0.13480613165013525,0.6122216331578277,0.5918804170499434,0.5436893203883495,0.0,0.39285714285714285,0.02127659574468085,0.20618556701030927,0.7375,0.8409658617818485,0.17673579801623085,1.0,56,103,0,1921,392,"[[22, 2, 0, 12, 20], [3, 1, 19, 16, 8], [1, 1, 40, 128, 24], [0, 0, 30, 531, 159], [0, 0, 2, 189, 1010]]",56,22,47,1,194,40,720,531,1201,1010
test,R3_TOKENAVG,42,2218,0.7028854824165915,0.4012623985572588,0.18575293056807934,0.18575293056807934,0.5191680282385104,0.41764440182189166,0.7184466019417476,0.0,0.14285714285714285,0.02127659574468085,0.28350515463917525,0.6611111111111111,0.8484596169858452,0.14337240757439135,1.0,74,103,0,1921,318,"[[8, 0, 2, 3, 43], [0, 1, 18, 10, 18], [0, 1, 55, 100, 38], [0, 0, 46, 476, 198], [0, 0, 10, 172, 1019]]",56,8,47,1,194,55,720,476,1201,1019
test,R3_TOKENAVG,43,2218,0.71190261496844,0.3575293056807935,0.13300270513976556,0.13300270513976556,0.5694256787866381,0.6022885323992022,0.47572815533980584,0.0,0.5892857142857143,0.02127659574468085,0.30412371134020616,0.6527777777777778,0.8459616985845129,0.4508566275924256,1.0,49,103,0,1921,1000,"[[33, 0, 1, 7, 15], [0, 1, 19, 9, 18], [0, 1, 59, 96, 38], [0, 0, 52, 470, 198], [0, 0, 11, 174, 1016]]",56,33,47,1,194,59,720,470,1201,1016
test,R3_TOKENAVG,44,2218,0.7024346257889991,0.4035166816952209,0.19161406672678089,0.19161406672678089,0.5308468589623505,0.3852233312633476,0.8349514563106796,0.0,0.0,0.02127659574468085,0.22164948453608246,0.7055555555555556,0.8376353039134055,0.12398557258791704,1.0,86,103,0,1921,275,"[[0, 0, 0, 22, 34], [0, 1, 16, 13, 17], [0, 1, 43, 115, 35], [0, 0, 32, 508, 180], [0, 0, 7, 188, 1006]]",56,0,47,1,194,43,720,508,1201,1006
test,P1_FULLSEQ,42,2218,0.7294860234445446,0.3503155996393147,0.15825067628494138,0.15825067628494138,0.5803015409146696,0.5555530463913351,0.5533980582524272,0.0015616866215512754,0.44642857142857145,0.02127659574468085,0.25257731958762886,0.7111111111111111,0.858451290591174,0.23895401262398558,1.0,57,103,3,1921,530,"[[25, 0, 2, 4, 25], [0, 1, 18, 9, 19], [1, 1, 49, 105, 38], [0, 1, 33, 512, 174], [0, 2, 1, 167, 1031]]",56,25,47,1,194,49,720,512,1201,1031
test,P1_FULLSEQ,43,2218,0.7303877366997295,0.3246167718665464,0.13345356176735798,0.13345356176735798,0.6107224595608145,0.6542934175134945,0.4174757281553398,0.0,0.6964285714285714,0.0,0.20618556701030927,0.7194444444444444,0.8517901748542881,0.08385933273219116,1.0,43,103,0,1921,186,"[[39, 1, 1, 2, 13], [1, 0, 18, 14, 14], [1, 0, 40, 120, 33], [0, 0, 29, 518, 173], [0, 0, 2, 176, 1023]]",56,39,47,0,194,40,720,518,1201,1023
test,P1_FULLSEQ,44,2218,0.7114517583408476,0.37736699729486023,0.18981064021641117,0.18981064021641117,0.5797625138754445,0.458056154458655,0.7864077669902912,0.0,0.08928571428571429,0.0,0.15463917525773196,0.7291666666666666,0.8476269775187344,0.28268710550045084,1.0,81,103,0,1921,627,"[[5, 0, 0, 27, 24], [0, 0, 17, 20, 10], [0, 0, 30, 134, 30], [0, 0, 24, 525, 171], [0, 0, 1, 182, 1018]]",56,5,47,0,194,30,720,525,1201,1018
test,P1_SYN_LR5E6,42,2218,0.7330928764652841,0.348512173128945,0.18620378719567177,0.18620378719567177,0.5870778124780951,0.5466928228123732,0.5728155339805825,0.0015616866215512754,0.42857142857142855,0.02127659574468085,0.18556701030927836,0.7069444444444445,0.8792672772689425,0.19251577998196573,1.0,59,103,3,1921,427,"[[24, 1, 1, 3, 27], [0, 1, 17, 10, 19], [2, 0, 36, 118, 38], [0, 1, 25, 509, 185], [0, 2, 0, 143, 1056]]",56,24,47,1,194,36,720,509,1201,1056
test,P1_SYN_LR5E6,43,2218,0.7299368800721371,0.32281334535617673,0.14337240757439135,0.14337240757439135,0.614934417336187,0.6649543935730631,0.39805825242718446,0.0005205622071837585,0.7321428571428571,0.0,0.17525773195876287,0.7041666666666667,0.8634471273938384,0.05004508566275924,1.0,41,103,1,1921,111,"[[41, 2, 0, 2, 11], [1, 0, 18, 13, 15], [1, 0, 34, 126, 33], [0, 1, 28, 507, 184], [0, 0, 2, 162, 1037]]",56,41,47,0,194,34,720,507,1201,1037
test,P1_SYN_LR5E6,44,2218,0.7128043282236249,0.37962128043282234,0.20559062218214608,0.20559062218214608,0.5708068417785671,0.44386700815828883,0.7669902912621359,0.0,0.08928571428571429,0.02127659574468085,0.13402061855670103,0.7194444444444444,0.858451290591174,0.16275924256086566,1.0,79,103,0,1921,361,"[[5, 0, 0, 20, 31], [1, 1, 17, 17, 11], [1, 0, 26, 135, 32], [0, 0, 20, 518, 182], [0, 0, 0, 170, 1031]]",56,5,47,1,194,26,720,518,1201,1031
