sample_id,candidate_pool,gold_label,generated_count,score_risk_rejected_count,evidence_inconsistency_rejected_count,used_score_risk_pairs,used_evidence_pairs,failure_mode_auto,metric,language
ef7be96d3b20f985cb175937b67d094d4d204dcc,pool_a_strict_d1_like_low,2,70,12,0,12,0,surface_fluent_but_hidden_defect,Scenario Element Integration,en
7b2343c0fac6f79059007d116f746842fe6a6637,pool_a_strict_d1_like_low,1,72,18,0,12,0,insufficient_evidence,Reasoning Process Rigor,en
bd384e01426757c4dd86e755a75d5ef86fe6e59f,pool_a_strict_d1_like_low,1,72,13,0,12,0,insufficient_evidence,Reasoning Process Rigor,en
f0c923e09065792432b0f588a7eb74ea86409797,pool_a_strict_d1_like_low,2,60,7,0,7,0,missing_key_point,"Motivation, Guidance & Positive Feedback",zh
ccdab1ce8e955bdbf2224a22c0f14a10db6718ab,pool_a_strict_d1_like_low,2,72,13,0,12,0,surface_fluent_but_hidden_defect,Scenario Element Integration,en
02169e6cc6f86f682c0b04047827e32859533603,pool_a_strict_d1_like_low,2,72,20,0,12,0,insufficient_evidence,Scenario Element Integration,en
9b98fbe73d713149b38df9e497e2ad0a0a022c91,pool_a_strict_d1_like_low,2,71,12,0,12,0,insufficient_evidence,Higher-Order Thinking & Skill Development,en
ba114a1a8452ac012af5a1940b242d85f38538d3,pool_a_strict_d1_like_low,2,66,9,0,9,0,surface_fluent_but_hidden_defect,"Motivation, Guidance & Positive Feedback",en
90ed1a72c758f575b39f863d5ac03313ac9b197e,pool_a_strict_d1_like_low,1,65,13,0,12,0,surface_fluent_but_hidden_defect,Error Identification & Correction Precision,zh
1c013ab584f1c5a49f0e03d8517d29eb909322be,pool_a_strict_d1_like_low,1,60,11,0,11,0,surface_fluent_but_hidden_defect,Error Identification & Correction Precision,zh
17e0ba51820c815389e5f672d6bed2ca748a8775,pool_a_strict_d1_like_low,2,61,3,0,3,0,surface_fluent_but_hidden_defect,Error Identification & Correction Precision,zh
89f8c6ed8c1b947a44510dcc18b38a1d97571453,pool_a_strict_d1_like_low,2,60,10,0,10,0,surface_fluent_but_hidden_defect,Basic Factual Accuracy,zh
bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,pool_a_strict_d1_like_low,2,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,zh
f33e86ba6eaa5281c801dea1ed174135a7d4c0da,pool_a_strict_d1_like_low,2,60,0,0,0,0,surface_fluent_but_hidden_defect,Basic Factual Accuracy,zh
b5f54f2d11493dd41a74e9e2274d26451a958dcc,pool_a_strict_d1_like_low,1,60,0,0,0,0,surface_fluent_but_hidden_defect,Content Relevance & Scope Control,zh
e2c88c65f2542bab93dbf50c022a42b356f788d2,pool_a_strict_d1_like_low,1,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,zh
4f22bf04948dfebf09ef963ef74d98df56ffdb57,pool_a_strict_d1_like_low,1,60,0,0,0,0,surface_fluent_but_hidden_defect,Error Identification & Correction Precision,zh
378f7b2160c791b11e16c3dd68d76ed1363a3ff6,pool_a_strict_d1_like_low,2,60,4,0,4,0,surface_fluent_but_hidden_defect,"Motivation, Guidance & Positive Feedback",zh
63ab64773fb76fbe6cba302eed79041a8316bb7c,pool_a_strict_d1_like_low,2,60,1,0,1,0,surface_fluent_but_hidden_defect,"Motivation, Guidance & Positive Feedback",zh
4c1781a47196920cfbd9a98a60533436add7af41,pool_a_strict_d1_like_low,1,65,3,0,3,0,missing_key_point,Reasoning Process Rigor,en
1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,pool_a_strict_d1_like_low,1,60,3,0,3,0,surface_fluent_but_hidden_defect,Error Identification & Correction Precision,zh
630a88341b60ad40afcd43bf6bf3967c515b8803,pool_a_strict_d1_like_low,2,60,0,0,0,0,surface_fluent_but_hidden_defect,"Motivation, Guidance & Positive Feedback",zh
c0d4f41ccf2066449887e86887cb7b8903269b2a,pool_a_strict_d1_like_low,2,64,3,0,3,0,surface_fluent_but_hidden_defect,Content Relevance & Scope Control,zh
1bd5e1ce094da34aea6531591c2674bd221634b6,pool_a_strict_d1_like_low,2,68,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,zh
0c74a66a6f9ecee5580723b73f7741a8f05e1352,pool_a_strict_d1_like_low,1,64,5,0,5,0,surface_fluent_but_hidden_defect,Error Identification & Correction Precision,zh
b21b8c3ac37ecaa0e26ae36e530a7f7c75594d53,pool_a_strict_d1_like_low,1,65,3,0,3,0,missing_key_point,Reasoning Process Rigor,en
a2963f0bafecf877ce9d9f85ccd07d324522a500,pool_a_strict_d1_like_low,1,70,8,0,8,0,insufficient_evidence,Reasoning Process Rigor,en
a5b40ba0a800e6ec0da88e7d0591d092caa41ae1,pool_a_strict_d1_like_low,2,60,0,0,0,0,missing_key_point,"Motivation, Guidance & Positive Feedback",zh
76909e50052e68bb729ed62933a86559f6a7c036,pool_a_strict_d1_like_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,en
2805e4237ccaed90f917ee91a5c2c44743bbd1b1,pool_a_strict_d1_like_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,en
8b2201addbda2de262f29b819d9d4a430827f8c8,pool_a_strict_d1_like_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,zh
3e6317e0a4cd57573a6c971fc945cfc7ee52148a,pool_a_strict_d1_like_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,en
4042b14600691c9b29b70d916e9db910c058d891,pool_a_strict_d1_like_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,en
6a65ddfebb3698d3eb20f814a761580fa2f8be48,pool_a_strict_d1_like_low,2,72,5,0,5,0,surface_fluent_but_hidden_defect,Content Relevance & Scope Control,en
44a426bf4f453df7ea5b7ac85d6f0e801f9ba296,pool_a_strict_d1_like_low,1,72,1,0,1,0,missing_key_point,Reasoning Process Rigor,en
6358300a1312a268220578a420e801d4c75e9525,pool_a_strict_d1_like_low,1,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,en
d7038665e81daff68cadf97e16d4c3e3c3fe543d,pool_a_strict_d1_like_low,1,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,en
74489511928922f9b0aa06c74a3c42dabf84217e,pool_a_strict_d1_like_low,1,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,en
5680bbfccbc4637e7c9c7e3d63698aaf2b4fa213,pool_a_strict_d1_like_low,1,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,en
0578273c54e1a724084529ebbc385f1bdd1076ea,pool_a_strict_d1_like_low,1,72,4,0,4,0,surface_fluent_but_hidden_defect,Basic Factual Accuracy,en
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,pool_a_strict_d1_like_low,1,72,0,0,0,0,missing_key_point,Reasoning Process Rigor,en
9473740ab3e011ac08772a84e106e72f4d38f137,pool_a_strict_d1_like_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,en
9695560e94c04bb151b514cc850a85eb10394a00,pool_a_strict_d1_like_low,1,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,zh
198938e2f622bb0de4883a3dc7e56f75c8a0dc9b,pool_a_strict_d1_like_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,en
674bc19324921890f8c1245b4760b0909fc05534,pool_a_strict_d1_like_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,en
eca00ddc55d718efe2435adde78462ed09661b7c,pool_a_strict_d1_like_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,zh
4d02a34fe7fc1a2f65e5defcbeec26283b13ada9,pool_a_strict_d1_like_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,zh
61ce1005760ba6b25779f26dec03b15d4d61f5ec,pool_a_strict_d1_like_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,zh
cc218e690fef26eec817bb03c4ad9a759d05825e,pool_a_strict_d1_like_low,1,61,0,0,0,0,missing_key_point,Reasoning Process Rigor,zh
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,pool_b_all_train_low,2,65,40,0,12,0,unclear,Content Relevance & Scope Control,en
61725aede8ed2f1879dae36d9b4f8a751b64787b,pool_b_all_train_low,2,70,9,0,9,0,unclear,Scenario Element Integration,en
971ddfe627f76a7b8e9a9e2c3def60171e09b44a,pool_b_all_train_low,2,71,12,0,12,0,unclear,Higher-Order Thinking & Skill Development,en
06861366641747d8214ceee8efb257daab5915fd,pool_b_all_train_low,2,71,15,0,12,0,unclear,Scenario Element Integration,en
c17a610f41afcb064ec903fbafb4e67c2fafd59e,pool_b_all_train_low,2,68,20,0,12,0,unclear,Scenario Element Integration,en
49318c4f0d2ec2244ac543b0db468afaf9a85d1b,pool_b_all_train_low,1,71,47,0,12,0,unclear,Reasoning Process Rigor,en
6cc46157fcf2aa5b87cd72293be48481a7e5dacc,pool_b_all_train_low,2,72,16,0,12,0,task_constraint_violation,Instruction Following & Task Completion,en
0a2cdf9b3f6bdc6f89db168c31be1e2a31b9ba5e,pool_b_all_train_low,2,71,15,0,12,0,unclear,Error Identification & Correction Precision,en
3f9f3a828b886a38e49aaea66516138ddb71f9d8,pool_b_all_train_low,2,70,12,0,12,0,unclear,Scenario Element Integration,en
4153d3a9a2b62778bf32e38aa33be57d0215987d,pool_b_all_train_low,2,60,3,0,3,0,unclear,"Motivation, Guidance & Positive Feedback",en
365e8b4c9ee703d23dee95e59be31577a15cacc8,pool_b_all_train_low,2,72,16,0,12,0,task_constraint_violation,Higher-Order Thinking & Skill Development,en
1947f424625d896777f4dbddef16ab9afb7730aa,pool_b_all_train_low,1,72,15,0,12,0,unclear,Reasoning Process Rigor,en
ffbcfd835bce6f2c49e6ba425055824d75949505,pool_b_all_train_low,2,65,41,0,12,0,unclear,Reasoning Process Rigor,en
3bcc02fdb1dc40baccc625e0649658243cccf44d,pool_b_all_train_low,2,60,16,0,12,0,unclear,Basic Factual Accuracy,zh
3b5a8c4295de94d52db9f719bd2bf0ff725b74bc,pool_b_all_train_low,2,71,18,0,12,0,unclear,Higher-Order Thinking & Skill Development,en
bc6c8aae4e012e80e2052e4e76cb7093dc61ed19,pool_b_all_train_low,2,72,23,0,12,0,unclear,Scenario Element Integration,en
59057a57e3dbc47128b4e0c6da46964f722a411f,pool_b_all_train_low,2,67,8,0,8,0,unclear,"Motivation, Guidance & Positive Feedback",en
92910121cc180752d916f726d12fa5537c40dd88,pool_b_all_train_low,2,72,14,0,12,0,unclear,Scenario Element Integration,en
b32ef4e0d4df64758a36c00f66d44107809101c3,pool_b_all_train_low,2,72,12,0,12,0,unclear,Higher-Order Thinking & Skill Development,en
f5dbe00c4a0fb5c4c818e8c652cdcdec09c3d65a,pool_b_all_train_low,2,60,8,0,8,0,unclear,"Motivation, Guidance & Positive Feedback",zh
18551ba0c6e7b3ad2bd30333ae0aad09b79b9c98,pool_b_all_train_low,2,63,1,0,1,0,answer_key_or_reference_mismatch,Basic Factual Accuracy,zh
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,pool_b_all_train_low,2,60,5,0,5,0,format_violation,Instruction Following & Task Completion,zh
f54280d4caeef0bdadc941acfcd5f7fede5d6838,pool_b_all_train_low,1,60,2,0,2,0,task_constraint_violation,Instruction Following & Task Completion,zh
9fdf5ac4ce9e42b699e040bcc32841d72d8c9e07,pool_b_all_train_low,1,60,0,0,0,0,answer_key_or_reference_mismatch,Basic Factual Accuracy,zh
08554936f4982f9a49b0ecb237ab00fa29370010,pool_b_all_train_low,2,60,3,0,3,0,format_violation,Error Identification & Correction Precision,zh
34d1c2d12a4242a8a26ed4f998ae1f08b3210cdf,pool_b_all_train_low,1,64,0,0,0,0,answer_key_or_reference_mismatch,Basic Factual Accuracy,zh
994d4e155a8f105839639aba605151175ef4de88,pool_b_all_train_low,1,60,13,0,12,0,unclear,Error Identification & Correction Precision,zh
3fdc81f613bf237c32a80d3fb798df97d4a1a3ab,pool_b_all_train_low,2,60,2,0,2,0,format_violation,Instruction Following & Task Completion,zh
f0c153c819601d3c479c51f48b2acd66132d1e5f,pool_b_all_train_low,1,60,0,0,0,0,unclear,Reasoning Process Rigor,en
c71ebb1ec30fb320cce5e1315b2181603bc9f769,pool_b_all_train_low,1,60,0,0,0,0,unclear,Reasoning Process Rigor,en
5238e123a16a826d9dd25c0454890d96db10099a,pool_b_all_train_low,1,72,4,0,4,0,answer_key_or_reference_mismatch,Basic Factual Accuracy,en
ff8336b754ae2926d754192bf5a2f0c7ca6ba2a5,pool_b_all_train_low,1,60,0,0,0,0,unclear,Reasoning Process Rigor,zh
fa439d530a93932f4cf8a09f743d80c44e18e0b8,pool_b_all_train_low,2,72,4,0,4,0,task_constraint_violation,Content Relevance & Scope Control,en
6ba52ada98a9a51312929f9f19f6c7227cd562eb,pool_b_all_train_low,1,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,zh
0f9bdd1ac2b116a1f087a68008be1d0a38cb8ab1,pool_b_all_train_low,1,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,zh
a78d41fd92d092509e201d4cb468bba833ecdf3a,pool_b_all_train_low,1,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,zh
dcf321c484e4128628a7517762ccaf72fc0916d8,pool_b_all_train_low,1,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,zh
4d603e5ed030c00413f35f1852ebb1859d5dc6be,pool_b_all_train_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,zh
992ac0fdbb258d7a1438e8ee29db7096365cf8ca,pool_b_all_train_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,zh
b62bc6a3bc8db6a39e2d347c263aa392be416138,pool_b_all_train_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,zh
8ff264a74369c7106935fc453add4b92d95a8b87,pool_b_all_train_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,zh
6c703c046a9b97419785484bb1dd5d5b81ccd77a,pool_b_all_train_low,1,72,0,0,0,0,unclear,Reasoning Process Rigor,en
d0507dfe7e307caffb26489559bc360d53ac357d,pool_b_all_train_low,1,60,0,0,0,0,unclear,Reasoning Process Rigor,en
76bc906a5fe27bf73c1ae0b0f77aa2945732d489,pool_b_all_train_low,1,60,0,0,0,0,unclear,Reasoning Process Rigor,en
c7c27202cecaf2f4efd7487760add595085e4712,pool_b_all_train_low,1,60,0,0,0,0,insufficient_evidence,Reasoning Process Rigor,zh
38c7ddb254e471811c6a5a57cccae37cc6d4656e,pool_b_all_train_low,1,60,0,0,0,0,unclear,Reasoning Process Rigor,zh
f941bd555946d5f670146c0ddba2b00c76cfee04,pool_b_all_train_low,1,60,0,0,0,0,missing_key_point,Reasoning Process Rigor,zh
c1507d3c6bb859e46a5fcae0e2d5475886c36187,pool_b_all_train_low,1,60,0,0,0,0,unclear,Reasoning Process Rigor,zh
