dataset_variant,dataset_name,risk_type,rejected_source,n
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,high_to_mid_real_model_error,deepseek-v3,12
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,high_to_mid_real_model_error,deepseek-r1,50
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,high_to_mid_real_model_error,gpt-4o,12
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,high_to_mid_real_model_error,qwq-plus,35
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,qwen3_4b_r0a_direct,66
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,EduBenchEvaluator,62
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,deepseek-v3,75
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,deepseek-r1,50
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,gpt-4o,67
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,qwq-plus,63
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,qwen3_4b_r0a_direct,14
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,EduBenchEvaluator,5
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,deepseek-v3,4
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,deepseek-r1,8
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,gpt-4o,7
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,qwq-plus,8
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,mid_to_high_real_model_error,qwen3_4b_r0a_direct,140
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,mid_to_high_real_model_error,EduBenchEvaluator,144
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,mid_to_high_real_model_error,deepseek-v3,145
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,mid_to_high_real_model_error,deepseek-r1,111
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,mid_to_high_real_model_error,gpt-4o,138
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,mid_to_high_real_model_error,qwq-plus,126
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,mid_to_low_real_model_error,qwen3_4b_r0a_direct,1
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,mid_to_low_real_model_error,deepseek-v3,3
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,mid_to_low_real_model_error,deepseek-r1,17
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,mid_to_low_real_model_error,gpt-4o,2
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,mid_to_low_real_model_error,qwq-plus,13
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_low_real_model_error,qwen3_4b_r0a_direct,41
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_low_real_model_error,EduBenchEvaluator,1
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_low_real_model_error,deepseek-v3,35
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_low_real_model_error,deepseek-r1,53
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_low_real_model_error,gpt-4o,2
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_low_real_model_error,qwq-plus,37
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_mid_real_model_error,qwen3_4b_r0a_direct,45
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_mid_real_model_error,EduBenchEvaluator,13
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_mid_real_model_error,deepseek-v3,12
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_mid_real_model_error,deepseek-r1,50
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_mid_real_model_error,gpt-4o,12
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,high_to_mid_real_model_error,qwq-plus,35
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,qwen3_4b_r0a_direct,66
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,EduBenchEvaluator,62
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,deepseek-v3,75
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,deepseek-r1,50
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,gpt-4o,67
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,qwq-plus,63
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,qwen3_4b_r0a_direct,14
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,EduBenchEvaluator,5
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,deepseek-v3,4
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,deepseek-r1,8
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,gpt-4o,7
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,qwq-plus,8
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_low_real_model_error,qwen3_4b_r0a_direct,41
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_low_real_model_error,EduBenchEvaluator,1
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_low_real_model_error,deepseek-v3,35
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_low_real_model_error,deepseek-r1,53
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_low_real_model_error,gpt-4o,2
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_low_real_model_error,qwq-plus,37
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_mid_real_model_error,qwen3_4b_r0a_direct,45
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_mid_real_model_error,EduBenchEvaluator,13
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_mid_real_model_error,deepseek-v3,12
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_mid_real_model_error,deepseek-r1,50
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_mid_real_model_error,gpt-4o,12
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,high_to_mid_real_model_error,qwq-plus,35
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_high_real_model_error,qwen3_4b_r0a_direct,66
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_high_real_model_error,EduBenchEvaluator,62
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_high_real_model_error,deepseek-v3,75
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_high_real_model_error,deepseek-r1,50
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_high_real_model_error,gpt-4o,67
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_high_real_model_error,qwq-plus,63
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_mid_real_model_error,qwen3_4b_r0a_direct,14
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_mid_real_model_error,EduBenchEvaluator,5
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_mid_real_model_error,deepseek-v3,4
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_mid_real_model_error,deepseek-r1,8
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_mid_real_model_error,gpt-4o,7
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,low_to_mid_real_model_error,qwq-plus,8
