dataset_variant,risk_type,rejected_source,n
r6d_multi_structured_chosen,mid_to_low_real_model_error,qwq-plus,27
r6e_multi_reason_chosen,high_to_low_real_model_error,EduBenchEvaluator,1
r6e_multi_reason_chosen,high_to_low_real_model_error,deepseek-r1,81
r6e_multi_reason_chosen,high_to_low_real_model_error,deepseek-v3,57
r6e_multi_reason_chosen,high_to_low_real_model_error,gpt-4o,3
r6e_multi_reason_chosen,high_to_low_real_model_error,qwen3_4b_r0a_direct,69
r6e_multi_reason_chosen,high_to_low_real_model_error,qwq-plus,54
r6e_multi_reason_chosen,high_to_mid_real_model_error,EduBenchEvaluator,18
r6e_multi_reason_chosen,high_to_mid_real_model_error,deepseek-r1,88
r6e_multi_reason_chosen,high_to_mid_real_model_error,deepseek-v3,18
r6e_multi_reason_chosen,high_to_mid_real_model_error,gpt-4o,19
r6e_multi_reason_chosen,high_to_mid_real_model_error,qwen3_4b_r0a_direct,87
r6e_multi_reason_chosen,high_to_mid_real_model_error,qwq-plus,70
r6e_multi_reason_chosen,low_to_high_real_model_error,EduBenchEvaluator,86
r6e_multi_reason_chosen,low_to_high_real_model_error,deepseek-r1,70
r6e_multi_reason_chosen,low_to_high_real_model_error,deepseek-v3,97
r6e_multi_reason_chosen,low_to_high_real_model_error,gpt-4o,87
r6e_multi_reason_chosen,low_to_high_real_model_error,qwen3_4b_r0a_direct,87
r6e_multi_reason_chosen,low_to_high_real_model_error,qwq-plus,83
r6e_multi_reason_chosen,low_to_mid_real_model_error,EduBenchEvaluator,5
r6e_multi_reason_chosen,low_to_mid_real_model_error,deepseek-r1,12
r6e_multi_reason_chosen,low_to_mid_real_model_error,deepseek-v3,7
r6e_multi_reason_chosen,low_to_mid_real_model_error,gpt-4o,12
r6e_multi_reason_chosen,low_to_mid_real_model_error,qwen3_4b_r0a_direct,19
r6e_multi_reason_chosen,low_to_mid_real_model_error,qwq-plus,9
r6e_multi_reason_chosen,mid_to_high_real_model_error,EduBenchEvaluator,254
r6e_multi_reason_chosen,mid_to_high_real_model_error,deepseek-r1,208
r6e_multi_reason_chosen,mid_to_high_real_model_error,deepseek-v3,272
r6e_multi_reason_chosen,mid_to_high_real_model_error,gpt-4o,259
r6e_multi_reason_chosen,mid_to_high_real_model_error,qwen3_4b_r0a_direct,262
r6e_multi_reason_chosen,mid_to_high_real_model_error,qwq-plus,221
r6e_multi_reason_chosen,mid_to_low_real_model_error,deepseek-r1,34
r6e_multi_reason_chosen,mid_to_low_real_model_error,deepseek-v3,5
r6e_multi_reason_chosen,mid_to_low_real_model_error,gpt-4o,2
r6e_multi_reason_chosen,mid_to_low_real_model_error,qwen3_4b_r0a_direct,2
r6e_multi_reason_chosen,mid_to_low_real_model_error,qwq-plus,27
