sample_id,label,label_region,language,pilot_group,qwen_score,deepseek_score,qwen_failure_bucket,deepseek_failure_bucket,qwen_derived_risk,deepseek_derived_risk,qwen_training_use,deepseek_training_use,conflict_type,adjudication_priority,top40_for_manual_review,question_preview,answer_preview,rubric_preview
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,2,low,zh,exp27c_v3_60_paired_repilot,4,4,no_failure,no_failure,low,low,review_only,review_only,both_teachers_disagree_with_human;low_human_teacher_high;possible_original_label_noise,1,True,"问题：解释“需求弹性”的概念及其在经济学中的重要性。 学生的答案：需求弹性是指需求量对价格变化的反应程度。在经济学中，它很重要，因为它帮助企业了解价格变动对销售额的影响，也帮助政府制定税收政策。 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 3, ""评分细节"": { ""概念解释准确性"": 2, ""完整性"": 2, ""逻辑清晰度"": 2 }, ""个性化反馈"": [ ""概念解释准确性较高，但可以进一步明确需求弹性的具体定义，例如提到需求弹性是衡量需求量随价格变化而变化的程度的一个指标。"", ""答案较为简略，建议增加更多关于需求弹性的类型（如价格弹性、收入弹性等）以及其在实际经济活动中的应用实例。"", ""逻辑清晰度尚可，但可以更详细地说明需求弹性对企业决策和政府政策的具体影响，使答...","[""5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。"", ""4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。"", ""3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。"", ""2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。"", ""1分： 完全误解或无视指令，任务未完成或完全错误，格式混乱或不相关。""]"
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,2,low,en,exp27c_v3_60_paired_repilot,5,5,no_failure,no_failure,low,low,review_only,review_only,both_teachers_disagree_with_human;low_human_teacher_high;possible_original_label_noise;possible_teacher_strictness_difference,1,True,"Knowledge Point: Constructivist Learning Theory Based on this knowledge point, provide ""Teaching Materials"": Teaching materials should include teaching objectives, key points and difficulties, classroom activity design, etc., in JSON for...","Here is an example of how you might structure teaching materials based on the constructivist learning theory in JSON format. This example focuses on a high school biology class about plant cell structure. ```json { ""Course"": ""Biology"", ""...","[""5: Content is highly relevant to the specified topic/theme/question; strictly within required difficulty/scope/discipline without redundant or irrelevant information."", ""4: Overall relevance is high; scope control is good with possibly..."
46133cfb383c1c10e94bab324dabdce1277ab939,4,high,zh,exp27c_v3_60_paired_repilot,2,5,hidden_or_missing_failure,no_failure,unclear,low,review_only,low_weight,deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;high_control_hard_conflict;high_human_teacher_low;possible_original_label_noise;possible_teacher_strictness_difference;score_gap_ge2,2,True,"问题：选择以下具有微分同胚性质的函数类别：（可多选） A. 二次多项式函数 B. 余弦函数 C. 指数函数 D. 常数函数 E. 三次多项式函数 学生的答案：['C', 'E'] 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 1, ""评分细节"": { ""C"": ""正确，指数函数是连续且处处可导的，其导数也处处非零，因此它是局部微分同胚。"", ""E"": ""错误，三次多项式函数在某些情况下可以有多个临界点（即导数为0的点），这会导致它不是全局微分同胚。但是，如果限定在一个没有临界点的区间内，它可以是局部微分同胚。"", ""缺失选项"": [""A"", ""B"", ""D""] }, ""个性化反馈"": ""你选择了指数函数作为正确的答案，这是正确的，因为指数函数满足微分同胚的要求...","[""5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。"", ""4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。"", ""3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。"", ""2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。"", ""1分： 完全误解或无视指令，任务未完成或完全错误，格式混乱或不相关。""]"
c42d9020842ba63f6ee5de91d4d4b21f97f246ac,5,high,zh,exp27c_v3_60_paired_repilot,2,5,hidden_or_missing_failure,no_failure,unclear,low,review_only,high_weight,deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;high_control_hard_conflict;high_human_teacher_low;possible_original_label_noise;possible_teacher_strictness_difference;score_gap_ge2,2,True,"问题：在教育学中，哪个教学方法最强调学生的主动参与？ 学生的答案：合作学习法 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": ""正确"", ""评分细节"": { ""知识点覆盖"": ""完全正确"", ""理解深度"": ""准确识别核心特征"", ""表述准确性"": ""答案简洁明确"" }, ""个性化反馈"": ""合作学习法确实是教育学中高度强调学生主动参与的教学方法。它通过小组互动、角色分工与集体目标促进学生深度参与，你的回答完全正确。补充说明：该方法与讲授法的被动学习形成鲜明对比，其核心优势在于通过社会性建构提升学习动机与认知水平。未来可进一步对比探究式学习、项目式学习等其他主动...","[""5分： 推理逻辑链条完整、清晰、严密，步骤正确无误，论证充分有力，无逻辑跳跃或漏洞。"", ""4分： 推理过程主体正确且逻辑清晰，可能在个别步骤的表述或论证细节上略有瑕疵，但不影响最终结论的有效性。"", ""3分： 推理过程大体可见，但存在一些逻辑不清、步骤缺失或论证不足之处，结论可能受到影响。"", ""2分： 推理过程存在明显的逻辑错误、步骤混乱或严重缺失，难以得出正确或可靠的结论。"", ""1分： 几乎没有有效的推理过程，逻辑混乱，步骤完全错误或不相关。""]"
b9f1c6853708c1217088b33dabe3b2ce1f70233e,4,high,zh,exp27c_v3_60_paired_repilot,3,2,hidden_or_missing_failure,hidden_or_missing_failure,medium,high,low_weight,review_only,derived_risk_disagreement;high_control_hard_conflict;high_human_teacher_low;possible_original_label_noise;possible_teacher_strictness_difference,2,True,"问题：考虑一个两部门经济模型，其中一个部门生产消费品，另一个部门生产资本品。假设资本品的生产需要使用消费品作为投入，并且有一个固定的资本折旧率。请分析如何在这个模型中达到动态效率，即如何选择消费和资本的生产以最大化社会福利。 请根据这个问题提供思路。""提供的思路"":,以json格式返回","```json { ""思路"": [ { ""步骤"": ""定义变量"", ""描述"": ""首先，我们需要定义几个关键变量来描述这个两部门经济模型，包括当前期的消费品生产量(CP)，资本品生产量(KP)，以及下一期的消费品存量(CS)和资本品存量(KS)。"" }, { ""步骤"": ""建立生产函数"", ""描述"": ""假设消费品生产函数为Q_C = f(CP, L_C, T_C)，其中L_C表示劳动投入，T_C表示技术条件。资本品生产函数为Q_K = g(KP, L_K, T_K)，...","[""5分： 解释、说明、反馈极其清晰简洁，完全符合目标学习者的理解水平；表达生动有趣，能有效激发思考和兴趣。"", ""4分： 表达清晰易懂，语言简洁，适合目标学习者；具有一定的启发性，能够引发一些思考。"", ""3分： 表达基本能懂，但可能略显啰嗦、复杂或不够生动；启发性一般。"", ""2分： 表达不够清晰，存在较多术语或复杂句式，不易理解；缺乏启发性。"", ""1分： 表达混乱、晦涩难懂，完全不考虑学习者水平；毫无启发性甚至令人困惑。""]"
712cd1dd80a4537e4bee8ff3fa1e3580d4575d0a,5,high,en,new_education_dimension_stress,2,2,hidden_or_missing_failure,visible_failure,high,high,review_only,review_only,both_teachers_disagree_with_human;failure_bucket_disagreement;high_control_hard_conflict;high_human_teacher_low;possible_original_label_noise;possible_teacher_strictness_difference,2,True,"Question: Explain how plate tectonics can lead to the formation of mountains. Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","{ ""Reasoning Provided"": ""To understand how plate tectonics can lead to the formation of mountains, one must first consider the structure and dynamics of the Earth's crust. The Earth's outer shell is not a single, solid piece but is divid...","[""5: Skillfully designed to promote critical/creative thinking, problem-solving, or transfer of knowledge (e.g., through open-ended questions, comparative analysis, case study, project-based tasks)."", ""4: Includes guiding questions or mo..."
b01129b756e85be3f61bf81d006ca0e61ef3e530,4,high,zh,exp27c_v3_60_paired_repilot,3,5,hidden_or_missing_failure,no_failure,medium,low,low_weight,low_weight,deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;possible_teacher_strictness_difference;score_gap_ge2,4,True,"焦虑程度：中度焦虑 对话内容：学生：我觉得语文课好难，我总是记不住那些生字和课文。 智能体：我能理解你的感受，学习新东西有时候确实会让人感到压力。你觉得是哪个方面让你特别难记住？是生字还是课文内容？ 学生：都有一点，我总是在考试的时候想不起来。 智能体：听起来你在考试的时候感到紧张，这可能影响了你的记忆。我们可以试试一些记忆技巧，比如分段记忆或者用故事来帮助记忆生字。 请根据学生情绪状态和对话给出""情绪状态分析"":和""安慰与建议"":,以json格式返回","{ ""情绪状态分析"": { ""当前情绪"": ""中度焦虑"", ""原因"": [""对语文课程的难度感到压力"", ""考试时的记忆力问题""], ""影响因素"": [""难以记住生字和课文"", ""考试时的紧张感""] }, ""安慰与建议"": { ""安慰"": ""我能理解你现在的感受，很多同学在面对语文这样的科目时也会遇到类似的问题。重要的是不要放弃，每个人都有自己的学习节奏。"", ""建议"": [ ""尝试使用不同的记忆方法，如分段记忆或通过创造故事来记忆生字和课文，这可能会使学习过程更加有趣...","[""5分： 充分融合所有关键场景要素（如学生历史、学习偏好等），输出高度个性化，并与教学情境高度匹配。"", ""4分： 有效使用主要场景要素，回答具有针对性；可能遗漏少量细节，但不影响整体效果。"", ""3分： 使用了部分场景信息，但融合较浅；个性化程度或情境契合度一般。"", ""2分： 仅表层提及场景信息，未有效融合核心要素；与上下文连接较弱。"", ""1分： 完全忽视场景特定信息；输出通用、模板化，且与场景不相关。""]"
b5f54f2d11493dd41a74e9e2274d26451a958dcc,1,low,zh,exp27c_v3_60_paired_repilot,1,3,visible_failure,visible_failure,high,low,high_weight,review_only,deepseek_lenient_qwen_strict;derived_risk_disagreement;possible_original_label_noise;possible_teacher_strictness_difference;score_gap_ge2,4,True,"问题：在神经生理学中，动作电位的过程中不包括以下哪一个步骤？ A) 去极化 B) 再极化 C) 超极化 D) 钙离子流入细胞 学生的答案：C) 超极化 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 1, ""评分细节"": { ""正确答案"": ""D) 钙离子流入细胞"", ""解释"": ""在神经生理学中，动作电位的过程主要包括去极化、复极化和超射（或称为反极化）等阶段。钙离子流入细胞并不是动作电位过程中的一个标准步骤。"" }, ""个性化反馈"": { ""建议"": ""你的选择是正确的。在动作电位过程中，确实不包括钙离子流入细胞这一步骤。钙离子在神经元的信号传导中有重要作用，但它们主要参与的是神经递质释放的过程，而不是动作电位的产生和传播。"" }...","[""5分： 内容与指定知识点/主题/问题高度相关，且严格控制在要求的难度、范围、学科内，无冗余或无关信息。"", ""4分： 内容主体相关，范围控制良好，可能包含极少量轻微超纲或关联度稍弱的信息。"", ""3分： 内容大部分相关，但包含一些偏离主题或超出范围的部分，范围控制不够精确。"", ""2分： 内容相关性较差，包含较多无关信息，或严重超出指定范围。"", ""1分： 内容基本不相关，或完全脱离指定范围。""]"
e226030ea01e090a606049052bd6c187688f7a7a,5,high,en,exp27c_v3_60_paired_repilot,5,3,no_failure,visible_failure,low,low,high_weight,review_only,failure_bucket_disagreement;high_control_hard_conflict;possible_original_label_noise;possible_teacher_strictness_difference;qwen_lenient_deepseek_strict;score_gap_ge2,4,True,Question: Which of the following factors is most crucial for determining the success of a crop in a particular region? A) Soil pH B) Seed variety C) Irrigation method D) Climate conditions Please provide reasoning based on this question....,"```json { ""Reasoning Provided"": { ""Analysis of Options"": { ""A) Soil pH"": { ""Role"": ""Affects nutrient availability and plant health."", ""Adjustability"": ""Can be modified with amendments like lime or sulfur."", ""Limitation"": ""Manageable but ...","[""5: Content is highly relevant to the specified topic/theme/question; strictly within required difficulty/scope/discipline without redundant or irrelevant information."", ""4: Overall relevance is high; scope control is good with possibly..."
eebb6c2d0851b385f14d5f66295db77afd02c747,5,high,zh,new_high_control_disagreement_stress,5,3,no_failure,hidden_or_missing_failure,low,medium,high_weight,high_weight,derived_risk_disagreement;failure_bucket_disagreement;possible_original_label_noise;possible_teacher_strictness_difference;qwen_lenient_deepseek_strict;score_gap_ge2,4,True,"问题：在研究中世纪封建制度发展的过程中，下列哪些因素对其演变起到了关键作用？（可选择多个） A. 农奴制 B. 城市化进程 C. 十字军东征 D. 文艺复兴 E. 黑死病的流行 F. 军事科技的进步 学生的答案：['A', 'C', 'E', 'F'] 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 3, ""评分细节"": { ""正确答案"": [""A"", ""C"", ""E"", ""F""], ""学生答案"": [""A"", ""C"", ""E"", ""F""], ""未选中但正确的选项"": [], ""错误选中的选项"": [] }, ""个性化反馈"": [ ""你的答案是正确的。农奴制、十字军东征、黑死病的流行以及军事科技的进步确实对中世纪封建制度的发展产生了重要影响。"" ] } ```","[""5分： 所有涉及的客观事实（定义、公式、日期、名词、代码语法等）完全准确无误。"", ""4分： 绝大部分事实准确，可能存在个别极其微小的、非关键性的笔误或疏漏。"", ""3分： 大部分事实准确，但存在少量明显的事实错误，需要核查。"", ""2分： 包含较多或关键性的事实错误，信息不可靠。"", ""1分： 充斥着大量事实错误，信息完全错误或误导。""]"
022806ec04a3b92cfcb17f3ba4951ae817c1f854,3,mid,zh,new_label3_borderline_risk_stress,2,3,hidden_or_missing_failure,visible_failure,unclear,low,low_weight,high_weight,derived_risk_disagreement;failure_bucket_disagreement;possible_teacher_strictness_difference,5,True,"问题：在教育学中，哪个教学方法最强调学生的主动参与？ 学生的答案：合作学习法 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 80, ""评分细节"": { ""正确性"": 70, ""理由"": ""合作学习法确实非常强调学生的主动参与。在这种方法中，学生通过小组合作共同完成任务或解决问题，每个人都有机会表达自己的观点并倾听他人的意见，这有助于提高学生的参与度和互动性。"", ""完整性"": 90, ""理由"": ""学生回答得出了正确的方法名称，并简要说明了这种方法的特点，但可以进一步详细阐述合作学习法的具体实施方式和优势。"" }, ""个性化反馈"": [ ""你的答案基本正确，但...","[""5分： 精准定位所有错误（无遗漏、无误报），给出的纠正建议完全正确、清晰且是最优或非常好的方案。"", ""4分： 准确定位了大部分主要错误，纠正建议基本正确有效，可能遗漏极少数次要错误或建议不够完美。"", ""3分： 定位了部分错误但有明显遗漏或误报，纠正建议部分正确但可能不够清晰、完整或并非最佳方案。"", ""2分： 错误定位不准确，遗漏了关键错误或大量误报，纠正建议存在错误或难以理解。"", ""1分： 完全未能识别错误，或给出了完全错误的纠正建议，起到了误导作用。""]"
18ae31b0930f4812f14b417a1b631e06c74e7410,3,mid,zh,exp27c_v3_60_paired_repilot,4,5,hidden_or_missing_failure,no_failure,low,low,low_weight,review_only,failure_bucket_disagreement;possible_original_label_noise;possible_teacher_strictness_difference,5,True,"知识点：作物生长模型的参数优化 请根据这个知识点给出""教学素材"":教学素材需要包括教学目标、重点难点、课堂活动设计等,以json格式返回","{ ""教学目标"": { ""知识与技能"": ""了解作物生长模型的基本概念，掌握作物生长模型参数优化的方法和步骤。"", ""过程与方法"": ""通过案例分析和小组讨论，培养学生解决实际问题的能力和团队协作精神。"", ""情感态度价值观"": ""激发学生对农业科学的兴趣，培养他们关注农业生产、保护生态环境的责任感。"" }, ""重点难点"": { ""重点"": ""作物生长模型参数的含义及其优化方法"", ""难点"": ""如何根据实际情况选择合适的参数进行优化，并理解参数优化对模型精度的影响"" ...","[""5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。"", ""4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。"", ""3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。"", ""2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。"", ""1分： 完全误解或无视指令，任务未完成或完全错误，格式混乱或不相关。""]"
6195cd84a8bf06d5a3608b3bb6561111e242ace6,3,mid,en,exp27c_v3_60_paired_repilot,3,4,hidden_or_missing_failure,no_failure,medium,low,high_weight,low_weight,derived_risk_disagreement;failure_bucket_disagreement;possible_teacher_strictness_difference,5,True,"Question: Which part of the plant is responsible for photosynthesis? A) Roots B) Stems C) Leaves D) Flowers Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","```json { ""Reasoning Provided"": { ""Photosynthesis Process"": ""Photosynthesis converts sunlight into energy using chlorophyll, requiring light, carbon dioxide, and water."", ""Roots Function"": ""Roots anchor the plant and absorb water/nutrien...","[""5: Extremely clear and concise explanations; fully accessible for target learners; vibrant and engaging delivery that inspires deep thought and interest."", ""4: Clear and easy to understand; appropriate for learner level; somewhat thoug..."
