has_human_mean,has_repo_3way_bin,implementation_path,primary_target_classification
True,True,thesis_exp/exp49_cphce/audit_history_registry.py,rounded_label
True,True,thesis_exp/exp49_cphce/metric_contract.py,human_mean
False,False,thesis_exp/exp42_rubidist/analyze_exp42a_factorial_effects.py,unknown_or_rounded
False,False,thesis_exp/exp42_rubidist/common.py,unknown_or_rounded
False,False,thesis_exp/exp44_taco_score/analyze_exp44a_decision.py,unknown_or_rounded
False,False,thesis_exp/exp44_taco_score/collect_exp44a_seed42.py,unknown_or_rounded
False,False,thesis_exp/exp44_taco_score/resolve_exp44a_exp43_inputs.py,unknown_or_rounded
True,False,thesis_exp/exp33_direction_aware_aggregation/prepare_exp33b_direction_aware_aggregation.py,unknown_or_rounded
False,False,thesis_exp/exp40_edupair_cf/bootstrap_exp40a_groupcv.py,unknown_or_rounded
False,False,thesis_exp/exp40_edupair_cf/collect_exp40a_groupcv.py,unknown_or_rounded
False,True,thesis_exp/exp40_edupair_cf/common.py,unknown_or_rounded
False,True,thesis_exp/exp45_dopr_head/bootstrap_exp45a_question_key.py,unknown_or_rounded
False,False,thesis_exp/exp45_dopr_head/analyze_exp45a_decision.py,unknown_or_rounded
False,False,thesis_exp/exp45_dopr_head/resolve_exp45a_inputs.py,unknown_or_rounded
False,False,thesis_exp/exp45_dopr_head/diagnose_exp45a_train_prototypes.py,unknown_or_rounded
False,False,thesis_exp/exp45_dopr_head/collect_exp45a_seed42.py,unknown_or_rounded
False,False,thesis_exp/exp39_educfa/bootstrap_exp39a_groupcv.py,unknown_or_rounded
False,False,thesis_exp/exp39_educfa/collect_exp39a_groupcv.py,unknown_or_rounded
False,True,thesis_exp/exp39_educfa/common.py,unknown_or_rounded
True,False,thesis_exp/exp17_low_score_evidence/diagnostics/build_train_hidden_failure_signals.py,unknown_or_rounded
True,False,thesis_exp/exp17_low_score_evidence/diagnostics/prepare_hidden_failure_audit.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp16_boundary_linking/data.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp15_posthoc_ordinal_calibration/calibration.py,unknown_or_rounded
False,False,thesis_exp/src/edujudge/exp27r/bootstrap_exp27r_crossed_seed_question.py,unknown_or_rounded
False,False,thesis_exp/src/edujudge/exp27r/collect_exp27r_final_test.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr1_pairwise.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp08_edurisk/metrics.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp08_edurisk/train_qder1_edurisk.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp07_rank_consistent/train_qdr1_coral.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_data.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/audit/write_exp01_report.py,unknown_or_rounded
False,False,thesis_exp/src/edujudge/audit/run_exp01.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/audit/compute_audit_metrics.py,human_mean
True,False,thesis_exp/src/edujudge/audit/align_judge_scores.py,unknown_or_rounded
False,False,thesis_exp/src/edujudge/exp27q/collect_exp27q_safe16_multiseed.py,unknown_or_rounded
False,False,thesis_exp/src/edujudge/exp27q/bootstrap_exp27q_two_level.py,unknown_or_rounded
False,False,thesis_exp/src/edujudge/exp27p/collect_exp27p_results.py,rounded_label
False,False,thesis_exp/src/edujudge/exp27p/collect_exp27p_multiseed_results.py,unknown_or_rounded
False,False,thesis_exp/src/edujudge/exp27p/validate_exp27p_training_setup.py,unknown_or_rounded
False,False,thesis_exp/src/edujudge/exp27p/train_exp27p_soft_target_reranker.py,rounded_label
False,False,thesis_exp/src/edujudge/exp27p/bootstrap_exp27p_dev_differences.py,unknown_or_rounded
False,True,thesis_exp/src/edujudge/exp27p/common.py,rounded_label
True,False,thesis_exp/src/edujudge/exp06_baselines/build_qd_a4_dataset.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/data/build_dataset.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp05/train_l1_weighted_ordinal.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp05/build_exp05_dataset.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp05/sanity_check_exp05_outputs.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp06_generation/build_synthetic_augmented_training_datasets.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp02/build_exp02_dataset.py,unknown_or_rounded
True,True,thesis_exp/src/edujudge/exp02/format_exp02_results.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp02/train_ce_baseline.py,human_mean
True,False,thesis_exp/src/edujudge/exp03/build_exp03_datasets.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/plots/plot_distributions.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp04/train_objective.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp04/sanity_check_exp04_outputs.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp04/write_exp04_report.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp04/sanity_check_exp04_setup.py,unknown_or_rounded
True,False,thesis_exp/src/edujudge/exp04/build_exp04_dataset.py,unknown_or_rounded
