experiment_id,hypothesis,baseline,changed_variable,actual_changes,split,backbone,input_fields,input_template,target,output,loss,sampler,inference,checkpoint_rule,seed,metric_implementation,reported_result,prediction_path,recomputed_result,evidence_level,validity,conclusion
Exp10,,,,thesis_exp/artifacts/exp10_qdpr2_module_ablation | thesis_exp/configs/exp10_qdpr2_module_ablation | thesis_exp/outputs/exp10_qdpr2_module_ablation | thesis_exp/scripts/run_exp10_qdpr2_module_ablation.sh | thesis_exp/scripts/run_exp10_qdpr2_module_ablation_smoke.sh | thesis_exp/scripts/sync_exp10_qdpr2_module_ablation_to_server.sh | thesis_exp/src/edujudge/exp10_qdpr2_module_ablation,,,,,,,,,,,,,,thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp11,,,,thesis_exp/configs/exp11_checkpoint_selection_sensitivity | thesis_exp/outputs/exp11_checkpoint_selection_sensitivity | thesis_exp/scripts/run_exp11_checkpoint_selection_sensitivity.sh | thesis_exp/scripts/run_exp11_checkpoint_selection_sensitivity_smoke.sh | thesis_exp/src/edujudge/exp11_checkpoint_selection_sensitivity,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp12,,,,thesis_exp/configs/exp12_monotonic_projection_map_oc | thesis_exp/outputs/exp12_monotonic_projection_map_oc | thesis_exp/scripts/run_exp12_monotonic_projection_map_oc.sh | thesis_exp/scripts/run_exp12_monotonic_projection_map_oc_smoke.sh | thesis_exp/scripts/sync_exp12_monotonic_projection_map_oc_to_server.sh | thesis_exp/src/edujudge/exp12_monotonic_projection_map_oc,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp13,,,,thesis_exp/configs/exp13_risk_boundary_map_oc | thesis_exp/outputs/exp13_risk_boundary_map_oc | thesis_exp/scripts/run_exp13_risk_boundary_map_oc.sh | thesis_exp/scripts/run_exp13_risk_boundary_map_oc_formal_locked.sh | thesis_exp/scripts/run_exp13_risk_boundary_map_oc_smoke.sh | thesis_exp/scripts/sync_exp13_risk_boundary_map_oc_to_server.sh | thesis_exp/src/edujudge/exp13_risk_boundary_map_oc,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp14,,,,thesis_exp/configs/exp14_logit_margin_tail_risk_oc | thesis_exp/outputs/exp14_logit_margin_tail_risk_oc | thesis_exp/scripts/run_exp14_logit_margin_tail_risk_oc.sh | thesis_exp/scripts/run_exp14_logit_margin_tail_risk_oc_smoke.sh | thesis_exp/scripts/sync_exp14_logit_margin_tail_risk_oc_to_server.sh | thesis_exp/src/edujudge/exp14_logit_margin_tail_risk_oc,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp15,,,,thesis_exp/configs/exp15_posthoc_ordinal_calibration | thesis_exp/outputs/exp15_posthoc_ordinal_calibration | thesis_exp/scripts/run_exp15_posthoc_ordinal_calibration.sh | thesis_exp/scripts/sync_exp15_posthoc_ordinal_calibration_to_server.sh | thesis_exp/src/edujudge/exp15_posthoc_ordinal_calibration,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp16,,,,thesis_exp/outputs/exp16_boundary_linking | thesis_exp/src/edujudge/exp16_boundary_linking,,,,,,,,,,,,,,thesis_exp/outputs/exp16_boundary_linking/runs/metric_rubric/seed_42/predictions_dev.jsonl | thesis_exp/outputs/exp16_boundary_linking/runs/metric_rubric/seed_42/predictions_test.jsonl | thesis_exp/outputs/exp16_boundary_linking/runs/qmr/seed_42/predictions_dev.jsonl | thesis_exp/outputs/exp16_boundary_linking/runs/qmr/seed_42/predictions_test.jsonl | thesis_exp/outputs/exp16_boundary_linking/sanity/dry_run/predictions_dev.jsonl | thesis_exp/outputs/exp16_boundary_linking/sanity/dry_run/predictions_test.jsonl,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp17,,,,thesis_exp/exp17_low_score_evidence | thesis_exp/exp17_low_score_evidence/outputs/exp17_a0_train_hidden_failure_signals_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp17_a1_combined_diagnostics_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp17_a1_diagnostic_controls_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp17_a1_evidence_head_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp17_c0_d1_diagnostics_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp17_c0_pair_noise_audit_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp17_c0_pairwise_separation_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp17_c0b_pairwise_diagnostics_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp17_r0_reason_aware_dataset_seed42 | thesis_exp/outputs/exp17_low_score_evidence_diagnosis | thesis_exp/scripts/run_exp17_a1_diagnostic_controls.sh | thesis_exp/scripts/run_exp17_a1_evidence_head_scout.sh | thesis_exp/scripts/run_exp17_c0_pairwise_separation_scout.sh | thesis_exp/scripts/run_exp17_c0b_pairwise_diagnostics.sh | thesis_exp/scripts/run_exp17_d0_low_score_evidence_diagnosis.sh | thesis_exp/scripts/run_exp17_d1_human_rationale_reannotation.sh | thesis_exp/scripts/run_exp17_d1_human_rationale_recovery.sh | thesis_exp/scripts/sync_exp17_a1_evidence_head_to_server.sh | thesis_exp/scripts/sync_exp17_c0_r0_to_server.sh | thesis_exp/scripts/sync_exp17_d0_low_score_evidence_diagnosis_to_server.sh | thesis_exp/src/edujudge/exp17_low_score_evidence_diagnosis,,,,,,,,,,,,,,thesis_exp/exp17_low_score_evidence/outputs/exp19_r0a_qwen4b_direct_baseline_seed42/predictions/full_predictions_internal.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b0_original_human/seed_42/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b0_original_human/seed_42/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b0_original_human/seed_43/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b0_original_human/seed_43/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b0_original_human/seed_44/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b0_original_human/seed_44/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b1_primary_teacher_all/seed_42/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b1_primary_teacher_all/seed_42/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b1_primary_teacher_all/seed_43/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b1_primary_teacher_all/seed_43/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b1_primary_teacher_all/seed_44/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b1_primary_teacher_all/seed_44/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b2_selective_dual_teacher/seed_42/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b2_selective_dual_teacher/seed_42/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b2_selective_dual_teacher/seed_43/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b2_selective_dual_teacher/seed_43/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b2_selective_dual_teacher/seed_44/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b2_selective_dual_teacher/seed_44/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b3_filter_unresolved/seed_42/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b3_filter_unresolved/seed_42/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b3_filter_unresolved/seed_43/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b3_filter_unresolved/seed_43/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b3_filter_unresolved/seed_44/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b3_filter_unresolved/seed_44/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b4_random_transition_control/seed_42/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b4_random_transition_control/seed_42/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b4_random_transition_control/seed_43/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b4_random_transition_control/seed_43/predictions_dev_best.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b4_random_transition_control/seed_44/predictions_dev.jsonl | thesis_exp/exp17_low_score_evidence/outputs/exp28e_paper_reranker_multiseed_dev/runs/b4_random_transition_control/seed_44/predictions_dev_best.jsonl,SEE_RECOMPUTED_METRICS,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp18,,,,,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,D,MISSING_CANONICAL_ARTIFACT,No stronger conclusion than the recorded evidence level.
Exp19,,,,thesis_exp/exp17_low_score_evidence/outputs/exp19_r0a_qwen4b_direct_baseline_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r0b_failure_first_prompt_audit_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r0c_calibrated_prompt_audit_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5_dpo_scout | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5_next_scout | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5a_onpolicy_dpo_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5b_rejection_mined_dpo_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5c_score_risk_dpo_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5d_evidence_consistency_dpo_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5e_hard_synthetic_dpo_control_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5f2_dpo_scout | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5f2_rejection_mining_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5f_d1_like_rejection_mining_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5g_dpo_scout | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5g_risk_calibrated_dpo_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5g_transition_diagnostics | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5h_dpo_scout | thesis_exp/exp17_low_score_evidence/outputs/exp19_r5h_two_stage_dpo_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r6_real_dpo_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_r7_reason_recovered_real_dpo_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_sft_dpo_datasets_seed42 | thesis_exp/exp17_low_score_evidence/outputs/exp19_sft_first_round | thesis_exp/exp17_low_score_evidence/outputs/exp19_sft_second_round | thesis_exp/exp17_low_score_evidence/outputs/exp19_sft_train_dev_diagnostics_seed42 | thesis_exp/scripts/run_exp19_r0a_qwen4b_direct_baseline.sh | thesis_exp/scripts/run_exp19_r0b_failure_first_prompt_audit.sh | thesis_exp/scripts/run_exp19_r0c_calibrated_prompt_audit.sh | thesis_exp/scripts/run_exp19_r5_dpo_scout_dev_predict.sh | thesis_exp/scripts/run_exp19_r5_dpo_scout_train.sh | thesis_exp/scripts/run_exp19_r5_next_scout_dev_predict.sh | thesis_exp/scripts/run_exp19_r5_next_scout_train.sh | thesis_exp/scripts/run_exp19_r5f2_dpo_scout_dev_predict.sh | thesis_exp/scripts/run_exp19_r5f2_dpo_scout_train.sh | thesis_exp/scripts/run_exp19_r5f2_rejection_mining.sh | thesis_exp/scripts/run_exp19_r5f_d1_like_generate.sh | thesis_exp/scripts/run_exp19_r5g_dpo_scout_dev_predict.sh | thesis_exp/scripts/run_exp19_r5g_dpo_scout_train.sh | thesis_exp/scripts/run_exp19_r5h_dpo_scout_dev_predict.sh | thesis_exp/scripts/run_exp19_r5h_dpo_scout_train.sh | thesis_exp/scripts/run_exp19_r7_prepare_reason_recovered_real_dpo.sh | thesis_exp/scripts/run_exp19_sft_first_round.sh | thesis_exp/scripts/run_exp19_sft_first_round_dev_predict.sh | thesis_exp/scripts/run_exp19_sft_second_round_ablation.sh | thesis_exp/scripts/run_exp19_sft_second_round_dev_predict.sh | thesis_exp/scripts/run_exp19_sft_train_dev_diagnostics_predict.sh | thesis_exp/scripts/sync_exp19_r0a_to_server.sh | thesis_exp/scripts/sync_exp19_r0b_to_server.sh | thesis_exp/scripts/sync_exp19_r0c_to_server.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp20,,,,thesis_exp/exp17_low_score_evidence/outputs/exp20_dual_model_risk_gate_seed42,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp21,,,,thesis_exp/exp17_low_score_evidence/outputs/exp21_d1_like_risk_annotation_seed42 | thesis_exp/scripts/run_exp21_train_predictions.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp22,,,,thesis_exp/exp17_low_score_evidence/outputs/exp22_r7_matched_controls_seed42 | thesis_exp/scripts/run_exp22_prepare_r7_matched_controls.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp23,,,,thesis_exp/exp17_low_score_evidence/outputs/exp23_r7_dpo_scout | thesis_exp/scripts/run_exp23_r7_dpo_scout_dev_predict.sh | thesis_exp/scripts/run_exp23_r7_dpo_scout_train.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp24,,,,thesis_exp/exp17_low_score_evidence/outputs/exp24_orc_dpo_seed42 | thesis_exp/scripts/run_exp24_orc_dpo.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp25,,,,thesis_exp/exp17_low_score_evidence/outputs/exp25_structured_src_dpo_seed42 | thesis_exp/scripts/run_exp25_structured_src_dpo.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp26,,,,thesis_exp/exp17_low_score_evidence/outputs/exp26_hidden_failure_expansion_seed42 | thesis_exp/scripts/run_exp26_hidden_failure_expansion_prepare.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp27,Teacher/crossfit/soft-target family,,,,,,A4,,,,,,,rounded MAE/L2H/QWK composite,,exp27p rounded-label MAE/Bias/Kendall,,NOT_FOUND,NOT_RECOMPUTABLE,A/B,METRIC_DRIFT_AND_CONFOUNDED,No stronger conclusion than the recorded evidence level.
Exp28,,,,thesis_exp/configs/exp28_teacher_audited_paper_protocol | thesis_exp/scripts/sync_exp28_paper_experiment_to_server.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp29,,,,thesis_exp/exp17_low_score_evidence/outputs/exp29_dual_target_ce_seed42 | thesis_exp/scripts/run_exp29_seed42_dual_target_scout.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp30,,,,thesis_exp/exp17_low_score_evidence/outputs/exp30_audited_low_resampling_seed42 | thesis_exp/scripts/run_exp30_seed42_audited_low_scout.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp31,,,,thesis_exp/exp17_low_score_evidence/outputs/exp31_disputed_low_resampling_seed42 | thesis_exp/scripts/run_exp31_seed42_disputed_low_scout.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp32,,,,thesis_exp/exp17_low_score_evidence/outputs/exp32_dual_teacher_campaign_conclusion_seed42,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp33,,,,thesis_exp/exp33_direction_aware_aggregation | thesis_exp/exp33_expert_reference,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp34,,,,,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,D,MISSING_CANONICAL_ARTIFACT,No stronger conclusion than the recorded evidence level.
Exp35,Qualify label methods without formal student training,,,thesis_exp/exp35_edudart_cal,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,B,VALID_DIAGNOSTIC,No stronger conclusion than the recorded evidence level.
Exp36,"Compare human-soft, teacher, LA and SAFER supervision",v0_original_hard,,thesis_exp/exp36_safer_score,,,question|answer|metric_canonical,Exp02/A2,hard vs human empirical distribution vs teacher variants,5-class logits plus inactive/active failure head,,,,highest dev Exact,42,rounded-label MAE/Bias/Kendall,human-soft Exact .7048->.7244; rounded MAE .3434->.3117,thesis_exp/exp36_safer_score/outputs/exp36a_safer_score_seed42/private/exp36a_oof_human_baseline_predictions.jsonl,SEE_RECOMPUTED_METRICS,A,POSITIVE_SIGNAL_METRIC_DRIFT_SINGLE_SEED,No stronger conclusion than the recorded evidence level.
Exp37,,,,thesis_exp/exp37_failure_evidence_qualification,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp38,,,,thesis_exp/exp38_hails_score,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp39,,,,thesis_exp/exp39_educfa,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp40,,,,thesis_exp/exp40_edupair_cf,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp41,,,,thesis_exp/exp41_rubric_bridge,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp42,RubiDist hard/soft rubric factorial,,,thesis_exp/exp42_rubidist,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,B,VALID_NEGATIVE_ONLY_UNDER_GROUPCV_PROTOCOL,No stronger conclusion than the recorded evidence level.
Exp43,RubiMOR ordinal/multi-observer metric heads,,,thesis_exp/exp43_rubimor | thesis_exp/scripts/run_exp43_goal.sh | thesis_exp/scripts/run_exp43_matrix.sh | thesis_exp/scripts/run_exp43_stage0_audit.sh | thesis_exp/scripts/run_exp43_stage1_smoke.sh | thesis_exp/scripts/run_exp43_stage2_baselines_seed42.sh | thesis_exp/scripts/run_exp43_stage3_ordinal_seed42.sh | thesis_exp/scripts/run_exp43_stage4_metric_head_seed42.sh | thesis_exp/scripts/run_exp43_stage5_pairwise_seed42.sh | thesis_exp/scripts/run_exp43_stage6_multiseed_groupcv.sh | thesis_exp/scripts/run_exp43_stage8_headline_dev.sh | thesis_exp/scripts/run_exp43_stage9_final_test.sh,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,B/C,INCOMPLETE_PAPER_CONTRACT_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp44,,,,thesis_exp/exp44_taco_score,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp45,Prototype/DOPR class representations,,,thesis_exp/exp45_dopr_head,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,B/C,NEGATIVE_OR_INCOMPLETE,No stronger conclusion than the recorded evidence level.
Exp46,,,,thesis_exp/exp46_hato_kd,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp47,Label identifiability diagnosis,,,thesis_exp/exp47_label2_identifiability,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,B,VALID_DIAGNOSTIC,No stronger conclusion than the recorded evidence level.
Exp48,,,,thesis_exp/exp48_eduq_tail,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp10r,,,,thesis_exp/outputs/exp10r_qdpr2_repro_diagnosis | thesis_exp/src/edujudge/exp10r_qdpr2_repro_diagnosis,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
