pilot_group,label,language,metric,subject,count
exp27c_v3_60_paired_repilot,3,en,Domain Knowledge Accuracy,Business Administration,1
exp27c_v3_60_paired_repilot,3,en,"Personalization, Adaptation & Learning Support",Biology,2
exp27c_v3_60_paired_repilot,3,en,Scenario Element Integration,Mathematics,1
exp27c_v3_60_paired_repilot,3,zh,"Clarity, Simplicity & Inspiration",Physical Education,1
exp27c_v3_60_paired_repilot,3,zh,Higher-Order Thinking & Skill Development,Physical Education,1
exp27c_v3_60_paired_repilot,3,zh,Instruction Following & Task Completion,Crop Science,1
exp27c_v3_60_paired_repilot,3,zh,Instruction Following & Task Completion,General Pedagogy,1
exp27c_v3_60_paired_repilot,3,zh,Instruction Following & Task Completion,Physics,1
exp27c_v3_60_paired_repilot,3,zh,"Personalization, Adaptation & Learning Support",Clinical Medicine,1
exp27c_v3_60_paired_repilot,3,zh,Reasoning Process Rigor,History,1
exp27c_v3_60_paired_repilot,3,zh,Scenario Element Integration,Basic Medicine,1
exp27c_v3_60_paired_repilot,3,zh,Scenario Element Integration,Clinical Medicine,1
exp27c_v3_60_paired_repilot,3,zh,Scenario Element Integration,Public Administration,1
exp27c_v3_60_paired_repilot,4,en,"Personalization, Adaptation & Learning Support",Sociology,1
exp27c_v3_60_paired_repilot,4,zh,"Clarity, Simplicity & Inspiration",Applied Economics,1
exp27c_v3_60_paired_repilot,4,zh,Instruction Following & Task Completion,Mathematics,1
exp27c_v3_60_paired_repilot,4,zh,"Personalization, Adaptation & Learning Support",Basic Medicine,1
exp27c_v3_60_paired_repilot,4,zh,Scenario Element Integration,Business Administration,1
exp27c_v3_60_paired_repilot,5,en,Basic Factual Accuracy,Law,1
exp27c_v3_60_paired_repilot,5,en,Content Relevance & Scope Control,Crop Science,2
exp27c_v3_60_paired_repilot,5,en,Content Relevance & Scope Control,Geography,1
exp27c_v3_60_paired_repilot,5,en,Error Identification & Correction Precision,Public Administration,1
exp27c_v3_60_paired_repilot,5,en,Instruction Following & Task Completion,Basic Medicine,1
exp27c_v3_60_paired_repilot,5,en,Reasoning Process Rigor,Chinese,1
exp27c_v3_60_paired_repilot,5,zh,Basic Factual Accuracy,Aquaculture,1
exp27c_v3_60_paired_repilot,5,zh,Basic Factual Accuracy,Crop Science,1
exp27c_v3_60_paired_repilot,5,zh,Content Relevance & Scope Control,Psychology,2
exp27c_v3_60_paired_repilot,5,zh,Reasoning Process Rigor,Applied Economics,1
exp27c_v3_60_paired_repilot,5,zh,Reasoning Process Rigor,Computer Science,1
exp27c_v3_60_paired_repilot,5,zh,Reasoning Process Rigor,General Pedagogy,1
new_education_dimension_stress,4,zh,Instruction Following & Task Completion,Physics,1
new_education_dimension_stress,5,en,Higher-Order Thinking & Skill Development,Geography,1
new_education_dimension_stress,5,en,Role & Tone Consistency,Military Science,1
new_education_dimension_stress,5,zh,Basic Factual Accuracy,Biology,1
new_high_control_disagreement_stress,4,en,Instruction Following & Task Completion,Mathematics,1
new_high_control_disagreement_stress,5,en,Basic Factual Accuracy,Basic Medicine,1
new_high_control_disagreement_stress,5,en,Instruction Following & Task Completion,Mathematics,1
new_high_control_disagreement_stress,5,zh,Basic Factual Accuracy,History,1
new_label3_borderline_risk_stress,3,en,Instruction Following & Task Completion,Geography,1
new_label3_borderline_risk_stress,3,en,"Motivation, Guidance & Positive Feedback",Geography,1
new_label3_borderline_risk_stress,3,zh,Error Identification & Correction Precision,General Pedagogy,1
new_label3_borderline_risk_stress,3,zh,"Motivation, Guidance & Positive Feedback",History,1
new_low_hard_disagreement_stress,1,en,Basic Factual Accuracy,Mathematics,1
new_low_hard_disagreement_stress,1,en,Reasoning Process Rigor,Basic Medicine,2
new_low_hard_disagreement_stress,1,en,Reasoning Process Rigor,Mathematics,1
new_low_hard_disagreement_stress,1,zh,Reasoning Process Rigor,Law,1
new_low_hard_disagreement_stress,1,zh,Reasoning Process Rigor,Physical Education,1
new_low_hard_disagreement_stress,2,zh,Basic Factual Accuracy,Basic Medicine,1
new_low_hard_disagreement_stress,2,zh,"Motivation, Guidance & Positive Feedback",Basic Medicine,1
