sample_id,label,label_region,qwen_failure_bucket,deepseek_failure_bucket,failure_bucket_exact
dcf321c484e4128628a7517762ccaf72fc0916d8,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
de4474725bb4f43b8ca668395ac6d4b329628464,5,high,no_failure,no_failure,True
e226030ea01e090a606049052bd6c187688f7a7a,5,high,no_failure,visible_failure,False
e927013b12cac98ecddc4843316f9befc695ed6d,5,high,no_failure,no_failure,True
ec9a7870c5ca6a68b1ba47d38ed2852f9d6a317e,3,mid,no_failure,hidden_or_missing_failure,False
eca00ddc55d718efe2435adde78462ed09661b7c,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
eebb6c2d0851b385f14d5f66295db77afd02c747,5,high,no_failure,hidden_or_missing_failure,False
f251793e251d1e0d57a905047fa2fa896f09a447,5,high,no_failure,no_failure,True
f33e86ba6eaa5281c801dea1ed174135a7d4c0da,2,low,no_failure,visible_failure,False
f5612be7738fe6587ba2b606bca666a43fe81795,5,high,no_failure,no_failure,True
fa56f52580300b84cfe4cfebbc253e20e69773f2,5,high,no_failure,no_failure,True
ff657c059d6b1fdddbeae35add3c566377c0dd86,5,high,no_failure,hidden_or_missing_failure,False
ff8336b754ae2926d754192bf5a2f0c7ca6ba2a5,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
