score_model,risk_model,rule,n_flagged,flagged_gold_low_rate,flagged_gold_high_rate,flagged_D1_hidden_count,flagged_low_to_high_baseline_count,flag_precision,flag_recall
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_abstain,69,0.08695652173913043,0.8405797101449275,5,6,0.08695652173913043,0.2608695652173913
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,score_cap_abstain,51,0.0392156862745098,0.8627450980392157,2,2,0.0392156862745098,0.08695652173913043
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,hybrid_abstain,51,0.0392156862745098,0.8627450980392157,2,2,0.0392156862745098,0.08695652173913043
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,disagreement_downgrade_to_3,51,0.0392156862745098,0.8627450980392157,2,2,0.0392156862745098,0.08695652173913043
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_downgrade_to_3,69,0.08695652173913043,0.8405797101449275,5,6,0.08695652173913043,0.2608695652173913
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5f2_real_only_from_r2c,disagreement_abstain,68,0.058823529411764705,0.8382352941176471,3,4,0.058823529411764705,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5f2_real_only_from_r2c,gap_abstain,92,0.09782608695652174,0.8260869565217391,7,9,0.09782608695652174,0.36
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5f2_real_only_from_r2c,score_cap_abstain,68,0.058823529411764705,0.8382352941176471,3,4,0.058823529411764705,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5f2_real_only_from_r2c,hybrid_abstain,68,0.058823529411764705,0.8382352941176471,3,4,0.058823529411764705,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5f2_real_only_from_r2c,disagreement_downgrade_to_3,68,0.058823529411764705,0.8382352941176471,3,4,0.058823529411764705,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5f2_real_only_from_r2c,gap_downgrade_to_3,92,0.09782608695652174,0.8260869565217391,7,9,0.09782608695652174,0.36
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,disagreement_abstain,64,0.0625,0.828125,3,4,0.0625,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_abstain,86,0.10465116279069768,0.813953488372093,7,9,0.10465116279069768,0.36
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,score_cap_abstain,64,0.0625,0.828125,3,4,0.0625,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,hybrid_abstain,64,0.0625,0.828125,3,4,0.0625,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,disagreement_downgrade_to_3,64,0.0625,0.828125,3,4,0.0625,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_downgrade_to_3,86,0.10465116279069768,0.813953488372093,7,9,0.10465116279069768,0.36
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,disagreement_abstain,59,0.06779661016949153,0.8305084745762712,3,4,0.06779661016949153,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_abstain,79,0.10126582278481013,0.8227848101265823,6,8,0.10126582278481013,0.32
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,score_cap_abstain,59,0.06779661016949153,0.8305084745762712,3,4,0.06779661016949153,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,hybrid_abstain,59,0.06779661016949153,0.8305084745762712,3,4,0.06779661016949153,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,disagreement_downgrade_to_3,59,0.06779661016949153,0.8305084745762712,3,4,0.06779661016949153,0.16
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_downgrade_to_3,79,0.10126582278481013,0.8227848101265823,6,8,0.10126582278481013,0.32
