variant,metric,mean,std,min,max,seed_count
v1_original_label_matched_weight,label1_recall,0.6842105263157895,0.0,0.6842105263157895,0.6842105263157895,3
v1_original_label_matched_weight,label2_recall,0.0,0.0,0.0,0.0,3
v1_original_label_matched_weight,label5_recall,0.8579136690647482,0.03690338944007768,0.8201438848920863,0.8938848920863309,3
v1_original_label_matched_weight,low_mean_p_score_ge_4,0.5846468883551921,0.046564453709859774,0.5364516900432104,0.6293882636688833,3
v1_original_label_matched_weight,high_mean_p_score_le_2,0.0065435054763853745,0.0015084253482956897,0.005215565275403683,0.008183579130984851,3
v2_selective_hard_relabel,MAE_argmax,0.41222523336344474,0.014631172072576132,0.4028906955736224,0.4290876242095754,3
v2_selective_hard_relabel,MAE_expected,0.442352490512742,0.016321547914982342,0.42351804503257345,0.4523533860481353,3
v2_selective_hard_relabel,QWK,0.5390026158616252,0.024388417769473054,0.5119524815303309,0.5593109415209867,3
v2_selective_hard_relabel,Exact_Match,0.666064438422162,0.0063448682642895295,0.6594399277326106,0.6720867208672087,3
v2_selective_hard_relabel,Kendall_tau,0.49312433352226365,0.016077557958860376,0.4746724729786286,0.5041207162162596,3
v2_selective_hard_relabel,Bin_Agreement,0.8654019873532068,0.0080290825811342,0.8590785907859079,0.8744354110207768,3
v2_selective_hard_relabel,Signed_Bias_argmax,0.15627822944896116,0.025438352015047364,0.12827461607949414,0.17795844625112917,3
v2_selective_hard_relabel,Signed_Bias_expected,0.08856112846238288,0.08456586983631337,-0.007307301570244776,0.15256766233695968,3
v2_selective_hard_relabel,low_to_high_count,31.0,3.4641016151377544,29.0,35.0,3
v2_selective_hard_relabel,low_to_high_rate,0.543859649122807,0.06077371254627639,0.5087719298245614,0.6140350877192983,3
v2_selective_hard_relabel,high_to_low_count,0.0,0.0,0.0,0.0,3
v2_selective_hard_relabel,high_to_low_rate,0.0,0.0,0.0,0.0,3
v2_selective_hard_relabel,label1_recall,0.6666666666666666,0.030386856273138228,0.631578947368421,0.6842105263157895,3
v2_selective_hard_relabel,label2_recall,0.008771929824561403,0.015193428136569098,0.0,0.02631578947368421,3
v2_selective_hard_relabel,label5_recall,0.7829736211031175,0.01906248572612067,0.762589928057554,0.8003597122302158,3
v2_selective_hard_relabel,low_mean_p_score_ge_4,0.5243571041194771,0.05219552961871127,0.4830066354362204,0.5830057155420818,3
v2_selective_hard_relabel,high_mean_p_score_le_2,0.007967870999475737,0.007749188213288492,0.0026046002140400165,0.016852442215377492,3
v3_selective_soft_audit,MAE_argmax,0.4065040650406504,0.0157503123524505,0.3956639566395664,0.4245709123757904,3
v3_selective_soft_audit,MAE_expected,0.4567210842569042,0.017010397283077083,0.4464242020586389,0.4763551830378407,3
v3_selective_soft_audit,QWK,0.5312180799079316,0.013336486581194677,0.5167687468962092,0.5430551705018021,3
v3_selective_soft_audit,Exact_Match,0.6747967479674797,0.012743212267087493,0.6630532971996387,0.6883468834688347,3
v3_selective_soft_audit,Kendall_tau,0.5092407235228114,0.03559133415876942,0.473313253767387,0.5444861178963876,3
v3_selective_soft_audit,Bin_Agreement,0.8711231556760012,0.0018804570907552946,0.8690153568202349,0.8726287262872628,3
v3_selective_soft_audit,Signed_Bias_argmax,0.21198434206564287,0.0940402110012316,0.11562782294489611,0.3035230352303523,3
v3_selective_soft_audit,Signed_Bias_expected,0.12449072296832239,0.12221315407022598,-0.016564692884629764,0.19870384426453666,3
v3_selective_soft_audit,low_to_high_count,32.333333333333336,2.0816659994661326,30.0,34.0,3
v3_selective_soft_audit,low_to_high_rate,0.5672514619883041,0.03652045613098479,0.5263157894736842,0.5964912280701754,3
v3_selective_soft_audit,high_to_low_count,0.3333333333333333,0.5773502691896257,0.0,1.0,3
v3_selective_soft_audit,high_to_low_rate,0.0003527336860670194,0.0006109526658091279,0.0,0.0010582010582010583,3
v3_selective_soft_audit,label1_recall,0.6140350877192983,0.08039606482378668,0.5263157894736842,0.6842105263157895,3
v3_selective_soft_audit,label2_recall,0.02631578947368421,0.045580284409707295,0.0,0.07894736842105263,3
v3_selective_soft_audit,label5_recall,0.8237410071942446,0.09177950231779189,0.7338129496402878,0.9172661870503597,3
v3_selective_soft_audit,low_mean_p_score_ge_4,0.5747534847237175,0.039948138217765446,0.5325474104264,0.611976050909314,3
v3_selective_soft_audit,high_mean_p_score_le_2,0.008492180995991586,0.006559324352812923,0.0040368620209939666,0.016024304225347275,3
v3_safe16_original_low_anchor,MAE_argmax,0.4056007226738934,0.027205456813686708,0.3821138211382114,0.43541102077687444,3
v3_safe16_original_low_anchor,MAE_expected,0.44190671257469594,0.01730073251407314,0.42238978727682447,0.4553574056757414,3
v3_safe16_original_low_anchor,QWK,0.56180322654358,0.046045376503186,0.51345076175598,0.605129029664764,3
v3_safe16_original_low_anchor,Exact_Match,0.6720867208672087,0.012807088418028755,0.6576332429990966,0.6820234869015357,3
v3_safe16_original_low_anchor,Kendall_tau,0.5147280813803735,0.0280643218370887,0.4823495671218665,0.5320706038669655,3
v3_safe16_original_low_anchor,Bin_Agreement,0.8629930743751882,0.013590224747240863,0.8500451671183379,0.8771454381210478,3
v3_safe16_original_low_anchor,Signed_Bias_argmax,0.16952725082806383,0.023072102083096083,0.14363143631436315,0.1878952122854562,3
v3_safe16_original_low_anchor,Signed_Bias_expected,0.10384602700740282,0.033843879009068774,0.07409069816816918,0.14066391591612387,3
v3_safe16_original_low_anchor,low_to_high_count,28.333333333333332,5.131601439446884,24.0,34.0,3
v3_safe16_original_low_anchor,low_to_high_rate,0.49707602339181284,0.0900280954288927,0.42105263157894735,0.5964912280701754,3
v3_safe16_original_low_anchor,high_to_low_count,1.0,1.0,0.0,2.0,3
v3_safe16_original_low_anchor,high_to_low_rate,0.0010582010582010583,0.0010582010582010583,0.0,0.0021164021164021165,3
v3_safe16_original_low_anchor,label1_recall,0.6491228070175439,0.030386856273138228,0.631578947368421,0.6842105263157895,3
v3_safe16_original_low_anchor,label2_recall,0.06140350877192982,0.08459342772800837,0.0,0.15789473684210525,3
v3_safe16_original_low_anchor,label5_recall,0.8219424460431655,0.023587908360798528,0.8003597122302158,0.8471223021582733,3
v3_safe16_original_low_anchor,low_mean_p_score_ge_4,0.5157862233641957,0.05210477605429149,0.45856905572770956,0.5605055018729712,3
v3_safe16_original_low_anchor,high_mean_p_score_le_2,0.00939793731908159,0.0011850868996691982,0.00830859310663089,0.010659845683361199,3
