sample_id,label,label_region,qwen_failure_visibility,deepseek_failure_visibility,failure_visibility_exact,qwen_overestimation_risk,deepseek_overestimation_risk,overestimation_risk_exact,qwen_evidence_type,deepseek_evidence_type,evidence_type_exact,major_failures_jaccard
c42d9020842ba63f6ee5de91d4d4b21f97f246ac,5,high,missing_required_content,hidden_failure,False,high,high,True,missing_required_content,missing_required_content,True,1.0
c70daeced1c735f1c2daf005fb9677fedc0fe6e2,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
cc6d5db1c4f4f75e83954e1ae458ae259662bb79,3,mid,missing_required_content,missing_required_content,True,medium,high,False,missing_required_content,missing_required_content,True,0.5
cd63948c28174674b09c1bed2f6fa389c8ec4a34,3,mid,no_major_failure,no_major_failure,True,low,medium,False,not_applicable,not_applicable,True,1.0
cf0b674668f9a20a13168541190ad544efcb4650,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
d0507dfe7e307caffb26489559bc360d53ac357d,1,low,missing_required_content,missing_required_content,True,high,high,True,missing_required_content,missing_required_content,True,1.0
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,2,low,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
dcf321c484e4128628a7517762ccaf72fc0916d8,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
de4474725bb4f43b8ca668395ac6d4b329628464,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
e226030ea01e090a606049052bd6c187688f7a7a,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
ec9a7870c5ca6a68b1ba47d38ed2852f9d6a317e,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
eca00ddc55d718efe2435adde78462ed09661b7c,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
f5612be7738fe6587ba2b606bca666a43fe81795,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
fa56f52580300b84cfe4cfebbc253e20e69773f2,5,high,no_major_failure,missing_required_content,False,low,high,False,not_applicable,missing_required_content,False,0.0
ff657c059d6b1fdddbeae35add3c566377c0dd86,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
