dimension,value,population_count,sample_count,sample_share,unique_question_keys,selection_manifest_sha256
metric,"Personalization, Adaptation & Learning Support",163,11,0.09166666666666666,11,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric,Reasoning Process Rigor,195,15,0.125,15,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric,Role & Tone Consistency,99,1,0.008333333333333333,1,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric,Scenario Element Integration,251,16,0.13333333333333333,16,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Applied Economics,55,4,0.03333333333333333,4,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Aquaculture,143,4,0.03333333333333333,4,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Automation,47,3,0.025,3,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Basic Medicine,159,6,0.05,6,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Biology,130,7,0.058333333333333334,7,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Business Administration,123,5,0.041666666666666664,5,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Chemistry,140,5,0.041666666666666664,5,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Chinese,84,4,0.03333333333333333,4,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Clinical Medicine,64,4,0.03333333333333333,4,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Computer Science,95,5,0.041666666666666664,5,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Crop Science,98,4,0.03333333333333333,4,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,English,95,4,0.03333333333333333,4,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,General Pedagogy,91,4,0.03333333333333333,4,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Geography,72,4,0.03333333333333333,4,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,History,173,9,0.075,9,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Law,52,5,0.041666666666666664,5,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Literature and Art,143,4,0.03333333333333333,4,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Mathematics,158,7,0.058333333333333334,7,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Military Science,86,3,0.025,3,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Physical Education,66,4,0.03333333333333333,4,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Physics,171,6,0.05,6,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Psychology,124,4,0.03333333333333333,4,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Public Administration,119,7,0.058333333333333334,7,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Sociology,36,3,0.025,3,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
subject,Theoretical Economics,130,5,0.041666666666666664,5,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
