dimension,value,population_count,sample_count,sample_share,unique_question_keys,selection_manifest_sha256
subject,Biology,123,5,0.041666666666666664,4,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Business Administration,118,19,0.15833333333333333,5,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Chemistry,135,5,0.041666666666666664,5,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Chinese,80,4,0.03333333333333333,3,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Clinical Medicine,60,1,0.008333333333333333,1,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Computer Science,90,4,0.03333333333333333,3,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Crop Science,94,5,0.041666666666666664,4,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,English,91,3,0.025,2,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,General Pedagogy,87,2,0.016666666666666666,2,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Geography,68,2,0.016666666666666666,2,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,History,164,8,0.06666666666666667,7,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Law,47,1,0.008333333333333333,1,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Literature and Art,139,6,0.05,6,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Mathematics,151,7,0.058333333333333334,6,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Military Science,83,3,0.025,3,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Physical Education,62,1,0.008333333333333333,1,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Physics,165,7,0.058333333333333334,7,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Psychology,120,6,0.05,6,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Public Administration,112,2,0.016666666666666666,2,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Sociology,33,0,0.0,0,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Theoretical Economics,125,6,0.05,3,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
