group_type,group_value,paired_rows,exact_agreement,within_one,quadratic_weighted_kappa,krippendorff_ordinal_alpha,score_range_overlap,adjudication_rate,status
metric,"Personalization, Adaptation & Learning Support",10,0.3,0.9,0.019607843137254943,-0.3571428571428572,0.9,0.7,COMPLETE
metric,Reasoning Process Rigor,13,0.38461538461538464,0.8461538461538461,0.7833333333333333,0.7896634615384616,0.8461538461538461,0.7692307692307693,COMPLETE
metric,Role & Tone Consistency,3,1.0,1.0,1.0,1.0,1.0,0.0,COMPLETE
metric,Scenario Element Integration,11,0.09090909090909091,0.18181818181818182,0.0,-0.7152317880794701,0.18181818181818182,0.9090909090909091,COMPLETE
subject,Applied Economics,1,0.0,1.0,0.0,0.0,1.0,1.0,COMPLETE
subject,Aquaculture,6,0.6666666666666666,1.0,0.8571428571428571,0.8658536585365854,1.0,0.8333333333333334,COMPLETE
subject,Automation,1,0.0,0.0,0.0,0.0,0.0,1.0,COMPLETE
subject,Basic Medicine,15,0.5333333333333333,0.6666666666666666,0.6496815286624205,0.6423766816143497,0.6666666666666666,0.4666666666666667,COMPLETE
subject,Biology,5,0.6,1.0,0.8913043478260869,0.9021739130434783,1.0,0.4,COMPLETE
subject,Business Administration,19,0.7368421052631579,0.7894736842105263,0.5392296718972895,0.5238455715367146,0.7894736842105263,0.3684210526315789,COMPLETE
subject,Chemistry,5,0.4,1.0,0.6666666666666666,0.6666666666666667,1.0,0.6,COMPLETE
subject,Chinese,4,1.0,1.0,1.0,1.0,1.0,0.0,COMPLETE
subject,Clinical Medicine,1,0.0,1.0,0.0,0.0,1.0,1.0,COMPLETE
subject,Computer Science,4,0.75,0.75,0.75,0.7741935483870968,0.75,0.75,COMPLETE
subject,Crop Science,5,0.6,0.8,0.0,-0.0714285714285714,0.8,0.4,COMPLETE
subject,English,3,0.0,1.0,-0.7999999999999998,-0.6666666666666667,0.3333333333333333,1.0,COMPLETE
subject,General Pedagogy,2,0.5,1.0,0.8571428571428572,0.8888888888888888,1.0,0.5,COMPLETE
subject,Geography,2,0.0,0.5,0.0,-0.36363636363636376,0.5,1.0,COMPLETE
subject,History,8,0.75,1.0,0.9012345679012346,0.90625,1.0,0.375,COMPLETE
subject,Law,1,0.0,1.0,0.0,0.0,1.0,1.0,COMPLETE
subject,Literature and Art,6,0.3333333333333333,0.8333333333333334,0.7341772151898734,0.7353951890034365,0.6666666666666666,0.8333333333333334,COMPLETE
subject,Mathematics,7,0.14285714285714285,0.8571428571428571,0.7149321266968327,0.7297921478060045,0.8571428571428571,0.8571428571428571,COMPLETE
subject,Military Science,3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,COMPLETE
subject,Physical Education,1,0.0,0.0,0.0,0.0,0.0,1.0,COMPLETE
subject,Physics,7,0.2857142857142857,1.0,0.7008547008547008,0.6889952153110048,1.0,0.7142857142857143,COMPLETE
subject,Psychology,6,0.5,1.0,0.88,0.8896321070234113,0.8333333333333334,0.6666666666666666,COMPLETE
subject,Public Administration,2,0.0,0.5,0.2857142857142857,0.21052631578947367,0.5,1.0,COMPLETE
subject,Theoretical Economics,6,0.5,0.8333333333333334,0.3793103448275862,0.43103448275862066,0.8333333333333334,0.6666666666666666,COMPLETE
label_region,high_4_5,50,0.34,0.82,0.5398773006134968,0.48775439806829946,0.74,0.7,COMPLETE
label_region,low_1_2,46,0.6739130434782609,0.8478260869565217,0.7849486887115165,0.7866902978674747,0.8478260869565217,0.43478260869565216,COMPLETE
label_region,mid_3,24,0.5416666666666666,0.875,0.6363636363636364,0.6417682926829268,0.875,0.625,COMPLETE
