baseline_name,ablation_name,display_name,metric,baseline_value,ablation_value,delta,direction,improved
QD-B1_low_score_weighted_ordinal,point_only,point_only,QWK,0.6012356007375432,0.6088530908536052,0.007617490116061942,higher_better,true
QD-B1_low_score_weighted_ordinal,point_only,point_only,Accuracy,0.670897552130553,0.6826835902085222,0.011786038077969185,higher_better,true
QD-B1_low_score_weighted_ordinal,point_only,point_only,Acc@5,0.7418831168831169,0.775974025974026,0.03409090909090906,higher_better,true
QD-B1_low_score_weighted_ordinal,point_only,point_only,monotonic_violation_rate,0.3118766999093382,0.4125113327289211,0.1006346328195829,lower_better,false
QD-B1_low_score_weighted_ordinal,point_only,point_only,p1_lt_p2_rate,nan,0.3653671804170444,nan,lower_better,
QD-B1_low_score_weighted_ordinal,point_only,point_only,p2_lt_p3_rate,nan,0.056210335448776065,nan,lower_better,
QD-B1_low_score_weighted_ordinal,point_only,point_only,p3_lt_p4_rate,nan,0.014505893019038985,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_point_diagnostic,no_point_diagnostic,low_to_high_rate,0.45161290322580644,0.45161290322580644,0.0,lower_better,false
QD-B1_low_score_weighted_ordinal,no_point_diagnostic,no_point_diagnostic,low_to_high_count,14.0,14.0,0.0,lower_better,false
QD-B1_low_score_weighted_ordinal,no_point_diagnostic,no_point_diagnostic,MAE,0.42792384406165007,0.4291326684799032,0.0012088244182531516,lower_better,false
QD-B1_low_score_weighted_ordinal,no_point_diagnostic,no_point_diagnostic,QWK,0.6012356007375432,0.5995070593494667,-0.0017285413880765432,higher_better,false
QD-B1_low_score_weighted_ordinal,no_point_diagnostic,no_point_diagnostic,Accuracy,0.670897552130553,0.6681776971894833,-0.0027198549410697437,higher_better,false
QD-B1_low_score_weighted_ordinal,no_point_diagnostic,no_point_diagnostic,Acc@5,0.7418831168831169,0.7353896103896104,-0.006493506493506551,higher_better,false
QD-B1_low_score_weighted_ordinal,no_point_diagnostic,no_point_diagnostic,monotonic_violation_rate,0.3118766999093382,0.2828649138712602,-0.02901178603807797,lower_better,true
QD-B1_low_score_weighted_ordinal,no_point_diagnostic,no_point_diagnostic,p1_lt_p2_rate,nan,0.24388032638259294,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_point_diagnostic,no_point_diagnostic,p2_lt_p3_rate,nan,0.03535811423390753,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_point_diagnostic,no_point_diagnostic,p3_lt_p4_rate,nan,0.009972801450589302,nan,lower_better,
