comparison,ablation_name,display_name,removed_module,dataloader_mode,force_pair_training,strict_module_ablation,metric,reference_value,ablation_value,delta,direction,improved,interpretation
vs_full_qdpr2,no_pair_same_pair_batches,no_pair_same_pair_batches,L_pair,pair,True,True,QWK,0.6028008872719937,0.6006083772333347,-0.0021925100386589458,higher_better,false,Primary L_pair evidence: removes the L_pair gradient contribution under identical pair-batch exposure.
vs_full_qdpr2,no_pair_same_pair_batches,no_pair_same_pair_batches,L_pair,pair,True,True,Accuracy,0.6844968268359021,0.6754306436990027,-0.00906618313689933,higher_better,false,Primary L_pair evidence: removes the L_pair gradient contribution under identical pair-batch exposure.
vs_full_qdpr2,no_pair_same_pair_batches,no_pair_same_pair_batches,L_pair,pair,True,True,Acc@5,0.7775974025974026,0.7548701298701299,-0.022727272727272707,higher_better,false,Primary L_pair evidence: removes the L_pair gradient contribution under identical pair-batch exposure.
vs_full_qdpr2,no_pair_same_pair_batches,no_pair_same_pair_batches,L_pair,pair,True,True,monotonic_violation_rate,0.3626473254759746,0.35176790571169536,-0.010879419764279252,lower_better,true,Primary L_pair evidence: removes the L_pair gradient contribution under identical pair-batch exposure.
vs_full_qdpr2,no_pair_same_pair_batches,no_pair_same_pair_batches,L_pair,pair,True,True,p1_lt_p2_rate,0.3073436083408885,0.3109700815956482,0.0036264732547597323,lower_better,false,Primary L_pair evidence: removes the L_pair gradient contribution under identical pair-batch exposure.
vs_full_qdpr2,no_pair_same_pair_batches,no_pair_same_pair_batches,L_pair,pair,True,True,p2_lt_p3_rate,0.05893019038984588,0.03989120580235721,-0.01903898458748867,lower_better,true,Primary L_pair evidence: removes the L_pair gradient contribution under identical pair-batch exposure.
vs_full_qdpr2,no_pair_same_pair_batches,no_pair_same_pair_batches,L_pair,pair,True,True,p3_lt_p4_rate,0.009972801450589302,0.010879419764279238,0.0009066183136899365,lower_better,false,Primary L_pair evidence: removes the L_pair gradient contribution under identical pair-batch exposure.
vs_full_qdpr2,no_anchor,no_anchor,L_anchor,pair,False,True,low_to_high_rate,0.45161290322580644,0.4838709677419355,0.03225806451612906,lower_better,false,Strict module ablation for L_anchor while retaining pair-batch exposure.
vs_full_qdpr2,no_anchor,no_anchor,L_anchor,pair,False,True,low_to_high_count,14.0,15.0,1.0,lower_better,false,Strict module ablation for L_anchor while retaining pair-batch exposure.
vs_full_qdpr2,no_anchor,no_anchor,L_anchor,pair,False,True,MAE,0.4146267754608643,0.4242973708068903,0.00967059534602599,lower_better,false,Strict module ablation for L_anchor while retaining pair-batch exposure.
vs_full_qdpr2,no_anchor,no_anchor,L_anchor,pair,False,True,QWK,0.6028008872719937,0.5860974614619433,-0.016703425810050354,higher_better,false,Strict module ablation for L_anchor while retaining pair-batch exposure.
vs_full_qdpr2,no_anchor,no_anchor,L_anchor,pair,False,True,Accuracy,0.6844968268359021,0.6745240253853128,-0.00997280145058932,higher_better,false,Strict module ablation for L_anchor while retaining pair-batch exposure.
vs_full_qdpr2,no_anchor,no_anchor,L_anchor,pair,False,True,Acc@5,0.7775974025974026,0.7743506493506493,-0.0032467532467532756,higher_better,false,Strict module ablation for L_anchor while retaining pair-batch exposure.
vs_full_qdpr2,no_anchor,no_anchor,L_anchor,pair,False,True,monotonic_violation_rate,0.3626473254759746,0.6092475067996374,0.24660018132366274,lower_better,false,Strict module ablation for L_anchor while retaining pair-batch exposure.
vs_full_qdpr2,no_anchor,no_anchor,L_anchor,pair,False,True,p1_lt_p2_rate,0.3073436083408885,0.4913871260199456,0.18404351767905713,lower_better,false,Strict module ablation for L_anchor while retaining pair-batch exposure.
vs_full_qdpr2,no_anchor,no_anchor,L_anchor,pair,False,True,p2_lt_p3_rate,0.05893019038984588,0.20217588395285585,0.14324569356300998,lower_better,false,Strict module ablation for L_anchor while retaining pair-batch exposure.
vs_full_qdpr2,no_anchor,no_anchor,L_anchor,pair,False,True,p3_lt_p4_rate,0.009972801450589302,0.012692656391659111,0.0027198549410698096,lower_better,false,Strict module ablation for L_anchor while retaining pair-batch exposure.
vs_full_qdpr2,no_mono,no_mono,L_mono,pair,False,True,low_to_high_rate,0.45161290322580644,0.41935483870967744,-0.032258064516129004,lower_better,true,Strict module ablation for L_mono while retaining pair-batch exposure.
vs_full_qdpr2,no_mono,no_mono,L_mono,pair,False,True,low_to_high_count,14.0,13.0,-1.0,lower_better,true,Strict module ablation for L_mono while retaining pair-batch exposure.
vs_full_qdpr2,no_mono,no_mono,L_mono,pair,False,True,MAE,0.4146267754608643,0.42187972197038376,0.0072529465095194645,lower_better,false,Strict module ablation for L_mono while retaining pair-batch exposure.
vs_full_qdpr2,no_mono,no_mono,L_mono,pair,False,True,QWK,0.6028008872719937,0.602509067495453,-0.0002918197765406916,higher_better,false,Strict module ablation for L_mono while retaining pair-batch exposure.
vs_full_qdpr2,no_mono,no_mono,L_mono,pair,False,True,Accuracy,0.6844968268359021,0.6736174070716229,-0.010879419764279197,higher_better,false,Strict module ablation for L_mono while retaining pair-batch exposure.
vs_full_qdpr2,no_mono,no_mono,L_mono,pair,False,True,Acc@5,0.7775974025974026,0.7548701298701299,-0.022727272727272707,higher_better,false,Strict module ablation for L_mono while retaining pair-batch exposure.
vs_full_qdpr2,no_mono,no_mono,L_mono,pair,False,True,monotonic_violation_rate,0.3626473254759746,0.35448776065276516,-0.008159564823209453,lower_better,true,Strict module ablation for L_mono while retaining pair-batch exposure.
vs_full_qdpr2,no_mono,no_mono,L_mono,pair,False,True,p1_lt_p2_rate,0.3073436083408885,0.3028105167724388,-0.004533091568449665,lower_better,true,Strict module ablation for L_mono while retaining pair-batch exposure.
vs_full_qdpr2,no_mono,no_mono,L_mono,pair,False,True,p2_lt_p3_rate,0.05893019038984588,0.04986400725294651,-0.009066183136899365,lower_better,true,Strict module ablation for L_mono while retaining pair-batch exposure.
vs_full_qdpr2,no_mono,no_mono,L_mono,pair,False,True,p3_lt_p4_rate,0.009972801450589302,0.011786038077969175,0.001813236627379873,lower_better,false,Strict module ablation for L_mono while retaining pair-batch exposure.
vs_full_qdpr2,point_only,point_only,L_pair+L_anchor+L_mono,pointwise,False,False,low_to_high_rate,0.45161290322580644,0.41935483870967744,-0.032258064516129004,lower_better,true,"Reduced pointwise-only baseline with pair, anchor, and monotonic terms disabled."
vs_full_qdpr2,point_only,point_only,L_pair+L_anchor+L_mono,pointwise,False,False,low_to_high_count,14.0,13.0,-1.0,lower_better,true,"Reduced pointwise-only baseline with pair, anchor, and monotonic terms disabled."
vs_full_qdpr2,point_only,point_only,L_pair+L_anchor+L_mono,pointwise,False,False,MAE,0.4146267754608643,0.41492898156542757,0.000302206104563274,lower_better,false,"Reduced pointwise-only baseline with pair, anchor, and monotonic terms disabled."
vs_full_qdpr2,point_only,point_only,L_pair+L_anchor+L_mono,pointwise,False,False,QWK,0.6028008872719937,0.6088530908536052,0.006052203581611515,higher_better,true,"Reduced pointwise-only baseline with pair, anchor, and monotonic terms disabled."
vs_full_qdpr2,point_only,point_only,L_pair+L_anchor+L_mono,pointwise,False,False,Accuracy,0.6844968268359021,0.6826835902085222,-0.0018132366273798661,higher_better,false,"Reduced pointwise-only baseline with pair, anchor, and monotonic terms disabled."
vs_full_qdpr2,point_only,point_only,L_pair+L_anchor+L_mono,pointwise,False,False,Acc@5,0.7775974025974026,0.775974025974026,-0.0016233766233766378,higher_better,false,"Reduced pointwise-only baseline with pair, anchor, and monotonic terms disabled."
vs_full_qdpr2,point_only,point_only,L_pair+L_anchor+L_mono,pointwise,False,False,monotonic_violation_rate,0.3626473254759746,0.4125113327289211,0.049864007252946485,lower_better,false,"Reduced pointwise-only baseline with pair, anchor, and monotonic terms disabled."
vs_full_qdpr2,point_only,point_only,L_pair+L_anchor+L_mono,pointwise,False,False,p1_lt_p2_rate,0.3073436083408885,0.3653671804170444,0.05802357207615594,lower_better,false,"Reduced pointwise-only baseline with pair, anchor, and monotonic terms disabled."
vs_full_qdpr2,point_only,point_only,L_pair+L_anchor+L_mono,pointwise,False,False,p2_lt_p3_rate,0.05893019038984588,0.056210335448776065,-0.002719854941069813,lower_better,true,"Reduced pointwise-only baseline with pair, anchor, and monotonic terms disabled."
vs_full_qdpr2,point_only,point_only,L_pair+L_anchor+L_mono,pointwise,False,False,p3_lt_p4_rate,0.009972801450589302,0.014505893019038985,0.004533091568449683,lower_better,false,"Reduced pointwise-only baseline with pair, anchor, and monotonic terms disabled."
vs_full_qdpr2,no_point_diagnostic,no_point_diagnostic,L_point,pair,False,False,low_to_high_rate,0.45161290322580644,0.45161290322580644,0.0,lower_better,false,Diagnostic run without direct pointwise supervision.
vs_full_qdpr2,no_point_diagnostic,no_point_diagnostic,L_point,pair,False,False,low_to_high_count,14.0,14.0,0.0,lower_better,false,Diagnostic run without direct pointwise supervision.
vs_full_qdpr2,no_point_diagnostic,no_point_diagnostic,L_point,pair,False,False,MAE,0.4146267754608643,0.4291326684799032,0.014505893019038929,lower_better,false,Diagnostic run without direct pointwise supervision.
vs_full_qdpr2,no_point_diagnostic,no_point_diagnostic,L_point,pair,False,False,QWK,0.6028008872719937,0.5995070593494667,-0.0032938279225269707,higher_better,false,Diagnostic run without direct pointwise supervision.
vs_full_qdpr2,no_point_diagnostic,no_point_diagnostic,L_point,pair,False,False,Accuracy,0.6844968268359021,0.6681776971894833,-0.016319129646418795,higher_better,false,Diagnostic run without direct pointwise supervision.
vs_full_qdpr2,no_point_diagnostic,no_point_diagnostic,L_point,pair,False,False,Acc@5,0.7775974025974026,0.7353896103896104,-0.04220779220779225,higher_better,false,Diagnostic run without direct pointwise supervision.
vs_full_qdpr2,no_point_diagnostic,no_point_diagnostic,L_point,pair,False,False,monotonic_violation_rate,0.3626473254759746,0.2828649138712602,-0.07978241160471439,lower_better,true,Diagnostic run without direct pointwise supervision.
vs_full_qdpr2,no_point_diagnostic,no_point_diagnostic,L_point,pair,False,False,p1_lt_p2_rate,0.3073436083408885,0.24388032638259294,-0.06346328195829554,lower_better,true,Diagnostic run without direct pointwise supervision.
vs_full_qdpr2,no_point_diagnostic,no_point_diagnostic,L_point,pair,False,False,p2_lt_p3_rate,0.05893019038984588,0.03535811423390753,-0.02357207615593835,lower_better,true,Diagnostic run without direct pointwise supervision.
vs_full_qdpr2,no_point_diagnostic,no_point_diagnostic,L_point,pair,False,False,p3_lt_p4_rate,0.009972801450589302,0.009972801450589302,0.0,lower_better,false,Diagnostic run without direct pointwise supervision.
