evaluator,comparison_role,comparison,stage,dimension,forced_completion_stratum,pairs,wins,ties,losses,win_rate_ties_retained,win_rate_ci_low,win_rate_ci_high,tie_adjusted_preference,tie_adjusted_ci_low,tie_adjusted_ci_high,net_preference,net_preference_ci_low,net_preference_ci_high
codex_sol,primary,R3_vs_R2,score_visible,overall_preference,all,120,97,9,14,0.8083333333333333,0.725,0.8833333333333333,0.8458333333333333,0.7708333333333334,0.9125,0.6916666666666667,0.5416666666666666,0.825
codex_sol,primary,R3_vs_R2,score_visible,overall_preference,neither_candidate_forced,80,64,7,9,0.8,0.6911651000606428,0.8987341772151899,0.84375,0.75,0.926829268292683,0.6875,0.5,0.8536585365853658
codex_sol,primary,R3_vs_R2,score_visible,overall_preference,R3_only_forced,17,15,1,1,0.8823529411764706,0.75,1.0,0.9117647058823529,0.8,1.0,0.8235294117647058,0.6,1.0
codex_sol,primary,R3_vs_R2,score_visible,overall_preference,comparator_only_forced,21,16,1,4,0.7619047619047619,0.5625,0.9333333333333333,0.7857142857142857,0.6,0.9411764705882353,0.5714285714285714,0.2,0.8823529411764706
codex_sol,primary,R3_vs_R2,score_visible,overall_preference,both_candidates_forced,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
codex_terra,primary,R3_vs_R2,score_visible,score_rationale_consistency,all,120,60,46,14,0.5,0.4083333333333333,0.5916666666666667,0.6916666666666667,0.6291666666666667,0.7541666666666667,0.38333333333333336,0.25833333333333336,0.5083333333333333
codex_terra,primary,R3_vs_R2,score_visible,score_rationale_consistency,neither_candidate_forced,80,38,34,8,0.475,0.3684210526315789,0.5853658536585366,0.6875,0.6104651162790697,0.7600068493150685,0.375,0.22093023255813954,0.5200136986301368
codex_terra,primary,R3_vs_R2,score_visible,score_rationale_consistency,R3_only_forced,17,11,5,1,0.6470588235294118,0.3888888888888889,0.9,0.7941176470588235,0.6248750000000001,0.95,0.5882352941176471,0.24975000000000022,0.9
codex_terra,primary,R3_vs_R2,score_visible,score_rationale_consistency,comparator_only_forced,21,10,7,4,0.47619047619047616,0.2777777777777778,0.6818181818181818,0.6428571428571429,0.5,0.8,0.2857142857142857,0.0,0.6
codex_terra,primary,R3_vs_R2,score_visible,score_rationale_consistency,both_candidates_forced,2,1,0,1,0.5,0.0,1.0,0.5,0.0,1.0,0.0,-1.0,1.0
codex_terra,primary,R3_vs_R2,score_visible,overall_scoring_justification_usefulness,all,120,60,46,14,0.5,0.4083333333333333,0.5916666666666667,0.6916666666666667,0.6291666666666667,0.7541666666666667,0.38333333333333336,0.25833333333333336,0.5083333333333333
codex_terra,primary,R3_vs_R2,score_visible,overall_scoring_justification_usefulness,neither_candidate_forced,80,38,34,8,0.475,0.3684210526315789,0.5853658536585366,0.6875,0.6104651162790697,0.7600068493150685,0.375,0.22093023255813954,0.5200136986301368
codex_terra,primary,R3_vs_R2,score_visible,overall_scoring_justification_usefulness,R3_only_forced,17,11,5,1,0.6470588235294118,0.3888888888888889,0.9,0.7941176470588235,0.6248750000000001,0.95,0.5882352941176471,0.24975000000000022,0.9
codex_terra,primary,R3_vs_R2,score_visible,overall_scoring_justification_usefulness,comparator_only_forced,21,10,7,4,0.47619047619047616,0.2777777777777778,0.6818181818181818,0.6428571428571429,0.5,0.8,0.2857142857142857,0.0,0.6
codex_terra,primary,R3_vs_R2,score_visible,overall_scoring_justification_usefulness,both_candidates_forced,2,1,0,1,0.5,0.0,1.0,0.5,0.0,1.0,0.0,-1.0,1.0
codex_terra,primary,R3_vs_R2,score_visible,overall_preference,all,120,60,46,14,0.5,0.4083333333333333,0.5916666666666667,0.6916666666666667,0.6291666666666667,0.7541666666666667,0.38333333333333336,0.25833333333333336,0.5083333333333333
codex_terra,primary,R3_vs_R2,score_visible,overall_preference,neither_candidate_forced,80,38,34,8,0.475,0.3684210526315789,0.5853658536585366,0.6875,0.6104651162790697,0.7600068493150685,0.375,0.22093023255813954,0.5200136986301368
codex_terra,primary,R3_vs_R2,score_visible,overall_preference,R3_only_forced,17,11,5,1,0.6470588235294118,0.3888888888888889,0.9,0.7941176470588235,0.6248750000000001,0.95,0.5882352941176471,0.24975000000000022,0.9
codex_terra,primary,R3_vs_R2,score_visible,overall_preference,comparator_only_forced,21,10,7,4,0.47619047619047616,0.2777777777777778,0.6818181818181818,0.6428571428571429,0.5,0.8,0.2857142857142857,0.0,0.6
codex_terra,primary,R3_vs_R2,score_visible,overall_preference,both_candidates_forced,2,1,0,1,0.5,0.0,1.0,0.5,0.0,1.0,0.0,-1.0,1.0
