stratum_type,label_5,metric_id,language,n_rows,all_rater_active_rows,all_rater_active_rate,all_rater_references,label_consistent_active_rows,label_consistent_active_rate,label_consistent_references
label_metric_language,3,CRSC,zh,9,7,0.7777777777777778,21,7,0.7777777777777778,15
label_metric_language,3,CSI,en,8,4,0.5,12,4,0.5,11
label_metric_language,3,CSI,zh,4,3,0.75,9,3,0.75,7
label_metric_language,3,DKA,en,6,3,0.5,9,3,0.5,7
label_metric_language,3,DKA,zh,6,4,0.6666666666666666,12,4,0.6666666666666666,8
label_metric_language,3,EICP,en,5,2,0.4,6,2,0.4,6
label_metric_language,3,EICP,zh,4,2,0.5,6,2,0.5,5
label_metric_language,3,HOTSD,en,23,10,0.43478260869565216,30,10,0.43478260869565216,25
label_metric_language,3,HOTSD,zh,24,14,0.5833333333333334,42,14,0.5833333333333334,33
label_metric_language,3,IFTC,en,10,6,0.6,18,6,0.6,16
label_metric_language,3,IFTC,zh,28,15,0.5357142857142857,45,15,0.5357142857142857,32
label_metric_language,3,MGPF,en,17,10,0.5882352941176471,30,10,0.5882352941176471,23
label_metric_language,3,MGPF,zh,15,7,0.4666666666666667,21,7,0.4666666666666667,14
label_metric_language,3,PALS,en,4,4,1.0,12,4,1.0,12
label_metric_language,3,PALS,zh,21,17,0.8095238095238095,51,17,0.8095238095238095,39
label_metric_language,3,RPR,en,12,7,0.5833333333333334,21,7,0.5833333333333334,18
label_metric_language,3,RPR,zh,13,9,0.6923076923076923,27,9,0.6923076923076923,22
label_metric_language,3,RTC,zh,1,1,1.0,3,1,1.0,2
label_metric_language,3,SEI,en,6,4,0.6666666666666666,12,4,0.6666666666666666,10
label_metric_language,3,SEI,zh,24,17,0.7083333333333334,51,17,0.7083333333333334,38
label_metric_language,4,BFA,en,7,1,0.14285714285714285,3,1,0.14285714285714285,2
label_metric_language,4,BFA,zh,27,16,0.5925925925925926,48,16,0.5925925925925926,38
label_metric_language,4,CRSC,en,21,14,0.6666666666666666,42,14,0.6666666666666666,30
label_metric_language,4,CRSC,zh,56,35,0.625,105,35,0.625,80
label_metric_language,4,CSI,en,51,31,0.6078431372549019,93,31,0.6078431372549019,70
label_metric_language,4,CSI,zh,41,27,0.6585365853658537,81,27,0.6585365853658537,62
label_metric_language,4,DKA,en,29,18,0.6206896551724138,54,18,0.6206896551724138,42
label_metric_language,4,DKA,zh,35,24,0.6857142857142857,72,24,0.6857142857142857,59
label_metric_language,4,EICP,en,8,5,0.625,15,5,0.625,10
label_metric_language,4,EICP,zh,21,11,0.5238095238095238,33,11,0.5238095238095238,29
label_metric_language,4,HOTSD,en,26,16,0.6153846153846154,48,16,0.6153846153846154,35
label_metric_language,4,HOTSD,zh,50,33,0.66,99,33,0.66,79
label_metric_language,4,IFTC,en,66,39,0.5909090909090909,117,39,0.5909090909090909,87
label_metric_language,4,IFTC,zh,120,76,0.6333333333333333,228,76,0.6333333333333333,171
label_metric_language,4,MGPF,en,43,30,0.6976744186046512,90,30,0.6976744186046512,70
label_metric_language,4,MGPF,zh,40,24,0.6,72,24,0.6,59
label_metric_language,4,PALS,en,35,20,0.5714285714285714,60,20,0.5714285714285714,42
label_metric_language,4,PALS,zh,40,22,0.55,66,22,0.55,52
label_metric_language,4,RPR,en,28,19,0.6785714285714286,57,19,0.6785714285714286,42
label_metric_language,4,RPR,zh,41,28,0.6829268292682927,84,28,0.6829268292682927,71
label_metric_language,4,RTC,en,18,10,0.5555555555555556,30,10,0.5555555555555556,23
label_metric_language,4,RTC,zh,31,23,0.7419354838709677,69,23,0.7419354838709677,52
label_metric_language,4,SEI,en,40,28,0.7,84,28,0.7,58
label_metric_language,4,SEI,zh,72,39,0.5416666666666666,117,39,0.5416666666666666,94
label_metric_language,5,BFA,en,157,91,0.5796178343949044,273,91,0.5796178343949044,232
label_metric_language,5,BFA,zh,117,76,0.6495726495726496,228,76,0.6495726495726496,203
label_metric_language,5,CRSC,en,128,72,0.5625,216,72,0.5625,181
label_metric_language,5,CRSC,zh,91,49,0.5384615384615384,147,49,0.5384615384615384,121
label_metric_language,5,CSI,en,34,16,0.47058823529411764,48,16,0.47058823529411764,36
label_metric_language,5,CSI,zh,46,30,0.6521739130434783,90,30,0.6521739130434783,77
label_metric_language,5,DKA,en,27,17,0.6296296296296297,51,17,0.6296296296296297,39
label_metric_language,5,DKA,zh,34,26,0.7647058823529411,78,26,0.7647058823529411,68
label_metric_language,5,EICP,en,52,30,0.5769230769230769,90,30,0.5769230769230769,74
label_metric_language,5,EICP,zh,33,15,0.45454545454545453,45,15,0.45454545454545453,39
label_metric_language,5,HOTSD,en,28,18,0.6428571428571429,54,18,0.6428571428571429,39
label_metric_language,5,HOTSD,zh,20,13,0.65,39,13,0.65,33
label_metric_language,5,IFTC,en,168,92,0.5476190476190477,276,92,0.5476190476190477,228
label_metric_language,5,IFTC,zh,88,54,0.6136363636363636,162,54,0.6136363636363636,141
label_metric_language,5,MGPF,en,34,20,0.5882352941176471,60,20,0.5882352941176471,52
label_metric_language,5,MGPF,zh,24,17,0.7083333333333334,51,17,0.7083333333333334,44
label_metric_language,5,PALS,en,43,28,0.6511627906976745,84,28,0.6511627906976745,72
label_metric_language,5,PALS,zh,19,11,0.5789473684210527,33,11,0.5789473684210527,33
label_metric_language,5,RPR,en,54,29,0.5370370370370371,87,29,0.5370370370370371,74
label_metric_language,5,RPR,zh,31,15,0.4838709677419355,45,15,0.4838709677419355,36
label_metric_language,5,RTC,en,35,23,0.6571428571428571,69,23,0.6571428571428571,58
label_metric_language,5,RTC,zh,14,8,0.5714285714285714,24,8,0.5714285714285714,21
label_metric_language,5,SEI,en,66,35,0.5303030303030303,105,35,0.5303030303030303,89
label_metric_language,5,SEI,zh,38,22,0.5789473684210527,66,22,0.5789473684210527,60
