variant,epoch,curriculum_rho,mean_teacher_lambda_seen,train_score_loss,train_failure_loss,failure_mask_exposures
v4_human_soft_logit_adjustment,10,0.0,0.0,0.4194549895466743,0.0,0
v5_safer_score,1,0.0,0.07468690693703786,1.2095380313245647,0.5440012970602656,2429
v5_safer_score,2,0.0,0.07468690693703783,0.9130383460861013,0.20967109423377608,2429
v5_safer_score,3,0.0,0.07468690693703786,0.800029475443873,0.16517242389529135,2429
v5_safer_score,4,0.3333333333333333,0.07468690693703778,0.7030202148886151,0.15681541408973196,2429
v5_safer_score,5,0.6666666666666666,0.07468690693703793,0.6323905482983598,0.15269649927700724,2429
v5_safer_score,6,1.0,0.07468690693703778,0.5813897617318364,0.14964404451963773,2429
v5_safer_score,7,1.0,0.07468690693703778,0.5413589698489732,0.14992829614896777,2429
v5_safer_score,8,1.0,0.07468690693703776,0.5197351898616517,0.1483062020747036,2429
v5_safer_score,9,1.0,0.07468690693703797,0.512069400038054,0.15175069876278874,2429
v5_safer_score,10,1.0,0.0746869069370377,0.5110344500954161,0.1485565027091596,2429
v7_shuffled_teacher_control,1,0.0,0.07468690693703783,1.2126446491982563,0.5498173745820322,2429
v7_shuffled_teacher_control,2,0.0,0.07468690693703786,0.9169698425579861,0.22212807388684477,2429
v7_shuffled_teacher_control,3,0.0,0.07468690693703779,0.8045529890581068,0.1736628614837326,2429
v7_shuffled_teacher_control,4,0.3333333333333333,0.07468690693703793,0.7237869616912072,0.16547812187640243,2429
v7_shuffled_teacher_control,5,0.6666666666666666,0.07468690693703783,0.6538072910260813,0.16226985466285013,2429
v7_shuffled_teacher_control,6,1.0,0.07468690693703782,0.6111805030559919,0.16329720798818148,2429
v7_shuffled_teacher_control,7,1.0,0.07468690693703772,0.5697599090411362,0.15932363565977528,2429
v7_shuffled_teacher_control,8,1.0,0.07468690693703783,0.5474342452474388,0.16065386154251285,2429
v7_shuffled_teacher_control,9,1.0,0.07468690693703775,0.5393632429775345,0.159796699261607,2429
v7_shuffled_teacher_control,10,1.0,0.07468690693703774,0.5387185965776893,0.16083019579962704,2429
