evaluator,subject_canonical,n,n_valid,MAE,Signed Bias,Exact Match,Kendall tau
GPT-4o,Physical Education,66,66,0.4848484848484848,0.3535353535353535,0.6818181818181818,0.37463541226791086
GPT-4o,Physics,146,142,0.647887323943662,0.5399061032863849,0.5704225352112676,0.15077952484233823
GPT-4o,Psychology,123,123,0.5663956639566398,0.40921409214092147,0.6341463414634146,0.339853246906695
GPT-4o,Public Administration,130,130,0.41282051282051285,0.1974358974358975,0.6153846153846154,0.33001910873860585
GPT-4o,Sociology,32,32,0.32291666666666663,0.19791666666666669,0.71875,0.48205907561309574
GPT-4o,Theoretical Economics,52,52,0.4615384615384616,0.3461538461538461,0.5576923076923077,0.34261306198225
DeepSeek-R1,Applied Economics,77,77,0.632034632034632,0.4242424242424243,0.6623376623376623,0.395113179913979
DeepSeek-R1,Aquaculture,115,115,0.46666666666666673,0.17681159420289863,0.6,0.4007118162571715
DeepSeek-R1,Automation,35,35,0.6666666666666666,0.5142857142857142,0.5142857142857142,0.20596353682029156
DeepSeek-R1,Basic Medicine,111,111,0.4984984984984986,0.10210210210210219,0.5675675675675675,0.3947180343929667
DeepSeek-R1,Biology,110,110,0.5121212121212122,0.45151515151515165,0.6,0.4460652687287368
DeepSeek-R1,Business Administration,104,104,1.0544871794871793,0.9134615384615384,0.38461538461538464,0.19273986326968068
DeepSeek-R1,Chemistry,104,104,0.4743589743589744,0.05769230769230774,0.6057692307692307,0.4006938046016509
DeepSeek-R1,Chinese,52,52,0.5000000000000001,0.3589743589743592,0.6346153846153846,0.4746133026784328
DeepSeek-R1,Clinical Medicine,52,52,0.8525641025641026,0.8525641025641026,0.5576923076923077,0.29915484354205774
DeepSeek-R1,Computer Science,102,102,0.7156862745098036,0.5261437908496732,0.6568627450980392,0.3399242409795125
DeepSeek-R1,Crop Science,94,94,0.5709219858156028,0.49290780141843965,0.6595744680851063,0.2078719564410977
DeepSeek-R1,English,64,64,0.5260416666666667,0.13020833333333343,0.5625,0.35169468936895826
DeepSeek-R1,General Pedagogy,74,74,0.5315315315315317,0.4414414414414416,0.47297297297297297,0.32601824619556524
DeepSeek-R1,Geography,77,77,0.7359307359307361,0.37229437229437234,0.5584415584415584,0.2599731890546012
DeepSeek-R1,History,151,151,0.7130242825607065,0.22295805739514352,0.5033112582781457,0.1776266113867046
DeepSeek-R1,Law,75,75,0.6533333333333333,0.4666666666666667,0.5733333333333334,0.32832016839837164
DeepSeek-R1,Literature and Art,105,105,0.46666666666666673,0.2444444444444445,0.6095238095238096,0.3815445078662303
DeepSeek-R1,Mathematics,111,111,0.5495495495495496,0.23123123123123124,0.6396396396396397,0.43104676947674264
DeepSeek-R1,Military Science,56,56,0.6726190476190477,0.5535714285714286,0.5535714285714286,0.34934576397451395
DeepSeek-R1,Physical Education,66,66,0.46969696969696967,0.21717171717171715,0.6666666666666666,0.3994722696610457
DeepSeek-R1,Physics,146,146,0.6484018264840183,0.3926940639269407,0.5616438356164384,0.21115435508402935
DeepSeek-R1,Psychology,123,123,0.5880758807588076,0.34417344173441744,0.6504065040650406,0.2830854056069957
DeepSeek-R1,Public Administration,130,130,0.4769230769230769,0.05128205128205134,0.5692307692307692,0.34551551572167427
DeepSeek-R1,Sociology,32,32,0.2708333333333333,-0.08333333333333331,0.75,0.704329033426915
DeepSeek-R1,Theoretical Economics,52,52,0.46794871794871795,0.28846153846153844,0.6346153846153846,0.35893791978849515
DeepSeek-V3,Applied Economics,77,77,0.6277056277056277,0.5151515151515152,0.6623376623376623,0.35500499174099964
DeepSeek-V3,Aquaculture,115,115,0.44927536231884063,0.3855072463768116,0.6,0.42157650162412513
DeepSeek-V3,Automation,35,35,0.5428571428571428,0.4857142857142857,0.6,0.4971380904993176
DeepSeek-V3,Basic Medicine,111,111,0.4684684684684685,0.3363363363363364,0.6036036036036037,0.3666158953471936
DeepSeek-V3,Biology,110,110,0.5545454545454546,0.5424242424242426,0.5545454545454546,0.46701628647173216
DeepSeek-V3,Business Administration,104,104,1.0064102564102564,0.9615384615384616,0.4519230769230769,0.35832851507122687
DeepSeek-V3,Chemistry,104,104,0.40384615384615385,0.2884615384615385,0.7019230769230769,0.42989209559478225
DeepSeek-V3,Chinese,52,52,0.4487179487179489,0.24358974358974375,0.6538461538461539,0.45212491273765826
DeepSeek-V3,Clinical Medicine,52,52,0.8910256410256411,0.8910256410256411,0.5961538461538461,0.0928032337334619
DeepSeek-V3,Computer Science,102,102,0.6928104575163397,0.6143790849673203,0.6176470588235294,0.3321009548983937
DeepSeek-V3,Crop Science,94,94,0.5354609929078015,0.45035460992907794,0.6595744680851063,0.3820488433774236
DeepSeek-V3,English,64,64,0.5260416666666667,0.3802083333333334,0.59375,0.31341266665937095
DeepSeek-V3,General Pedagogy,74,74,0.5315315315315317,0.4414414414414416,0.527027027027027,0.23493777046714015
DeepSeek-V3,Geography,77,77,0.6277056277056279,0.5670995670995672,0.5974025974025974,0.3311891333865573
DeepSeek-V3,History,151,151,0.7439293598233996,0.3554083885209714,0.5496688741721855,0.14198250795828124
DeepSeek-V3,Law,75,75,0.6222222222222222,0.37333333333333335,0.5333333333333333,0.32358932298520576
DeepSeek-V3,Literature and Art,105,105,0.5365079365079366,0.4730158730158731,0.5523809523809524,0.29871857834232574
DeepSeek-V3,Mathematics,111,111,0.5165165165165166,0.4024024024024025,0.6666666666666666,0.4602150583976879
DeepSeek-V3,Military Science,56,56,0.75,0.6428571428571429,0.5,0.25867462471936004
DeepSeek-V3,Physical Education,66,66,0.4949494949494949,0.32323232323232315,0.7121212121212122,0.3031079526040071
DeepSeek-V3,Physics,146,146,0.6095890410958904,0.5639269406392695,0.6164383561643836,0.3052680559872197
DeepSeek-V3,Psychology,123,123,0.5555555555555554,0.5230352303523035,0.6585365853658537,0.40825453137696616
DeepSeek-V3,Public Administration,130,130,0.4564102564102564,0.17435897435897443,0.5923076923076923,0.23253391907222676
DeepSeek-V3,Sociology,32,32,0.29166666666666663,0.22916666666666669,0.75,0.5440521243644776
DeepSeek-V3,Theoretical Economics,52,52,0.46153846153846145,0.3461538461538462,0.6538461538461539,0.36383687998115044
QwQ-plus,Applied Economics,77,77,0.6147186147186148,0.5021645021645023,0.7012987012987013,0.397955529310707
QwQ-plus,Aquaculture,115,113,0.38938053097345127,0.23598820058997058,0.6637168141592921,0.4851757604730892
QwQ-plus,Automation,35,35,0.6476190476190475,0.5714285714285714,0.6285714285714286,0.3571483534557934
QwQ-plus,Basic Medicine,111,108,0.54320987654321,0.25925925925925936,0.6018518518518519,0.23628493768021752
QwQ-plus,Biology,110,109,0.5412844036697249,0.4617737003058105,0.5688073394495413,0.38247998194337035
QwQ-plus,Business Administration,104,102,1.0359477124183005,0.9444444444444443,0.45098039215686275,0.26831365581876876
QwQ-plus,Chemistry,104,104,0.4230769230769231,0.21153846153846156,0.7019230769230769,0.4043737103689119
QwQ-plus,Chinese,52,49,0.5850340136054423,0.4897959183673471,0.5510204081632653,0.1618265372431798
QwQ-plus,Clinical Medicine,52,52,0.8333333333333334,0.8333333333333334,0.5769230769230769,0.3006728346845711
QwQ-plus,Computer Science,102,102,0.6764705882352939,0.5065359477124184,0.6764705882352942,0.36126382142448044
QwQ-plus,Crop Science,94,94,0.5070921985815603,0.4716312056737588,0.7021276595744681,0.44179279382340536
QwQ-plus,English,64,63,0.5767195767195767,0.22751322751322758,0.5396825396825397,0.22380790517788543
QwQ-plus,General Pedagogy,74,73,0.5616438356164384,0.46118721461187223,0.4931506849315068,0.15110361118555032
QwQ-plus,Geography,77,76,0.7105263157894739,0.3859649122807018,0.6052631578947368,0.2550573912088713
QwQ-plus,History,151,147,0.7641723356009071,0.3378684807256236,0.5714285714285714,0.17919763197960137
QwQ-plus,Law,75,75,0.6177777777777778,0.4933333333333334,0.5466666666666666,0.3946308710256416
QwQ-plus,Literature and Art,105,105,0.4634920634920636,0.3111111111111112,0.6095238095238096,0.4008032051972643
QwQ-plus,Mathematics,111,111,0.6666666666666666,0.3303303303303305,0.6486486486486487,0.27946835004925713
QwQ-plus,Military Science,56,56,0.8095238095238094,0.6071428571428571,0.5,0.2500463015365791
QwQ-plus,Physical Education,66,66,0.5505050505050504,0.3383838383838383,0.6060606060606061,0.2021106844334499
QwQ-plus,Physics,146,146,0.5844748858447488,0.5022831050228311,0.636986301369863,0.31199585370773547
QwQ-plus,Psychology,123,123,0.5718157181571817,0.3929539295392954,0.5934959349593496,0.3415857847183616
QwQ-plus,Public Administration,130,126,0.462962962962963,0.14021164021164026,0.5634920634920635,0.2664098745739445
QwQ-plus,Sociology,32,32,0.375,0.10416666666666669,0.65625,0.47347333173930645
QwQ-plus,Theoretical Economics,52,52,0.44230769230769224,0.3269230769230769,0.6923076923076923,0.4350002175001631
