evaluator,record_id,triple_key,metric_canonical,raw_score,source_file,source_row_index,alignment_method,parse_note
GPT-4o,da30cd16aac86c8bacaa6af2820673df2caa4923,e47f84104fca5e69f3d12693239ee9ce2536a858,"Clarity, Simplicity & Inspiration",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1283,record_id,empty
QwQ-plus,6a46e9254ac37bb18fc58cead969e7a4c266e00f,a9832d14f848cd22c9d2847a76d033edf04cbba4,"Clarity, Simplicity & Inspiration",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1297,record_id,empty
QwQ-plus,b09d84aad82044e5e835834630baf25f6382a826,3f714be33e089d41272f799fa7da2e97d56cbf01,"Motivation, Guidance & Positive Feedback",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1298,record_id,empty
GPT-4o,1b7eb6e8d9677d3919dca47d4e688a8d4398fcdb,7977841c5e550544e77e2ef7296421e260166530,"Clarity, Simplicity & Inspiration",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1357,record_id,empty
GPT-4o,0e94d74c48ff4644ab4711486cee08692a9b3f79,417c5b1bfee0957f97db354312c025d954cb13f7,"Motivation, Guidance & Positive Feedback",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1358,record_id,empty
GPT-4o,3ebbe553767e7a68f101e6b84f1f9a39ff3ea56b,dd8c8fd9a5b6a11419ba181868a599959db4cfcd,Reasoning Process Rigor,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1376,record_id,empty
GPT-4o,52a368555f0ffd8d49d9bf1908c2f1eab206cb66,8567b5067d4111cc6f3edc49d290d744afdb5152,Error Identification & Correction Precision,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1377,record_id,empty
GPT-4o,211425fdc4b5397f1bec28914ec7694924539ca3,5b8a2e102ecf086571dd7ffc318ca05829b0790a,"Motivation, Guidance & Positive Feedback",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1378,record_id,empty
GPT-4o,423e5a7e0a721d57d470ab6775acb98fb7c94d5a,f10ac760a62bc385750edde48ac3f6bfe2278505,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1487,record_id,empty
QwQ-plus,e69a26814d3590fa41a1c1d4c5891f2ce4b097c4,f4fe02816d78691c617ebfe9fa6032705bda3430,Domain Knowledge Accuracy,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1531,record_id,empty
QwQ-plus,2bbef2cdab940b126a0a18896f38321789074b3b,65f9c539fa80e8f16abf4bbe4706c49476803b85,Reasoning Process Rigor,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1532,record_id,empty
QwQ-plus,5a8d33f601817e4daf95adc4073c5d3b9cfc4645,cce99ba97fdab8a23ebdef5d73bf883cce1442fd,"Clarity, Simplicity & Inspiration",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1533,record_id,empty
QwQ-plus,7426b13d766bb57eba3b526ddc080de2b24c1b5c,164fee39e66762375517f6f4eb774ed8d716b428,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1534,record_id,empty
GPT-4o,8b50a2f785a14e8cfd62ca83a6810f14530904ea,4ab58e0a9fec3be21d26479481bbb3ef92d73abe,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1809,record_id,empty
GPT-4o,142769c8ad0d050d2bc1e4f722188931823e3bb2,8eda90ffc92521b89967fc72fb7dbfb4711d231c,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1837,record_id,empty
GPT-4o,f2f9247097a5afad3325ba6ffeed7b72677dd0c5,ef74580ead5fd6eb1bdccceec07c843669a2e5e0,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,1862,record_id,empty
QwQ-plus,d697c93e879bc7728381b4ccda7e4c565f5ce53f,43c6b0dbd8da8d71a268c2ec2e026ea72affc964,"Clarity, Simplicity & Inspiration",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2022,record_id,empty
QwQ-plus,8d5f6cc8b6f1b93d16731dec2bae5f75bd310aa8,a705fb0f73c37b2e1cfbecfdca344cce2b2c9f16,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2023,record_id,empty
QwQ-plus,d1d449b54a9a4f00db95a34431c2b32a71f6b88c,50a5e18d0bafda7a555585fa1a21be407d5c93a7,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2052,record_id,empty
GPT-4o,e2c5e8d4fd13b1834ba243d3f8a3c5599f547618,cadd9f44440bca34c86cebf75e2316e5d6341ad1,"Clarity, Simplicity & Inspiration",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2082,record_id,empty
QwQ-plus,247a928a6ca206c99ea9bccde8a6d6ceba95a7cd,148cfb3031db0a29db828924e3bc9291b2b53608,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2107,record_id,empty
QwQ-plus,5ba2c35ce4c37f64750b3cc49594f1844504e586,50398ed8615e942206bdde15dc26007526ca11a4,"Clarity, Simplicity & Inspiration",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2110,record_id,empty
GPT-4o,58451e3c82cf83a95feb8606126c79b5bc6690c3,83c7594b2605ee6cff570f0e80f349f6895eb56e,Higher-Order Thinking & Skill Development,,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2115,record_id,empty
QwQ-plus,2e734e6652c1ba8a12d33ae40c47f264170d3293,64927bd5e3584fd7af49fd51ed42aba8b9a06ffe,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2186,record_id,empty
QwQ-plus,491e7261bc25eda77f8a332b9b63b07a1f09c95f,2810ffac185a49f6747edb033b483b5671456597,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2195,record_id,empty
QwQ-plus,260068a88c7e72713274ce0e0caec721b968ff2a,92dae7a112e321e3b75dc7add0fe9a9ddbaaa814,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2202,record_id,empty
QwQ-plus,5cd32cce70a364bcaee4733d7a976ef0579b8b95,91462793b8b6bd45198a01bce0b192d36dbdd8b6,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2207,record_id,empty
QwQ-plus,edfc6e35c234cc8615af0c19a25832e26bb08d30,b02bc57abbce11d5031e3df7d733702af4dc991e,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2211,record_id,empty
GPT-4o,79a4c0b8698e1605dcffb9edc04fd2910671c24e,5eabe1e2987172e251efe6f1f27448b6421eaf70,"Personalization, Adaptation & Learning Support",,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,2214,record_id,empty
