run_id,lambda_low,selection_metric,selected_epoch,epoch,global_step,dev_MAE_label,dev_MAE_expected,dev_qwk,dev_kendall_tau,dev_low_to_high_rate,dev_low_signed_bias,dev_mean_pred_low,dev_Acc_at_1,dev_Acc_at_2,dev_low_exact_match,mean_penalty_eval,mean_s_hat_low_eval,mean_over_low_eval,is_selected_checkpoint_epoch,is_best_dev_MAE_label_epoch,is_best_dev_low_to_high_epoch,checkpoint_selection_matches_low_to_high_best,selected_checkpoint_has_best_low_to_high_value,best_dev_low_to_high_epochs
L2b_asymmetric_ordinal_lambda05_margin0,0.5,dev_MAE_label,10,1,21,0.5386546184738955,0.509299831543432,0.22408893657479467,0.31999648646886414,1.0,2.466666666666667,4.25,0.0,0.0,0.0,0.011915039405765304,0.8536295258855245,0.49820783626602355,False,False,False,False,True,"7,8,9,10"
L2b_asymmetric_ordinal_lambda05_margin0,0.5,dev_MAE_label,10,2,42,0.44879518072289154,0.40345809432438556,0.3895383046326444,0.4767848184790336,1.0,2.416666666666667,4.2,0.0,0.0,0.0,0.010276096525141993,0.8180331580610161,0.4626114684415151,False,False,False,False,True,"7,8,9,10"
L2b_asymmetric_ordinal_lambda05_margin0,0.5,dev_MAE_label,10,3,63,0.429718875502008,0.37191126519163326,0.5066155321188879,0.5334704940887717,0.8,2.166666666666667,3.95,0.0,0.0,0.0,0.0076392949222171885,0.7469117899975145,0.3914901032505265,False,False,False,False,True,"7,8,9,10"
L2b_asymmetric_ordinal_lambda05_margin0,0.5,dev_MAE_label,10,4,84,0.411144578313253,0.36534480978079076,0.5574090396818088,0.557367516438551,0.55,1.7666666666666664,3.55,0.16666666666666666,0.0,0.05,0.006084063735577357,0.7183489052646131,0.36292722139013817,False,False,False,False,True,"7,8,9,10"
L2b_asymmetric_ordinal_lambda05_margin0,0.5,dev_MAE_label,10,5,105,0.4071285140562248,0.36465603350947035,0.6362411586392724,0.5750700959567452,0.35,1.2666666666666666,3.05,0.3333333333333333,0.14285714285714285,0.2,0.004555454573044217,0.660160851765828,0.30473916573696824,False,False,False,False,True,"7,8,9,10"
L2b_asymmetric_ordinal_lambda05_margin0,0.5,dev_MAE_label,10,6,126,0.396586345381526,0.3538830713329358,0.6389527248850952,0.5750610931310969,0.3,1.2166666666666666,3.0,0.3333333333333333,0.14285714285714285,0.2,0.004667766984125756,0.6661595106124878,0.31073782530175637,False,False,False,False,True,"7,8,9,10"
L2b_asymmetric_ordinal_lambda05_margin0,0.5,dev_MAE_label,10,7,147,0.3870481927710843,0.352084309315089,0.656823990664734,0.5924932330379623,0.25,1.1166666666666667,2.9,0.5,0.07142857142857142,0.2,0.003844262081821146,0.62877336898482,0.27335168367408846,False,False,True,False,True,"7,8,9,10"
L2b_asymmetric_ordinal_lambda05_margin0,0.5,dev_MAE_label,10,8,168,0.3870481927710843,0.3502568494316484,0.6510744037313889,0.5819669648830594,0.25,1.1166666666666667,2.9,0.5,0.07142857142857142,0.2,0.004082201228263867,0.6374111146811979,0.2819894293704665,False,False,False,False,True,"7,8,9,10"
L2b_asymmetric_ordinal_lambda05_margin0,0.5,dev_MAE_label,10,9,189,0.3830321285140562,0.34928885236744206,0.6556421258199527,0.586173877847935,0.25,1.0666666666666667,2.85,0.5,0.14285714285714285,0.25,0.0039870933214404495,0.6320890733994633,0.27666738593434714,False,False,False,False,True,"7,8,9,10"
L2b_asymmetric_ordinal_lambda05_margin0,0.5,dev_MAE_label,10,10,210,0.38253012048192764,0.35163703275864383,0.6569337782960074,0.5873296149628017,0.25,1.0666666666666667,2.85,0.5,0.14285714285714285,0.25,0.00406215321665338,0.6350970814026982,0.27967539752822324,True,True,False,False,True,"7,8,9,10"
