source_file,error_type,target_label_5,count,pct
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,missing,3,1681,0.01579
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,missing,4,6148,0.057751
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,missing,5,8936,0.08394
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,missing,1,182,0.00171
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,missing,2,246,0.002311
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,missing,3,1017,0.009553
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,missing,4,3696,0.034718
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,missing,5,4957,0.046563
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,missing,1,82,0.00077
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,missing,2,125,0.001174
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,missing,3,664,0.006237
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,missing,4,2381,0.022366
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,missing,5,3480,0.032689
edu-data-synthesis-main/data/zh/cjeval.jsonl,missing,missing,26136,0.245508
edu-data-synthesis-main/data/zh/gaokao-bench.jsonl,missing,missing,3126,0.029364
edu-data-synthesis-main/init_workflows/init_evaluation_workflow_1_1.json,missing,missing,1,9e-06
edu-data-synthesis-main/test_workflow.json,missing,missing,1,9e-06
groupby_metric_qwq_eval_en.jsonl,missing,1,38,0.000357
groupby_metric_qwq_eval_en.jsonl,missing,2,53,0.000498
groupby_metric_qwq_eval_en.jsonl,missing,3,84,0.000789
groupby_metric_qwq_eval_en.jsonl,missing,4,313,0.00294
groupby_metric_qwq_eval_en.jsonl,missing,5,2209,0.02075
groupby_metric_qwq_eval_en.jsonl,missing,missing,12,0.000113
groupby_metric_qwq_eval_zh.jsonl,missing,1,12,0.000113
groupby_metric_qwq_eval_zh.jsonl,missing,2,47,0.000441
groupby_metric_qwq_eval_zh.jsonl,missing,3,123,0.001155
groupby_metric_qwq_eval_zh.jsonl,missing,4,613,0.005758
groupby_metric_qwq_eval_zh.jsonl,missing,5,1936,0.018186
groupby_metric_qwq_eval_zh.jsonl,missing,missing,1,9e-06
groupby_metric_r1_eval_en.jsonl,missing,1,35,0.000329
groupby_metric_r1_eval_en.jsonl,missing,2,86,0.000808
groupby_metric_r1_eval_en.jsonl,missing,3,121,0.001137
groupby_metric_r1_eval_en.jsonl,missing,4,454,0.004265
groupby_metric_r1_eval_en.jsonl,missing,5,2070,0.019444
groupby_metric_r1_eval_en.jsonl,missing,missing,1,9e-06
groupby_metric_r1_eval_zh.jsonl,missing,1,9,8.5e-05
groupby_metric_r1_eval_zh.jsonl,missing,2,68,0.000639
groupby_metric_r1_eval_zh.jsonl,missing,3,147,0.001381
groupby_metric_r1_eval_zh.jsonl,missing,4,573,0.005382
groupby_metric_r1_eval_zh.jsonl,missing,5,1791,0.016824
groupby_metric_r1_eval_zh.jsonl,missing,missing,36,0.000338
groupby_metric_v3_eval_en.jsonl,missing,1,70,0.000658
groupby_metric_v3_eval_en.jsonl,missing,2,9,8.5e-05
groupby_metric_v3_eval_en.jsonl,missing,3,61,0.000573
groupby_metric_v3_eval_en.jsonl,missing,4,617,0.005796
groupby_metric_v3_eval_en.jsonl,missing,5,1996,0.018749
groupby_metric_v3_eval_en.jsonl,missing,missing,32,0.000301
groupby_metric_v3_eval_zh.jsonl,missing,2,2,1.9e-05
groupby_metric_v3_eval_zh.jsonl,missing,3,15,0.000141
groupby_metric_v3_eval_zh.jsonl,missing,4,562,0.005279
groupby_metric_v3_eval_zh.jsonl,missing,5,2194,0.020609
groupby_metric_v3_eval_zh.jsonl,missing,missing,32,0.000301
human_sampled_eval_sft_criteria_test.json,missing,1,50,0.00047
human_sampled_eval_sft_criteria_test.json,missing,2,60,0.000564
human_sampled_eval_sft_criteria_test.json,missing,3,326,0.003062
human_sampled_eval_sft_criteria_test.json,missing,4,1043,0.009797
human_sampled_eval_sft_criteria_test.json,missing,5,1795,0.016861
merge_model_metric.jsonl,missing,1,17,0.00016
merge_model_metric.jsonl,missing,2,29,0.000272
merge_model_metric.jsonl,missing,3,135,0.001268
merge_model_metric.jsonl,missing,4,754,0.007083
merge_model_metric.jsonl,missing,5,5726,0.053787
missing,missing,missing,6,5.6e-05
sampled_merge_50_new.json,missing,1,1200,0.011272
sampled_merge_50_new.json,missing,2,1200,0.011272
sampled_merge_50_new.json,missing,3,1200,0.011272
sampled_merge_50_new.json,missing,4,1200,0.011272
sampled_merge_50_new.json,missing,5,1200,0.011272
sampled_merge_50_new_swift.json,missing,1,1200,0.011272
sampled_merge_50_new_swift.json,missing,2,1200,0.011272
sampled_merge_50_new_swift.json,missing,3,1200,0.011272
sampled_merge_50_new_swift.json,missing,4,1200,0.011272
sampled_merge_50_new_swift.json,missing,5,1200,0.011272
