source_file,likely_role,candidate_rows,target_label_5_rows,low_score_rows,error_type_rows,normalization_status_counts,dev_test_leakage,leakage_risk,label_reliability_status,recommended_use,allowed_split,blocked_reasons
deepseek_output/unique_questions.jsonl,unknown,25,0,0,0,"{""non_edubench_task_score_review_only"": 25}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,no target_label_5; no low-score target_label_5 rows
deepseek_output/zh_judge_20251109_223622.jsonl,model_judge_output,234,0,0,0,"{""non_edubench_task_score_review_only"": 234}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"model/judge output, not human label; no target_label_5; no low-score target_label_5 rows"
edu-data-synthesis-main/data/criteria/metrics_old.json,synthetic_candidate,3,0,0,0,"{""not_normalized_missing_question_or_answer"": 3}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,no target_label_5; no low-score target_label_5 rows
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,synthetic_candidate,17400,17400,635,0,"{""synthetic_metric_label_review_only"": 17400}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,exact dev/test overlap detected
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,model_judge_output,10098,10098,428,0,"{""synthetic_metric_label_review_only"": 10098}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"exact dev/test overlap detected; model/judge output, not human label"
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,model_judge_output,6732,6732,207,0,"{""synthetic_metric_label_review_only"": 6732}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"exact dev/test overlap detected; model/judge output, not human label"
edu-data-synthesis-main/data/zh/cjeval.jsonl,sampled_augmented,26136,0,0,0,"{"""": 2, ""non_edubench_task_score_review_only"": 26133, ""not_normalized_missing_question_or_answer"": 1}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,no target_label_5; no low-score target_label_5 rows
edu-data-synthesis-main/data/zh/gaokao-bench.jsonl,sampled_augmented,3126,0,0,0,"{""non_edubench_task_score_review_only"": 3126}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,no target_label_5; no low-score target_label_5 rows
edu-data-synthesis-main/init_workflows/init_evaluation_workflow_1_1.json,synthetic_candidate,1,0,0,0,"{""not_normalized_missing_question_or_answer"": 1}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,no target_label_5; no low-score target_label_5 rows
edu-data-synthesis-main/test_workflow.json,synthetic_candidate,1,0,0,0,"{""not_normalized_missing_question_or_answer"": 1}",False,LOW,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,no target_label_5; no low-score target_label_5 rows
groupby_metric_qwq_eval_en.jsonl,model_judge_output,2709,2697,91,0,"{""model_judge_output_review_only"": 2700, ""non_edubench_task_score_review_only"": 9}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"exact dev/test overlap detected; model/judge output, not human label; required blocked judge/model source"
groupby_metric_qwq_eval_zh.jsonl,model_judge_output,2732,2731,59,0,"{""model_judge_output_review_only"": 2732}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"exact dev/test overlap detected; model/judge output, not human label; required blocked judge/model source"
groupby_metric_r1_eval_en.jsonl,model_judge_output,2767,2766,121,0,"{""model_judge_output_review_only"": 2767}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"exact dev/test overlap detected; model/judge output, not human label; required blocked judge/model source"
groupby_metric_r1_eval_zh.jsonl,model_judge_output,2624,2588,77,0,"{""model_judge_output_review_only"": 2592, ""non_edubench_task_score_review_only"": 32}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"exact dev/test overlap detected; model/judge output, not human label; required blocked judge/model source"
groupby_metric_v3_eval_en.jsonl,model_judge_output,2785,2753,79,0,"{""model_judge_output_review_only"": 2785}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"exact dev/test overlap detected; model/judge output, not human label; required blocked judge/model source"
groupby_metric_v3_eval_zh.jsonl,model_judge_output,2805,2773,2,0,"{""model_judge_output_review_only"": 2805}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"exact dev/test overlap detected; model/judge output, not human label; required blocked judge/model source"
human_sampled_eval_sft_criteria_test.json,sampled_augmented,3274,3274,110,0,"{""not_normalized_missing_question_or_answer"": 323, ""sft_sample_review_only"": 2951}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,exact dev/test overlap detected; test-style human-sampled SFT file
merge_model_metric.jsonl,model_judge_output,6661,6661,46,0,"{""model_judge_output_review_only"": 6661}",True,BLOCKED,unverified_human_or_model_generated,BLOCKED_OR_REVIEW_ONLY,train_only_if_approved,"exact dev/test overlap detected; model/judge output, not human label; required blocked judge/model source"
sampled_merge_50_new.json,sampled_augmented,6000,6000,2400,0,"{""not_normalized_missing_question_or_answer"": 2744, ""sft_sample_review_only"": 3256}",True,BLOCKED,unverified_human_or_model_generated,HIGH_RISK_REVIEW_ONLY,train_only_if_approved,exact dev/test overlap detected; required HIGH risk sampled_merge source
sampled_merge_50_new_swift.json,sampled_augmented,6000,6000,2400,0,"{""not_normalized_missing_question_or_answer"": 6000}",False,LOW,unverified_human_or_model_generated,HIGH_RISK_REVIEW_ONLY,train_only_if_approved,required HIGH risk sampled_merge source
