check,path,status,observed,expected,notes
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/tables/metric_level_metrics.csv,PASS,rows=24 cols=37,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/tables/metrics_summary.csv,PASS,rows=2 cols=40,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/tables/per_bin_metrics.csv,PASS,rows=10 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/tables/scenario_level_metrics.csv,PASS,rows=17 cols=37,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/tables/score_distribution.csv,PASS,rows=10 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/tables/dataset_sanity.csv,PASS,rows=3 cols=8,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/tables/readability_check_exp04.csv,PASS,rows=121 cols=6,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/tables/sanity_check_exp04_outputs.csv,PASS,rows=36 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/tables/sanity_check_exp04_setup.csv,PASS,rows=21 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/tables/target_objective_high_score.csv,PASS,rows=6 cols=9,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/tables/target_objective_low_score.csv,PASS,rows=6 cols=14,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/tables/target_objective_metric_level.csv,PASS,rows=72 cols=41,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/tables/target_objective_per_bin.csv,PASS,rows=30 cols=14,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/tables/target_objective_scenario_level.csv,PASS,rows=51 cols=41,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/tables/target_objective_score_distribution.csv,PASS,rows=30 cols=9,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/tables/target_objective_summary.csv,PASS,rows=3 cols=18,readable,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/datasets/A4_fixed_question_answer_metric_rubric_metadata/dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/datasets/A4_fixed_question_answer_metric_rubric_metadata/test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/datasets/A4_fixed_question_answer_metric_rubric_metadata/train.jsonl,PASS,rows=2654,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/predictions/O1_classification_predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/predictions/O1_classification_predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/predictions/O2_regression_smoothl1_predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/predictions/O2_regression_smoothl1_predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/predictions/O3_ordinal_predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/predictions/O3_ordinal_predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/predictions/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/predictions/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
markdown max line length,thesis_exp/outputs/exp04_target_objectives/datasets/A4_fixed_question_answer_metric_rubric_metadata/dataset_card.md,PASS,146,<300,
markdown max line length,thesis_exp/outputs/exp04_target_objectives/notion_exp04_summary.md,PASS,119,<300,
markdown max line length,thesis_exp/outputs/exp04_target_objectives/readability_check_exp04.md,PASS,176,<300,
markdown max line length,thesis_exp/outputs/exp04_target_objectives/report.md,PASS,119,<300,
markdown max line length,thesis_exp/outputs/exp04_target_objectives/review_package.md,PASS,119,<300,
markdown max line length,thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/run_summary.md,PASS,63,<300,
markdown max line length,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/run_summary.md,PASS,63,<300,
markdown max line length,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/run_summary.md,PASS,63,<300,
markdown max line length,thesis_exp/outputs/exp04_target_objectives/sanity_check_exp04_outputs.md,PASS,175,<300,
markdown max line length,thesis_exp/outputs/exp04_target_objectives/sanity_check_exp04_setup.md,PASS,181,<300,
