comparison,metric,baseline_run_id,baseline_value,qdpr1_value,delta,direction,status
QD-PR1_minus_QD-R1,MAE_expected,QD-R1_CORAL_human_only,0.39555819536680903,0.4310548794954223,0.03549668412861329,lower_better,
QD-PR1_minus_QD-R1,Accuracy,QD-R1_CORAL_human_only,0.6554850407978241,0.6400725294650952,-0.015412511332728918,higher_better,
QD-PR1_minus_QD-R1,Quadratic Weighted Kappa,QD-R1_CORAL_human_only,0.5271754702243676,0.5473117789228875,0.0201363086985199,higher_better,
QD-PR1_minus_QD-R1,Kendall tau,QD-R1_CORAL_human_only,0.45560562684313166,0.454532962190567,-0.00107266465256467,higher_better,
QD-PR1_minus_QD-R1,Spearman rho,QD-R1_CORAL_human_only,0.5134349936980643,0.5117367248286756,-0.0016982688693887305,higher_better,
QD-PR1_minus_QD-R1,Acc@5,QD-R1_CORAL_human_only,0.8977272727272727,0.6915584415584416,-0.2061688311688311,higher_better,
QD-PR1_minus_QD-R1,high_to_mid_or_low_rate,QD-R1_CORAL_human_only,0.003246753246753247,0.01461038961038961,0.011363636363636364,lower_better,
QD-PR1_minus_QD-R1,monotonic_violation_rate,QD-R1_CORAL_human_only,0.0,0.7615593834995467,0.7615593834995467,lower_better,
QD-PR1_minus_QD-ER1,low_to_high_rate,QD-ER1_EduRisk_human_only,0.45161290322580644,0.5161290322580645,0.06451612903225806,lower_better,
QD-PR1_minus_QD-ER1,MAE_label,QD-ER1_EduRisk_human_only,0.4378966455122393,0.45451798126322146,0.01662133575098218,lower_better,
QD-PR1_minus_QD-ER1,MAE_expected,QD-ER1_EduRisk_human_only,0.49900128417016526,0.4310548794954223,-0.06794640467474294,lower_better,
QD-PR1_minus_QD-ER1,Accuracy,QD-ER1_EduRisk_human_only,0.6699909338168631,0.6400725294650952,-0.029918404351767958,higher_better,
QD-PR1_minus_QD-ER1,Quadratic Weighted Kappa,QD-ER1_EduRisk_human_only,0.5580654633188158,0.5473117789228875,-0.010753684395928276,higher_better,
QD-PR1_minus_QD-ER1,Kendall tau,QD-ER1_EduRisk_human_only,0.46946147976060904,0.454532962190567,-0.014928517570042044,higher_better,
QD-PR1_minus_QD-ER1,Spearman rho,QD-ER1_EduRisk_human_only,0.5307766357214987,0.5117367248286756,-0.019039910892823086,higher_better,
QD-PR1_minus_QD-ER1,Acc@5,QD-ER1_EduRisk_human_only,0.8035714285714286,0.6915584415584416,-0.11201298701298701,higher_better,
QD-PR1_minus_QD-ER1,high_to_mid_or_low_rate,QD-ER1_EduRisk_human_only,0.024350649350649352,0.01461038961038961,-0.009740259740259742,lower_better,
QD-PR1_minus_QD-ER1,monotonic_violation_rate,QD-ER1_EduRisk_human_only,0.0,0.7615593834995467,0.7615593834995467,lower_better,
