variant,scope,fold,nearest_centroid_balanced_accuracy,label1_count,label2_count,label3_count,label4_count,label5_count,label1_nearest_centroid_accuracy,label2_nearest_centroid_accuracy,label3_nearest_centroid_accuracy,label4_nearest_centroid_accuracy,label5_nearest_centroid_accuracy,label2_nearest_centroid_count_1,label2_nearest_centroid_count_2,label2_nearest_centroid_count_3,label2_nearest_centroid_count_4,label2_nearest_centroid_count_5,label2_mean_cosine_to_class1,label2_mean_cosine_to_class2,label2_mean_cosine_to_class3,label2_mean_cosine_to_class4,label2_mean_cosine_to_class5
C2_TACO,fold_1,1,0.6280199953188864,5,8,46,169,266,1.0,0.375,0.6086956521739131,0.40828402366863903,0.7481203007518797,0,3,2,1,2,0.6519353985786438,0.7860691547393799,0.7123003602027893,0.7308258414268494,0.7098067402839661
C2_TACO,fold_2,2,0.570697039379132,7,8,49,210,284,0.7142857142857143,0.375,0.5510204081632653,0.38571428571428573,0.8274647887323944,0,3,3,0,2,0.6888111233711243,0.8079316020011902,0.7866827845573425,0.7566573023796082,0.653158962726593
C2_TACO,fold_3,3,0.45532134407134406,4,16,64,185,297,0.75,0.1875,0.21875,0.34594594594594597,0.7744107744107744,6,3,0,1,6,0.7018709182739258,0.793070912361145,0.7697087526321411,0.7594623565673828,0.692014217376709
C2_TACO,fold_4,4,0.5047220913801225,4,8,44,193,244,0.5,0.625,0.36363636363636365,0.2849740932642487,0.75,0,5,2,0,1,0.4022570848464966,0.7958163619041443,0.7585849165916443,0.6499916315078735,0.4730595052242279
C2_TACO,aggregate,all,0.5542623239224621,24,52,251,946,1381,0.7916666666666666,0.40384615384615385,0.4302788844621514,0.3562367864693446,0.7892831281679942,6,21,8,2,15,0.5378119681890194,0.7856387587694021,0.7457488041657668,0.7155090066102835,0.6225422850021949
C3_shuffled_margin_control,fold_0,0,0.5673125342090859,4,12,48,189,290,0.75,0.5,0.4166666666666667,0.3492063492063492,0.8206896551724138,0,6,2,0,4,0.08599761128425598,0.777560293674469,0.7142364382743835,0.669985830783844,0.5572264790534973
C3_shuffled_margin_control,fold_1,1,0.6650678181174572,5,8,46,169,266,1.0,0.625,0.5869565217391305,0.3727810650887574,0.7406015037593985,0,5,2,0,1,0.6599231958389282,0.7816935777664185,0.719906210899353,0.7468752861022949,0.7098827362060547
C3_shuffled_margin_control,fold_2,2,0.5725237137108363,7,8,49,210,284,0.5714285714285714,0.75,0.3673469387755102,0.34285714285714286,0.8309859154929577,0,6,0,0,2,0.6728829145431519,0.8353945016860962,0.8168625831604004,0.778481125831604,0.6672318577766418
C3_shuffled_margin_control,fold_3,3,0.5257130994630994,4,16,64,185,297,1.0,0.1875,0.34375,0.3027027027027027,0.7946127946127947,6,3,0,2,5,0.7121375799179077,0.8078875541687012,0.7775267958641052,0.776432991027832,0.7169563174247742
C3_shuffled_margin_control,fold_4,4,0.5377400523539995,4,8,44,193,244,0.5,0.75,0.2727272727272727,0.3626943005181347,0.8032786885245902,0,6,0,1,1,0.360515832901001,0.773148775100708,0.7359247207641602,0.6215627193450928,0.43657928705215454
C3_shuffled_margin_control,aggregate,all,0.5577569738742169,24,52,251,946,1381,0.75,0.5,0.3944223107569721,0.3456659619450317,0.7986965966690803,6,26,4,3,13,0.4994759261608124,0.7957465236003582,0.753707963686723,0.7238098245400649,0.6282224976099454
