fold,epoch,role,n,mean,p50,p90,min,max
4,1,near,192,1.0,1.0,1.0,1.0,1.0
4,1,far,192,3.013888888888889,3.0,4.0,2.0,4.0
4,2,positive,192,0.0034722222222222225,0.0,0.0,0.0,0.33333333333333337
4,2,near,192,1.0,1.0,1.0,1.0,1.0
4,2,far,192,2.9982638888888893,3.0,4.0,2.0,4.0
4,3,positive,192,0.0034722222222222225,0.0,0.0,0.0,0.33333333333333337
4,3,near,192,1.0,1.0,1.0,1.0,1.0
4,3,far,192,2.9965277777777772,3.0,4.0,2.0,4.0
4,4,positive,192,0.0034722222222222225,0.0,0.0,0.0,0.33333333333333337
4,4,near,192,1.0,1.0,1.0,1.0,1.0
4,4,far,192,3.001736111111111,3.0,4.0,2.0,4.0
4,5,positive,192,0.0034722222222222225,0.0,0.0,0.0,0.33333333333333337
4,5,near,192,1.0,1.0,1.0,1.0,1.0
4,5,far,192,3.0243055555555554,3.0,4.0,2.0,4.0
4,6,positive,192,0.0034722222222222225,0.0,0.0,0.0,0.33333333333333337
4,6,near,192,1.0,1.0,1.0,1.0,1.0
4,6,far,192,2.9895833333333335,3.0,4.0,2.0,4.0
4,7,positive,192,0.0034722222222222225,0.0,0.0,0.0,0.33333333333333337
4,7,near,192,1.0,1.0,1.0,1.0,1.0
4,7,far,192,3.0104166666666665,3.0,4.0,2.0,4.0
4,8,positive,192,0.0034722222222222225,0.0,0.0,0.0,0.33333333333333337
4,8,near,192,1.0,1.0,1.0,1.0,1.0
4,8,far,192,3.024305555555556,3.0,4.0,2.0,4.0
4,9,positive,192,0.0034722222222222225,0.0,0.0,0.0,0.33333333333333337
4,9,near,192,1.0,1.0,1.0,1.0,1.0
4,9,far,192,3.001736111111111,3.0,4.0,2.0,4.0
4,10,positive,192,0.0034722222222222225,0.0,0.0,0.0,0.33333333333333337
4,10,near,192,1.0,1.0,1.0,1.0,1.0
4,10,far,192,3.0381944444444446,3.0,4.0,2.0,4.0
