triple_key,count,record_ids,question_preview,answer_preview,metric_canonical
e46b7d653cd3c85796a7299461d0791752ef4009,4,"[""d8ad53903a8143c73d5a15259456f4a0077286bf"", ""bf296105ad5e11ef4b270c4eca384eb18af92fb7"", ""d51772b6e152e9a75b5e37ff4e630f07de68b2de"", ""1e5f46496daabd6884033cd3c484a9b8b705d9f1""]",Subject:Psychology\nEducation Level:PhD\nQuestion:Which of the following theories best explains the mechanism of action of selective serotonin reuptake inhibitors (SSRIs) in the...,"```json\n{\n  ""Answer"": ""B) Monoamine Hypothesis""\n}\n```",Basic Factual Accuracy
93961bf549b27c9a55a70a8e4875a37607587f3f,4,"[""d7038665e81daff68cadf97e16d4c3e3c3fe543d"", ""74489511928922f9b0aa06c74a3c42dabf84217e"", ""5680bbfccbc4637e7c9c7e3d63698aaf2b4fa213"", ""6358300a1312a268220578a420e801d4c75e9525""]",Subject:Psychology\nEducation Level:PhD\nQuestion:Which of the following theories best explains the mechanism of action of selective serotonin reuptake inhibitors (SSRIs) in the...,"```json\n{\n  ""Answer"": ""B) Monoamine Hypothesis""\n}\n```",Reasoning Process Rigor
afcbcd18d7f33f2fd58a8aa6853d21d593f28605,2,"[""84e9eae8bd763da23ac2be7f583337182ba740ad"", ""0525eeb3debdf218d99f9fb489738873d8788cea""]","Subject:History\nEducation Level:PhD\nQuestion:Which of the following historians is best known for pioneering the Annales School of historical writing, which emphasized long-ter...","{\n  ""Answer"": ""D) Fernand Braudel""\n}",Instruction Following & Task Completion
96b201e41ff8d5228ab50979853dab2a4a55095c,2,"[""1ca4631202d9b8c6ab5a90eb3e5165a88638131e"", ""276ef7d9aadd5735ceac2d05c26067a283767c12""]","Subject:History\nEducation Level:PhD\nQuestion:Which of the following historians is best known for pioneering the Annales School of historical writing, which emphasized long-ter...","{\n  ""Answer"": ""D) Fernand Braudel""\n}",Content Relevance & Scope Control
bc558639ed4a36eb8de0e847793d47aae63b637f,2,"[""b0d71b8770992f24db4e73ecdaecf45b5d9a650a"", ""4db2dec4d98ab6e294ef19dd64c116bca9f781e5""]","Subject:History\nEducation Level:PhD\nQuestion:Which of the following historians is best known for pioneering the Annales School of historical writing, which emphasized long-ter...","{\n  ""Answer"": ""D) Fernand Braudel""\n}",Basic Factual Accuracy
f03a834023a1d31673a9d07ba51231eb21278cd7,2,"[""445b2809aae28589a26054f762f72053905f1f3e"", ""13b1d7ece3374577cc37e22e71c8766b4225fe21""]","Subject:History\nEducation Level:PhD\nQuestion:Which of the following historians is best known for pioneering the Annales School of historical writing, which emphasized long-ter...","{\n  ""Answer"": ""D) Fernand Braudel""\n}",Reasoning Process Rigor
80ac0fac45dd35224d05e1373071e2328633c084,2,"[""f406de9137c4a53c460e4a4ff9daf7f94ce5eb4b"", ""807e200040f7d75a92d4ae8580a07c84f695c3d2""]",Subject:Crop Science\nEducation Level:Undergraduate\nQuestion:Which of the following is a primary macronutrient essential for plant growth?\nA) Iron\nB) Magnesium\nC) Nitrogen\n...,"{\n  ""Answer"": ""C) Nitrogen""\n}",Instruction Following & Task Completion
d73e2b249eb328ea37cb0226d8e771d9eedb98c7,2,"[""acc23911bfe0e600fa5577dd5ec8027ddf2a24d3"", ""3457c1bb03b44917eb93144f17cb6fc9b32e01a7""]",Subject:Crop Science\nEducation Level:Undergraduate\nQuestion:Which of the following is a primary macronutrient essential for plant growth?\nA) Iron\nB) Magnesium\nC) Nitrogen\n...,"{\n  ""Answer"": ""C) Nitrogen""\n}",Content Relevance & Scope Control
cadbe0c3db7346083f5bcab04e2eb35f839d836b,2,"[""ff4680a0d1b04bd710e75680a911fa98c6f2de2d"", ""5f2d081a6ec22635eab62fc1c0502409bd08995b""]",Subject:Crop Science\nEducation Level:Undergraduate\nQuestion:Which of the following is a primary macronutrient essential for plant growth?\nA) Iron\nB) Magnesium\nC) Nitrogen\n...,"{\n  ""Answer"": ""C) Nitrogen""\n}",Basic Factual Accuracy
0e8fc7724efed3580c3d0ef6a2aaef326e532ced,2,"[""d0507dfe7e307caffb26489559bc360d53ac357d"", ""76bc906a5fe27bf73c1ae0b0f77aa2945732d489""]",Subject:Crop Science\nEducation Level:Undergraduate\nQuestion:Which of the following is a primary macronutrient essential for plant growth?\nA) Iron\nB) Magnesium\nC) Nitrogen\n...,"{\n  ""Answer"": ""C) Nitrogen""\n}",Reasoning Process Rigor
6d269cf8dcda784e8bc74cac35111668454a2df5,3,"[""b78d5292e1508f2781db7836199efd5384595d39"", ""f9506b23e70a903e95addc4e21fc62467e0b3443"", ""29acdf847164983db22f3598c79e0cf4ec672768""]",Subject:Crop Science\nEducation Level:Undergraduate\nQuestion:Which of the following is a primary macronutrient essential for plant growth?\nA) Iron\nB) Magnesium\nC) Nitrogen\n...,"```json\n{\n  ""answer"": ""C) Nitrogen""\n}\n```",Instruction Following & Task Completion
9005fafd6a172920b0ffb5ee3006acb78e721303,3,"[""cc9bc7194ad0522426523e7ae85838b24d035270"", ""1fe46d550947db01d126cc38b7e1591530ce963d"", ""be79bc6d9c69164bdb01761deada28350c0fded8""]",Subject:Crop Science\nEducation Level:Undergraduate\nQuestion:Which of the following is a primary macronutrient essential for plant growth?\nA) Iron\nB) Magnesium\nC) Nitrogen\n...,"```json\n{\n  ""answer"": ""C) Nitrogen""\n}\n```",Content Relevance & Scope Control
52f8a79182d8909afd92d7cc7c7e4853951cde81,3,"[""3af0d3155e04e4af6594e007b367ba1c878c17b5"", ""d89e25eb142fc4f844b19bce797eb646c0b88e13"", ""0324a98cd6c00ebf2855741ebecf0ef4df31541f""]",Subject:Crop Science\nEducation Level:Undergraduate\nQuestion:Which of the following is a primary macronutrient essential for plant growth?\nA) Iron\nB) Magnesium\nC) Nitrogen\n...,"```json\n{\n  ""answer"": ""C) Nitrogen""\n}\n```",Basic Factual Accuracy
0c75717ca88c1bdab0f9a484a5e47aa215999470,3,"[""198938e2f622bb0de4883a3dc7e56f75c8a0dc9b"", ""674bc19324921890f8c1245b4760b0909fc05534"", ""9473740ab3e011ac08772a84e106e72f4d38f137""]",Subject:Crop Science\nEducation Level:Undergraduate\nQuestion:Which of the following is a primary macronutrient essential for plant growth?\nA) Iron\nB) Magnesium\nC) Nitrogen\n...,"```json\n{\n  ""answer"": ""C) Nitrogen""\n}\n```",Reasoning Process Rigor
fed6e53489095597d876d322b2afa17a4f608447,2,"[""41d914fd44e980b30ca88565d41d8948fb9a332a"", ""287c0e1ecaedeca9445bef61d78547193659b60c""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"{\n  ""情绪状态分析"": {\n    ""当前情绪"": ""重度焦虑"",\n    ""主要担忧"": [""害怕被老师批评"", ""担心同学嘲笑""],\n    ""影响领域"": [""学习表现"", ""社交互动""]\n  },\n  ""安慰与建议"": {\n    ""情感支持"": ""感到害怕和紧张是很正常的感受，很多人都会有类似的经历。"",\n    ""具体建...",Instruction Following & Task Completion
9602cf551fca63ca2070e9ad9423b458ee05583c,2,"[""f8be52385e9d8d609a5d3e4b6b7b76c725f53693"", ""858a04b62cf4253a9bbe60ed7d42d749883c6527""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"{\n  ""情绪状态分析"": {\n    ""当前情绪"": ""重度焦虑"",\n    ""主要担忧"": [""害怕被老师批评"", ""担心同学嘲笑""],\n    ""影响领域"": [""学习表现"", ""社交互动""]\n  },\n  ""安慰与建议"": {\n    ""情感支持"": ""感到害怕和紧张是很正常的感受，很多人都会有类似的经历。"",\n    ""具体建...",Role & Tone Consistency
8302763b560dab1185263616bd5c8ce75d092b79,2,"[""d15186623246c54ae733a5d6d2829b0f5e460526"", ""35337caab594c8e9d8aeffb54946f342dfa5a654""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"{\n  ""情绪状态分析"": {\n    ""当前情绪"": ""重度焦虑"",\n    ""主要担忧"": [""害怕被老师批评"", ""担心同学嘲笑""],\n    ""影响领域"": [""学习表现"", ""社交互动""]\n  },\n  ""安慰与建议"": {\n    ""情感支持"": ""感到害怕和紧张是很正常的感受，很多人都会有类似的经历。"",\n    ""具体建...",Scenario Element Integration
e5b32eff58c4ac1e9a0af39fc010d2acae965e79,2,"[""7af9e84f641bdd689f9ea4f982358a3cfbeafa5f"", ""e7eff9be78e15dcbb0b942134c51540575c92797""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"{\n  ""情绪状态分析"": {\n    ""当前情绪"": ""重度焦虑"",\n    ""主要担忧"": [""害怕被老师批评"", ""担心同学嘲笑""],\n    ""影响领域"": [""学习表现"", ""社交互动""]\n  },\n  ""安慰与建议"": {\n    ""情感支持"": ""感到害怕和紧张是很正常的感受，很多人都会有类似的经历。"",\n    ""具体建...","Motivation, Guidance & Positive Feedback"
3d60bc9562a3f33591b05f7cda31e60a48826e04,2,"[""e84b5bb206e608a7e42620aa8f32e312e8c9b70c"", ""f0deec08c28fa340695d1cbad93817c3389f4ce6""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"{\n  ""情绪状态分析"": {\n    ""当前情绪"": ""重度焦虑"",\n    ""主要担忧"": [""害怕被老师批评"", ""担心同学嘲笑""],\n    ""影响领域"": [""学习表现"", ""社交互动""]\n  },\n  ""安慰与建议"": {\n    ""情感支持"": ""感到害怕和紧张是很正常的感受，很多人都会有类似的经历。"",\n    ""具体建...","Personalization, Adaptation & Learning Support"
ee6529012d5ffbf6cb993b028fafd0bb515c875c,2,"[""dbdfd2ada70625081f6759bc5863491668502ccd"", ""43eec9ed192dec3286e91ab8b1af39d45f723bb1""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"```json\n{\n  ""情绪状态分析"": {\n    ""情绪类型"": ""重度焦虑"",\n    ""具体表现"": ""学生表现出对语文课的极度紧张和害怕，担心自己表现不佳，害怕被老师批评和同学嘲笑。"",\n    ""潜在原因"": ""可能源于对自我表现的高要求、对他人评价的过度在意，或之前有过类似的负面经历。""\n  },\n  ""安慰与建议"": {...",Instruction Following & Task Completion
09c9f693c51eebfb9c5f39f536668229342eeed5,2,"[""27f6cb83e39bb1cc60a70c6182eb24b722e68359"", ""5e7005456c91f39d79dedae0b3e41ca98a9e6b5b""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"```json\n{\n  ""情绪状态分析"": {\n    ""情绪类型"": ""重度焦虑"",\n    ""具体表现"": ""学生表现出对语文课的极度紧张和害怕，担心自己表现不佳，害怕被老师批评和同学嘲笑。"",\n    ""潜在原因"": ""可能源于对自我表现的高要求、对他人评价的过度在意，或之前有过类似的负面经历。""\n  },\n  ""安慰与建议"": {...",Role & Tone Consistency
c522022f6f60ec88bc7656958e34cf65b5f1a562,2,"[""d1bb408741157c57609b373a1043d4b37e966d97"", ""92f8101bd483ca1bfd26a29bdbb57d680086a3e9""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"```json\n{\n  ""情绪状态分析"": {\n    ""情绪类型"": ""重度焦虑"",\n    ""具体表现"": ""学生表现出对语文课的极度紧张和害怕，担心自己表现不佳，害怕被老师批评和同学嘲笑。"",\n    ""潜在原因"": ""可能源于对自我表现的高要求、对他人评价的过度在意，或之前有过类似的负面经历。""\n  },\n  ""安慰与建议"": {...",Scenario Element Integration
845de198f66fde0d146c2b9ac712aff412c2edb3,2,"[""5be98f975a4e8ff3d323fa2d4e72a5ff419fc6b5"", ""47b79bcfe0b71a84474bac66b790b8424bd5a5b8""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"```json\n{\n  ""情绪状态分析"": {\n    ""情绪类型"": ""重度焦虑"",\n    ""具体表现"": ""学生表现出对语文课的极度紧张和害怕，担心自己表现不佳，害怕被老师批评和同学嘲笑。"",\n    ""潜在原因"": ""可能源于对自我表现的高要求、对他人评价的过度在意，或之前有过类似的负面经历。""\n  },\n  ""安慰与建议"": {...","Motivation, Guidance & Positive Feedback"
e61947f89b9b9a0d0604a88c242e903ca5b3a7bd,2,"[""b53314c84cae003997685c3f7aebbe5ec39779cc"", ""b9915cbe5479c2ff8228a6d9dee2699d5a561b5e""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"```json\n{\n  ""情绪状态分析"": {\n    ""情绪类型"": ""重度焦虑"",\n    ""具体表现"": ""学生表现出对语文课的极度紧张和害怕，担心自己表现不佳，害怕被老师批评和同学嘲笑。"",\n    ""潜在原因"": ""可能源于对自我表现的高要求、对他人评价的过度在意，或之前有过类似的负面经历。""\n  },\n  ""安慰与建议"": {...","Personalization, Adaptation & Learning Support"
2371c911d027223aefcd340c052ac9963e77be89,2,"[""4d4b86cdc49579e8754673fa196407c66148c29a"", ""aaf537db039bd6eec2ac632445fa84cbba769fb9""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"```json\n{\n  ""情绪状态分析"": {\n    ""主要情绪"": [""紧张"", ""害怕"", ""担心被否定""],\n    ""具体表现"": [\n      ""对课堂朗读产生过度焦虑反应"",\n      ""存在预期性焦虑（提前担忧负面结果）"",\n      ""对他人评价过度敏感"",\n      ""可能存在自我价值感动摇""\n    ],...",Instruction Following & Task Completion
a0a727f8b230519977d8970be33b9c939ae8733d,2,"[""5500e74c06c096ed8e61617a81a4a649083d6f9f"", ""5e0e23deea0c1095fec29b3116473c39894fd725""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"```json\n{\n  ""情绪状态分析"": {\n    ""主要情绪"": [""紧张"", ""害怕"", ""担心被否定""],\n    ""具体表现"": [\n      ""对课堂朗读产生过度焦虑反应"",\n      ""存在预期性焦虑（提前担忧负面结果）"",\n      ""对他人评价过度敏感"",\n      ""可能存在自我价值感动摇""\n    ],...",Role & Tone Consistency
a5b74e26e4deddce8a4d2639b3f38a639ab8db79,2,"[""505726a115f9b968de801915bc688e90eb116cf0"", ""155174eaaf6a56784110ae7776ec0790f7b86a5d""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"```json\n{\n  ""情绪状态分析"": {\n    ""主要情绪"": [""紧张"", ""害怕"", ""担心被否定""],\n    ""具体表现"": [\n      ""对课堂朗读产生过度焦虑反应"",\n      ""存在预期性焦虑（提前担忧负面结果）"",\n      ""对他人评价过度敏感"",\n      ""可能存在自我价值感动摇""\n    ],...",Scenario Element Integration
b5c72cbe797efe085186031342f44047fef9453f,2,"[""0ff4f9708d87027bec197db32c08a85bd8c4688a"", ""5399ae9cd4c12c565b8ad648b06395dcd3d72dca""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"```json\n{\n  ""情绪状态分析"": {\n    ""主要情绪"": [""紧张"", ""害怕"", ""担心被否定""],\n    ""具体表现"": [\n      ""对课堂朗读产生过度焦虑反应"",\n      ""存在预期性焦虑（提前担忧负面结果）"",\n      ""对他人评价过度敏感"",\n      ""可能存在自我价值感动摇""\n    ],...","Motivation, Guidance & Positive Feedback"
e7d042035ab8589bbb679df7440ca657fb01a6a8,2,"[""9a2fba19343b4c96b0a349a189d70ebe96629268"", ""fdcb82c54b148a7beeefee240c530adb2bda2c10""]",焦虑程度：重度焦虑\n对话内容：学生：我最近总是觉得很害怕，语文课上也总是紧张，担心自己读不好。\n智能体：我听到你的担心了，这种感觉很难受。能告诉我是什么让你特别害怕吗？\n学生：我总觉得老师会批评我，还有同学们会笑话我。\n智能体：感谢你的分享，这种担心确实让人很紧张。但我相信老师和同学们都希望你能进步，而不是批评或嘲笑你。你有没有尝试过和老师或家...,"```json\n{\n  ""情绪状态分析"": {\n    ""主要情绪"": [""紧张"", ""害怕"", ""担心被否定""],\n    ""具体表现"": [\n      ""对课堂朗读产生过度焦虑反应"",\n      ""存在预期性焦虑（提前担忧负面结果）"",\n      ""对他人评价过度敏感"",\n      ""可能存在自我价值感动摇""\n    ],...","Personalization, Adaptation & Learning Support"
4c7eb2e0dfc7f18f91f055677d3feed4fa43f83f,4,"[""1eab6c318f1715d0ce3e881849ea37f9360644e3"", ""b94ec733c2d0b3f2ce94885801c8f3949ad9004a"", ""e9a6f0087ae80c9d0cd3d47bfb307e309fea1fce"", ""a863f8f341d96b6b1f4e7386335e24da5398c189""]","学科:历史学\n学制级别:大学\n问题：以下哪一事件标志着英格兰光荣革命的结束？\nA. 1688年詹姆斯二世的逃亡\nB. 1689年权利法案的通过\nC. 1690年博因河战役\nD. 1694年玛丽二世去世\n.请根据问题生成对应的答案。""答案"":,以json格式返回","```json\n{\n  ""答案"": ""B. 1689年权利法案的通过""\n}\n```",Instruction Following & Task Completion
422c28652b4a8f9f256aa358b3d8b4b1e902a449,4,"[""e118062a92d4598d42c00742a59dc7aef869c5a8"", ""ede9edccfd0d076ee4b8371ccdaef992a5b79d38"", ""2d1b10f8a0728eba52d7750557f6547f5fd36ec7"", ""1e38385ffe2063fcc2e1f2427668e2a5b0ae47ed""]","学科:历史学\n学制级别:大学\n问题：以下哪一事件标志着英格兰光荣革命的结束？\nA. 1688年詹姆斯二世的逃亡\nB. 1689年权利法案的通过\nC. 1690年博因河战役\nD. 1694年玛丽二世去世\n.请根据问题生成对应的答案。""答案"":,以json格式返回","```json\n{\n  ""答案"": ""B. 1689年权利法案的通过""\n}\n```",Content Relevance & Scope Control
2fa15ef62483febb90b8d74298554b9e682151ab,4,"[""f01a5fa1c8fb94fb301c7371c5596852ee58f182"", ""603c356f9896119688ad8d6f83a4e6ef39a52a0c"", ""5d84213a7e1cc8dd66c66f6dcd30b7a201587fe8"", ""ffd2411f0396e1be16996216cb2fa7a2f22aaa69""]","学科:历史学\n学制级别:大学\n问题：以下哪一事件标志着英格兰光荣革命的结束？\nA. 1688年詹姆斯二世的逃亡\nB. 1689年权利法案的通过\nC. 1690年博因河战役\nD. 1694年玛丽二世去世\n.请根据问题生成对应的答案。""答案"":,以json格式返回","```json\n{\n  ""答案"": ""B. 1689年权利法案的通过""\n}\n```",Basic Factual Accuracy
