source_path,source_origin,file_role,num_records,top_level_keys,contains_question,contains_answer,contains_metric,contains_task_or_scenario,contains_subject,contains_education_level,contains_human_score,contains_model_eval_score
data/all_data/sampled_data/en_data_sampled.jsonl,official_github_clone,en_data,99,"[""Answer"", ""Anxiety Level"", ""Comfort and Advice"", ""Corrected Answer"", ""Correction Explanation"", ""Dialogue with Student"", ""Difficulty"", ""Education Level"", ""Emotional State Analysis"", ""Generation Index"", ""Generation Time"", ""Guidance Provided"", ""Knowledge Point"", ""Learning Path Planning"", ""Level"", ""Original Answer"", ""Personalized Feedback"", ""Personalized Learning Content/Task"", ""Personalized Recommendations"", ""Question"", ""Question Type"", ""Score"", ""Scoring Details"", ""Solution Guidance"", ""Student Profile"", ""Student's Answer"", ""Subject"", ""Teaching Materials"", ""Total Attempts"", ""answer"", ""evaluation_metrics"", ""question"", ""question_type_EN"", ""question_type_ZH""]",True,True,True,True,True,True,False,True
data/all_data/sampled_data/zh_data_sampled.jsonl,official_github_clone,zh_data,99,"[""answer"", ""evaluation_metrics"", ""question"", ""question_type_EN"", ""question_type_ZH"", ""与学生的对话"", ""个性化反馈"", ""个性化学习内容/任务"", ""个性化意见生成"", ""原答案"", ""学习路径规划建议"", ""学制级别"", ""学生画像"", ""学生的画像"", ""学生的答案"", ""学科"", ""安慰与建议"", ""总尝试次数"", ""情绪状态分析"", ""提供的思路"", ""教学素材"", ""焦虑程度"", ""焦虑级别"", ""生成序号"", ""生成时间"", ""知识点"", ""答案"", ""纠错后答案"", ""纠错说明"", ""评分"", ""评分细节"", ""问题"", ""问题类型"", ""难度"", ""题型""]",True,True,True,True,True,False,False,True
data/all_data/zh_data/AG.jsonl,official_github_clone,zh_data,931,"[""answer"", ""question"", ""个性化反馈"", ""学制级别"", ""学生的答案"", ""学科"", ""评分"", ""评分细节"", ""问题"", ""题型""]",True,True,False,False,True,False,False,True
data/all_data/zh_data/EC.jsonl,official_github_clone,zh_data,620,"[""answer"", ""question"", ""原答案"", ""学科"", ""总尝试次数"", ""生成序号"", ""生成时间"", ""纠错后答案"", ""纠错说明"", ""问题"", ""难度"", ""题型""]",True,True,False,False,True,False,False,False
data/all_data/zh_data/IP.jsonl,official_github_clone,zh_data,1342,"[""answer"", ""question"", ""学科"", ""总尝试次数"", ""提供的思路"", ""生成序号"", ""生成时间"", ""问题"", ""难度"", ""题型""]",True,True,False,False,True,False,False,False
data/all_data/zh_data/PCC.jsonl,official_github_clone,zh_data,568,"[""answer"", ""question"", ""个性化意见生成"", ""学习路径规划建议"", ""学生画像"", ""学科"", ""总尝试次数"", ""生成序号"", ""生成时间"", ""难度"", ""题型""]",True,True,False,False,True,False,False,False
data/all_data/zh_data/PLS.jsonl,official_github_clone,zh_data,348,"[""answer"", ""question"", ""个性化学习内容/任务"", ""学制级别"", ""学生的画像"", ""学科"", ""生成序号"", ""生成时间""]",True,True,False,True,True,False,False,False
data/all_data/zh_data/Q&A.jsonl,official_github_clone,zh_data,1306,"[""answer"", ""question"", ""学制级别"", ""学科"", ""答案"", ""问题"", ""题型""]",True,True,False,False,True,False,False,False
data/all_data/zh_data/QG.jsonl,official_github_clone,zh_data,1343,"[""answer"", ""question"", ""学制级别"", ""学科"", ""提供的思路"", ""知识点"", ""答案"", ""问题"", ""题型""]",True,True,False,False,True,False,False,False
data/all_data/zh_data/TMG.jsonl,official_github_clone,zh_data,1335,"[""answer"", ""question"", ""学制级别"", ""学科"", ""教学素材"", ""知识点"", ""题型""]",True,True,False,False,True,False,False,False
data/readme.md,official_github_clone,readme,0,[],False,False,False,False,False,False,False,False
