raw_subject,canonical_subject,source_field,source_file,mapping_method,confidence,notes,count
Aquaculture,Aquaculture,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,105
Theoretical Economics,Theoretical Economics,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,105
Literature and Art,Literature and Art,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,97
Physical Education,Physical Education,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,95
物理学,Physics,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,93
作物科学,Crop Science,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,92
Basic Medicine,Basic Medicine,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,91
Automation,Automation,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,90
Sociology,Sociology,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,85
商业管理学,Business Administration,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,80
Computer Science,Computer Science,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,80
临床医学,Clinical Medicine,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,73
General Pedagogy,General Pedagogy,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,70
生物学,Biology,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,60
Clinical Medicine,Clinical Medicine,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,60
地理,Geography,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,50
体育教育学,Physical Education,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,50
语文,Chinese,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,49
生物,Biology,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,45
English,English,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,45
应用经济学,Applied Economics,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,40
法学,Law,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,35
军事学,Military Science,report/results_merge_enriched.jsonl.subject_unified,results_merge.jsonl,structured_field,high,recovered from local enriched audit metadata,25
