model,record_type,fold,epoch,history_status,global_step,learning_rate,train_total_loss,train_human_loss,train_human_distribution_loss,train_ordinal_loss,global_step_mean,global_step_std,learning_rate_mean,learning_rate_std,train_total_loss_mean,train_total_loss_std,train_human_loss_mean,train_human_loss_std,train_human_distribution_loss_mean,train_human_distribution_loss_std,train_ordinal_loss_mean,train_ordinal_loss_std
M0_0.6B_E4,fold_epoch,1,3,AVAILABLE,51,1.6720078605555227e-05,0.786487716132844,,0.7691283204903205,0.03471879187057278,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,1,4,AVAILABLE,68,1.396079766039157e-05,0.673277407594853,,0.6610194900107604,0.024515834800668355,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,1,5,AVAILABLE,85,1.077492420671931e-05,0.5969935403895323,,0.5879983331973629,0.017990415253977213,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,1,6,AVAILABLE,102,7.505588559420188e-06,0.5308757784396961,,0.524651051071231,0.012449457440069872,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,1,7,AVAILABLE,119,4.504910219291941e-06,0.46406721859756445,,0.4604624261907129,0.007209585087683216,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,1,8,AVAILABLE,136,2.0960733048124082e-06,0.41270819946140463,,0.41103394651199104,0.0033485061270901633,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,1,9,AVAILABLE,153,5.385184312424973e-07,0.3907573814271018,,0.38978991565656745,0.0019349305369797986,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,1,10,AVAILABLE,170,0.0,0.37573367236677935,,0.3752841733534027,0.0008989974585767237,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,2,1,AVAILABLE,17,1.9848077530122083e-05,1.6845874424654108,,1.6195257662134317,0.13012336414549072,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,2,2,AVAILABLE,34,1.8755582313020912e-05,0.9569849041183941,,0.9308255792289745,0.05231865097387367,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,2,3,AVAILABLE,51,1.6720078605555227e-05,0.8083821745404532,,0.7894195430691688,0.03792526167666341,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,2,4,AVAILABLE,68,1.396079766039157e-05,0.680290135675828,,0.6674487702548504,0.02568272933855347,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,2,5,AVAILABLE,85,1.077492420671931e-05,0.5824443737528365,,0.5738958871909169,0.017096974312097637,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,2,6,AVAILABLE,102,7.505588559420188e-06,0.5117703804991542,,0.5062285355267377,0.011083688208600506,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,2,7,AVAILABLE,119,4.504910219291941e-06,0.45597669429977544,,0.4526157680621641,0.006721852673631439,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,2,8,AVAILABLE,136,2.0960733048124082e-06,0.4106670665725326,,0.40900118221912735,0.003331771324745982,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,2,9,AVAILABLE,153,5.385184312424973e-07,0.3886247498715538,,0.3876492833391628,0.0019509326371337553,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,2,10,AVAILABLE,170,0.0,0.37367189152322655,,0.3732432784629943,0.0008572261457306957,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,3,1,AVAILABLE,17,1.9848077530122083e-05,1.6680111657842365,,1.605261728395904,0.125498864276092,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,3,2,AVAILABLE,34,1.8755582313020912e-05,0.9270712506040303,,0.9024050599142509,0.04933238185369463,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,3,3,AVAILABLE,51,1.6720078605555227e-05,0.8226061936796168,,0.8036223236913882,0.037967739365388324,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,3,4,AVAILABLE,68,1.396079766039157e-05,0.7016618639459098,,0.6879196156858256,0.027484495192877698,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,3,5,AVAILABLE,85,1.077492420671931e-05,0.5956633300788101,,0.5868503770209363,0.01762590660337605,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,3,6,AVAILABLE,102,7.505588559420188e-06,0.5321350018511672,,0.525832357976971,0.012605286452491496,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,3,7,AVAILABLE,119,4.504910219291941e-06,0.46283261859932223,,0.45963896997094555,0.006387296422901788,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,3,8,AVAILABLE,136,2.0960733048124082e-06,0.4138593549538632,,0.4122049685110877,0.0033087739264189564,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,3,9,AVAILABLE,153,5.385184312424973e-07,0.39445773886527397,,0.3934081595598888,0.0020991577178547686,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,3,10,AVAILABLE,170,0.0,0.37852246212412627,,0.37806983535415295,0.0009052535404318677,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,4,1,AVAILABLE,17,1.9848077530122083e-05,1.682427308971472,,1.6181285717901592,0.12859746651007845,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,4,2,AVAILABLE,34,1.8755582313020912e-05,0.970542630129072,,0.9437710080922421,0.05354324268033408,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,4,3,AVAILABLE,51,1.6720078605555227e-05,0.8188945662485033,,0.7996978353220081,0.03839346390779607,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,4,4,AVAILABLE,68,1.396079766039157e-05,0.723392813970884,,0.7089548373178282,0.0288759533422091,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,4,5,AVAILABLE,85,1.077492420671931e-05,0.620265058150546,,0.6104966418235778,0.0195368324974427,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,4,6,AVAILABLE,102,7.505588559420188e-06,0.5259370395497122,,0.5199858282801184,0.01190242331285979,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,4,7,AVAILABLE,119,4.504910219291941e-06,0.4663762676610496,,0.46258923182584166,0.007574070596992746,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,4,8,AVAILABLE,136,2.0960733048124082e-06,0.42144650496007074,,0.41953297286568114,0.0038270627520687445,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,4,9,AVAILABLE,153,5.385184312424973e-07,0.3923724967704022,,0.3915279856289078,0.001689021746656828,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,4,10,AVAILABLE,170,0.0,0.37866754285937826,,0.37822085097707575,0.0008933837968177112,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,0,1,AVAILABLE,17,9.924038765061042e-05,1.6292045033452185,1.6292045033452185,1.5555903319495195,0.1472283354237196,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,0,2,AVAILABLE,34,9.377791156510455e-05,0.9906801949396278,0.9906801949396278,0.9628520395155206,0.055656312958683084,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,0,3,AVAILABLE,51,8.360039302777612e-05,0.8483645041388544,0.8483645041388544,0.8278783307918771,0.040972346411294755,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,0,4,AVAILABLE,68,6.980398830195785e-05,0.7239974050387514,0.7239974050387514,0.7092086162107686,0.029577580297028006,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,0,5,AVAILABLE,85,5.387462103359655e-05,0.6069667789252531,0.6069667789252531,0.5980028102710617,0.017927937988684844,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,0,6,AVAILABLE,102,3.752794279710094e-05,0.5128281361698597,0.5128281361698597,0.5078919755866412,0.009872321411008174,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,0,7,AVAILABLE,119,2.25245510964597e-05,0.4628167511140363,0.4628167511140363,0.45979964726068306,0.006034207744795078,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,0,8,AVAILABLE,136,1.0480366524062042e-05,0.42406286829800316,0.42406286829800316,0.42244320227693993,0.003239332597318749,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,0,9,AVAILABLE,153,2.692592156212487e-06,0.4026812670208253,0.4026812670208253,0.4016940274049182,0.001974479332032915,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,0,10,AVAILABLE,170,0.0,0.39222770365251397,0.39222770365251397,0.391581806980398,0.0012917935807987499,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,1,1,AVAILABLE,17,9.924038765061042e-05,1.6062794903914133,1.6062794903914133,1.53382478505373,0.1449094090688353,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,1,2,AVAILABLE,34,9.377791156510455e-05,0.9402626956778544,0.9402626956778544,0.9146016562426532,0.05132207896008536,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,1,3,AVAILABLE,51,8.360039302777612e-05,0.754727417409972,0.754727417409972,0.7384938390718566,0.03246715633625475,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,1,4,AVAILABLE,68,6.980398830195785e-05,0.611140318242488,0.611140318242488,0.6017784380526454,0.018723761930596085,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,1,5,AVAILABLE,85,5.387462103359655e-05,0.5242579699700906,0.5242579699700906,0.5187428548863089,0.011030228142024296,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,1,6,AVAILABLE,102,3.752794279710094e-05,0.46992494016885755,0.46992494016885755,0.46656675572955497,0.006716369174052859,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,1,7,AVAILABLE,119,2.25245510964597e-05,0.4298456960737153,0.4298456960737153,0.4277306843445533,0.004230024650139428,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,1,8,AVAILABLE,136,1.0480366524062042e-05,0.4056041624121092,0.4056041624121092,0.404297912570096,0.002612499350873434,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,1,9,AVAILABLE,153,2.692592156212487e-06,0.3889242006310572,0.3889242006310572,0.388070241078148,0.0017079199080559124,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,1,10,AVAILABLE,170,0.0,0.3799030716806926,0.3799030716806926,0.3793814646097383,0.0010432135248080428,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,2,1,AVAILABLE,17,9.924038765061042e-05,1.6495408635330564,1.6495408635330564,1.5741774072401395,0.1507269138441855,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,2,2,AVAILABLE,34,9.377791156510455e-05,0.9684591089723674,0.9684591089723674,0.9414084073696428,0.05410140261937373,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,2,3,AVAILABLE,51,8.360039302777612e-05,0.7914983559655779,0.7914983559655779,0.7734257181864659,0.03614527241589914,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,2,4,AVAILABLE,68,6.980398830195785e-05,0.6499373700100047,0.6499373700100047,0.6388716456544308,0.022131446846142076,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,2,5,AVAILABLE,85,5.387462103359655e-05,0.5462762670136476,0.5462762670136476,0.539487058549181,0.013578415544251939,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,2,6,AVAILABLE,102,3.752794279710094e-05,0.474545544423945,0.474545544423945,0.4707845634112547,0.007521961576721948,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,2,7,AVAILABLE,119,2.25245510964597e-05,0.43047739580124333,0.43047739580124333,0.42819227551586414,0.004570239637922278,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,2,8,AVAILABLE,136,1.0480366524062042e-05,0.40253491992777823,0.40253491992777823,0.40120631648504834,0.0026572074403765056,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,2,9,AVAILABLE,153,2.692592156212487e-06,0.3853733630323043,0.3853733630323043,0.38454508020134665,0.0016565650738037997,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,2,10,AVAILABLE,170,0.0,0.37684492891226035,0.37684492891226035,0.376331701722771,0.0010264545768719291,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,3,1,AVAILABLE,17,9.924038765061042e-05,1.6247194548676298,1.6247194548676298,1.5505335757444645,0.14837175951619413,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,3,2,AVAILABLE,34,9.377791156510455e-05,0.9362285942181774,0.9362285942181774,0.9111825545172125,0.05009207852903782,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,3,3,AVAILABLE,51,8.360039302777612e-05,0.7934195850743873,0.7934195850743873,0.7755132846220243,0.03581260296608004,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,3,4,AVAILABLE,68,6.980398830195785e-05,0.6627112310165646,0.6627112310165646,0.6511345934836458,0.023153275074758405,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,3,5,AVAILABLE,85,5.387462103359655e-05,0.5484615058827275,0.5484615058827275,0.5421557036831518,0.012611605558328404,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,3,6,AVAILABLE,102,3.752794279710094e-05,0.47409633382926497,0.47409633382926497,0.4706176840254173,0.006957298971313833,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,3,7,AVAILABLE,119,2.25245510964597e-05,0.4312883434296225,0.4312883434296225,0.42925971959114534,0.004057248110891413,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,3,8,AVAILABLE,136,1.0480366524062042e-05,0.40981405209821303,0.40981405209821303,0.4083670529258577,0.002893999092817167,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,3,9,AVAILABLE,153,2.692592156212487e-06,0.3915135522865444,0.3915135522865444,0.3907267044144915,0.0015736972609026324,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,3,10,AVAILABLE,170,0.0,0.38306598307411416,0.38306598307411416,0.3825507319382467,0.0010305031879864518,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,4,1,AVAILABLE,17,9.924038765061042e-05,1.6474905004673215,1.6474905004673215,1.5727932515955236,0.14939449819462466,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,4,2,AVAILABLE,34,9.377791156510455e-05,0.9934324616645489,0.9934324616645489,0.9650151000776485,0.05683472266424165,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,4,3,AVAILABLE,51,8.360039302777612e-05,0.8453592320356704,0.8453592320356704,0.8249692272071256,0.04078000860784527,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,4,4,AVAILABLE,68,6.980398830195785e-05,0.6879643322882723,0.6879643322882723,0.6750979159998255,0.0257328319195021,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,4,5,AVAILABLE,85,5.387462103359655e-05,0.5861125900005567,0.5861125900005567,0.5782346413806494,0.015755900187532344,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,4,6,AVAILABLE,102,3.752794279710094e-05,0.5022210874069696,0.5022210874069696,0.49782807629920417,0.008786022050026245,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,4,7,AVAILABLE,119,2.25245510964597e-05,0.44258168029604056,0.44258168029604056,0.4402074183349441,0.004748523543426244,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,4,8,AVAILABLE,136,1.0480366524062042e-05,0.4143131129277307,0.4143131129277307,0.41285339517395364,0.0029194357207177257,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,4,9,AVAILABLE,153,2.692592156212487e-06,0.3960238844793214,0.3960238844793214,0.39514840817399144,0.0017509511442199465,,,,,,,,,,,,
M1_4B_teacher,fold_epoch,4,10,AVAILABLE,170,0.0,0.3880107153453236,0.3880107153453236,0.38740813256845624,0.0012051666867835614,,,,,,,,,,,,
M1_4B_teacher,epoch_fold_aggregate,all,1,AVAILABLE,,,,,,,17.0,0.0,9.924038765061043e-05,1.5152185993940876e-20,1.631446962520928,0.01780782131146227,1.631446962520928,0.01780782131146227,1.5573838703166756,0.016767869034435483,0.14812618320951185,0.0022128317252206988
M1_4B_teacher,epoch_fold_aggregate,all,2,AVAILABLE,,,,,,,34.0,0.0,9.377791156510455e-05,0.0,0.9658126110945151,0.027001245597009664,0.9658126110945151,0.027001245597009664,0.9390119515445357,0.025595870683816368,0.05360131914628433,0.002847704641246618
M1_4B_teacher,epoch_fold_aggregate,all,3,AVAILABLE,,,,,,,51.0,0.0,8.360039302777612e-05,0.0,0.8066738189248923,0.03980914606753064,0.8066738189248923,0.03980914606753064,0.7880560799758699,0.03800058230926896,0.03723547734747479,0.003622081439586294
M1_4B_teacher,epoch_fold_aggregate,all,4,AVAILABLE,,,,,,,68.0,0.0,6.980398830195785e-05,0.0,0.6671501313192163,0.04218389989083161,0.6671501313192163,0.04218389989083161,0.6552182418802632,0.04015551639868412,0.023863779213605336,0.004064063547444091
M1_4B_teacher,epoch_fold_aggregate,all,5,AVAILABLE,,,,,,,85.0,0.0,5.387462103359656e-05,7.576092996970438e-21,0.5624150223584551,0.03338245953500715,0.5624150223584551,0.03338245953500715,0.5553246137540706,0.032049848880207114,0.014180817484164365,0.0027052414386727775
M1_4B_teacher,epoch_fold_aggregate,all,6,AVAILABLE,,,,,,,102.0,0.0,3.752794279710094e-05,0.0,0.48672320839977934,0.01943943662049168,0.48672320839977934,0.01943943662049168,0.48273781101041446,0.01878648940868039,0.007970794636624612,0.001330658448820804
M1_4B_teacher,epoch_fold_aggregate,all,7,AVAILABLE,,,,,,,119.0,0.0,2.25245510964597e-05,0.0,0.4394019733429316,0.01409932502189164,0.4394019733429316,0.01409932502189164,0.437037949009438,0.013725090264427921,0.004728048737434888,0.0007793227435047555
M1_4B_teacher,epoch_fold_aggregate,all,8,AVAILABLE,,,,,,,136.0,0.0,1.0480366524062042e-05,0.0,0.4112658231327669,0.00841785382510109,0.4112658231327669,0.00841785382510109,0.4098335758863791,0.008296774206912652,0.0028644948404207165,0.0002504306980997415
M1_4B_teacher,epoch_fold_aggregate,all,9,AVAILABLE,,,,,,,153.0,0.0,2.692592156212487e-06,0.0,0.3929032534900105,0.006704686192778886,0.3929032534900105,0.006704686192778886,0.39203689225457916,0.00664304057268632,0.0017327225438030411,0.00015040179362845742
M1_4B_teacher,epoch_fold_aggregate,all,10,AVAILABLE,,,,,,,170.0,0.0,0.0,0.0,0.3840104805329809,0.006177229300198843,0.3840104805329809,0.006177229300198843,0.383450767563922,0.0061201496893959866,0.001119426311449747,0.00012188246558650843
