label2_subset,field,value,count,share
stable_label2,metric,Reasoning Process Rigor,3,0.057692307692307696
stable_label2,metric,"Personalization, Adaptation & Learning Support",1,0.019230769230769232
stable_label2,subject,Business Administration,17,0.3269230769230769
stable_label2,subject,History,5,0.09615384615384616
stable_label2,subject,Theoretical Economics,5,0.09615384615384616
stable_label2,subject,Basic Medicine,4,0.07692307692307693
stable_label2,subject,Mathematics,4,0.07692307692307693
stable_label2,subject,Biology,3,0.057692307692307696
stable_label2,subject,Law,3,0.057692307692307696
stable_label2,subject,Chinese,2,0.038461538461538464
stable_label2,subject,Crop Science,2,0.038461538461538464
stable_label2,subject,Automation,1,0.019230769230769232
stable_label2,subject,Chemistry,1,0.019230769230769232
stable_label2,subject,English,1,0.019230769230769232
stable_label2,subject,General Pedagogy,1,0.019230769230769232
stable_label2,subject,Geography,1,0.019230769230769232
stable_label2,subject,Physical Education,1,0.019230769230769232
stable_label2,subject,Sociology,1,0.019230769230769232
stable_label2,language,en,36,0.6923076923076923
stable_label2,language,zh,16,0.3076923076923077
stable_label2,scenario,Automatic Grading,18,0.34615384615384615
stable_label2,scenario,Error Correction,12,0.23076923076923078
stable_label2,scenario,Idea Provision,8,0.15384615384615385
stable_label2,scenario,Question Generation,6,0.11538461538461539
stable_label2,scenario,Question Answering,5,0.09615384615384616
stable_label2,scenario,Emotional Support,2,0.038461538461538464
stable_label2,scenario,Teaching Material Generation,1,0.019230769230769232
stable_label2,education_level,Undergraduate,26,0.5
stable_label2,education_level,PhD,11,0.21153846153846154
stable_label2,education_level,Middle School,7,0.1346153846153846
stable_label2,education_level,Master,6,0.11538461538461539
stable_label2,education_level,Elementary School,2,0.038461538461538464
stable_label2,generator_model,qwen2.5-7b-instruct,14,0.2692307692307692
stable_label2,generator_model,deepseek-r1,10,0.19230769230769232
stable_label2,generator_model,qwen2.5-14b-instruct,10,0.19230769230769232
stable_label2,generator_model,deepseek-v3,9,0.17307692307692307
stable_label2,generator_model,qwen-max,9,0.17307692307692307
strict_label2,metric,Higher-Order Thinking & Skill Development,6,0.18181818181818182
strict_label2,metric,Instruction Following & Task Completion,6,0.18181818181818182
strict_label2,metric,Error Identification & Correction Precision,5,0.15151515151515152
strict_label2,metric,"Motivation, Guidance & Positive Feedback",4,0.12121212121212122
strict_label2,metric,Basic Factual Accuracy,3,0.09090909090909091
strict_label2,metric,"Clarity, Simplicity & Inspiration",3,0.09090909090909091
strict_label2,metric,Content Relevance & Scope Control,3,0.09090909090909091
strict_label2,metric,Scenario Element Integration,3,0.09090909090909091
strict_label2,subject,Business Administration,13,0.3939393939393939
strict_label2,subject,History,4,0.12121212121212122
strict_label2,subject,Theoretical Economics,4,0.12121212121212122
strict_label2,subject,Mathematics,3,0.09090909090909091
strict_label2,subject,Basic Medicine,2,0.06060606060606061
strict_label2,subject,Chinese,2,0.06060606060606061
strict_label2,subject,Biology,1,0.030303030303030304
strict_label2,subject,English,1,0.030303030303030304
strict_label2,subject,General Pedagogy,1,0.030303030303030304
strict_label2,subject,Geography,1,0.030303030303030304
strict_label2,subject,Physical Education,1,0.030303030303030304
strict_label2,language,en,26,0.7878787878787878
strict_label2,language,zh,7,0.21212121212121213
strict_label2,scenario,Automatic Grading,10,0.30303030303030304
strict_label2,scenario,Error Correction,9,0.2727272727272727
strict_label2,scenario,Idea Provision,5,0.15151515151515152
strict_label2,scenario,Question Generation,4,0.12121212121212122
strict_label2,scenario,Question Answering,3,0.09090909090909091
strict_label2,scenario,Emotional Support,1,0.030303030303030304
strict_label2,scenario,Teaching Material Generation,1,0.030303030303030304
strict_label2,education_level,Undergraduate,19,0.5757575757575758
strict_label2,education_level,Middle School,5,0.15151515151515152
strict_label2,education_level,PhD,5,0.15151515151515152
strict_label2,education_level,Elementary School,2,0.06060606060606061
strict_label2,education_level,Master,2,0.06060606060606061
strict_label2,generator_model,qwen2.5-7b-instruct,8,0.24242424242424243
strict_label2,generator_model,deepseek-v3,7,0.21212121212121213
strict_label2,generator_model,qwen-max,7,0.21212121212121213
strict_label2,generator_model,qwen2.5-14b-instruct,6,0.18181818181818182
strict_label2,generator_model,deepseek-r1,5,0.15151515151515152
