rubric_unit_id_hash,quote_coverage,criterion_count,compiled_token_length
exp41a_ru_071b75cd170f289be9e4134a,0.9032258064516129,10,229
exp41a_ru_074a8b289af3998527947a40,0.9305555555555556,10,208
exp41a_ru_0765a96ed19e819365a56033,0.9166666666666666,10,228
exp41a_ru_07733f93e2784db04ccc2736,0.8831168831168831,5,199
exp41a_ru_07a42642b54ccd3f3c753b97,0.9230769230769231,12,248
exp41a_ru_07a65eaccd9433826d159675,0.935064935064935,5,193
exp41a_ru_086017357e294757e05d061b,0.94,12,247
exp41a_ru_09275380d29b1487c37d47bc,0.90625,8,236
exp41a_ru_097d58a98340317986d6f439,0.927536231884058,10,229
exp41a_ru_098b33c04f3658178416e748,0.6515151515151515,11,245
exp41a_ru_09b2cec5a583799507e10f38,0.9166666666666666,10,226
exp41a_ru_09b8531fdfca0fffa1bc50f3,0.7575757575757576,12,226
exp41a_ru_0a1c554474e86796581a19e6,0.8548387096774194,10,234
exp41a_ru_0a6b0b4704186f0d7ffbd1cd,0.9166666666666666,10,225
exp41a_ru_0abd5aa0012c4cc5b9232805,0.8679245283018868,8,247
exp41a_ru_0aea14b03c8d5c200ab74c96,0.8734177215189873,11,168
exp41a_ru_0b0fe01b92a318bfc44f3f93,0.9361702127659575,11,246
exp41a_ru_0b2774bf70df1c5044aeffb2,0.9180327868852459,11,232
exp41a_ru_0b2f02761667346676c4120f,0.9038461538461539,5,235
exp41a_ru_0b4c85a8f46dbb5a6910f298,0.9230769230769231,12,248
exp41a_ru_0b7964ac821c190ff1c80959,0.9120879120879121,12,169
exp41a_ru_0c36a50bac91ffba6aab07f9,0.8490566037735849,7,231
exp41a_ru_0d4e28f591815ea0354abd1b,0.9230769230769231,10,172
exp41a_ru_0d6a412c147406d3e0422fa4,0.8604651162790697,12,227
exp41a_ru_0f045ecd9230b82c33975191,0.825,12,199
exp41a_ru_0f08a59b7480605b518b3622,0.9056603773584906,7,236
exp41a_ru_0f10bac29ff326024a1acd89,0.9038461538461539,5,240
exp41a_ru_0f269c4423ee89960746e08a,0.9230769230769231,12,249
exp41a_ru_0f2a949432794e563443ec5a,0.9166666666666666,10,225
exp41a_ru_0f632bd60516a504b5b48fa9,0.7659574468085106,12,205
exp41a_ru_0f6f68448f75ff444bddadbf,0.8985507246376812,12,252
exp41a_ru_1018a2cd9984cdd65a396f7c,0.7,8,198
exp41a_ru_10641e81d1ba19a4cafa7ffd,0.9038461538461539,5,236
exp41a_ru_1064faa7a3bc7c5e0f3605fb,0.6515151515151515,10,225
exp41a_ru_1072eb6f3749de9013e7574e,0.9180327868852459,11,232
exp41a_ru_10bb97c839450be2b8fca471,0.9038461538461539,5,250
exp41a_ru_10de9e32afa8abbf20b12fff,0.8051948051948052,5,243
exp41a_ru_10ea69185f1050ce148242b5,0.9305555555555556,9,217
exp41a_ru_10f936200217731c7d6859bd,0.7362637362637363,10,249
exp41a_ru_11182374a633faf855ef1a67,0.7362637362637363,10,249
exp41a_ru_116061f158aec78996c05d0d,0.9166666666666666,10,230
exp41a_ru_11adc5762a309afc3d934e64,0.9444444444444444,10,209
exp41a_ru_11f5b77687f5455fbdc7ee13,0.9120879120879121,12,251
exp41a_ru_12106e751356343217289c46,0.7575757575757576,8,231
exp41a_ru_1282b16aaea8b28c6a21d817,0.9180327868852459,11,232
exp41a_ru_129b89c74e0d7503b9fbdf48,0.9484536082474226,8,253
exp41a_ru_13153cc1608acc40e6fb7cf5,0.8372093023255814,12,224
exp41a_ru_136577c6489f5caab853e068,0.6666666666666666,9,229
exp41a_ru_13c36230c1d030884503d965,0.9038461538461539,5,245
exp41a_ru_13ec4371b5ee44691bc98dbf,0.9038461538461539,5,245
exp41a_ru_146812c2572cae264f68809c,0.8301886792452831,11,177
exp41a_ru_149203cf240f75e393700234,0.8860759493670886,12,193
exp41a_ru_14d9435b56039386bfa0e55a,0.6060606060606061,10,225
exp41a_ru_14de0b8ef598d62a8447b53b,0.8333333333333334,12,186
exp41a_ru_14fbc4d999fe79b21c059dd8,0.9444444444444444,10,204
exp41a_ru_153365eb209a2bbd99b4dc3b,0.7,9,231
exp41a_ru_153c652a44de62c12d3ab44a,0.9361702127659575,10,236
exp41a_ru_155071947517807fcd16fc38,0.9038461538461539,5,240
exp41a_ru_15d3cfa568544ca2a57abe96,0.9444444444444444,10,216
exp41a_ru_15dc5a54da833badb017a3f2,0.9038461538461539,5,241
exp41a_ru_15ea80cab89386f3d5e40820,0.9038461538461539,5,249
exp41a_ru_15f2dfa5ea6e7162e019a79b,0.660377358490566,7,206
exp41a_ru_15f74e6ab259beb269152b0d,0.8985507246376812,12,252
exp41a_ru_16088c3ad6c786351d37f75e,0.8829787234042553,12,209
exp41a_ru_160a66b3a96bf685e072a290,0.9484536082474226,8,251
exp41a_ru_165222c493492471a9326c0c,0.8823529411764706,9,252
exp41a_ru_166820c705dd54badcf81add,0.9038461538461539,5,246
exp41a_ru_166f56bdab66dec673bba302,0.9444444444444444,10,209
exp41a_ru_1681e77a816be596f96b1301,0.6060606060606061,10,223
exp41a_ru_1686f1201faa87a8c097e0d2,0.9038461538461539,5,247
exp41a_ru_16947757c1d6f69aac3b0625,0.8333333333333334,12,250
exp41a_ru_1699a7450270f5bb054dbff7,0.9361702127659575,11,246
exp41a_ru_16b2efde1fbe1abf2f2965ac,0.9361702127659575,11,184
exp41a_ru_16e46315a98d85816ec39fe3,0.94,12,189
exp41a_ru_172f984a968833532dca9fb2,0.6060606060606061,10,223
exp41a_ru_1751ba3fe9d2bf8538883e16,0.8333333333333334,12,186
exp41a_ru_1753a0165ec98589a846a0ef,0.9484536082474226,8,251
exp41a_ru_175a2e2f8ab6fbcab1c92291,0.8488372093023255,12,217
exp41a_ru_17b0704fc0d2edc9fc2d3b3d,0.6515151515151515,11,245
exp41a_ru_185c8523acc2827a833f751b,0.7362637362637363,10,249
exp41a_ru_18aad2060f637f8d61925e82,0.6060606060606061,10,223
exp41a_ru_18f2ec9c743536da6fdbda7e,0.8,7,250
exp41a_ru_19202f7a6b7c6e0b70bf6568,0.7802197802197802,7,224
exp41a_ru_19888ae84ef9732c81b2b35b,0.9056603773584906,9,242
exp41a_ru_19df5c491acbb65375a893e8,0.8985507246376812,12,252
exp41a_ru_1a2b6ef6db398f077823a90e,0.8333333333333334,12,253
exp41a_ru_1a4daa9439f8b899118efb84,0.8985507246376812,12,254
exp41a_ru_1a7a79496c3aa74d263ba403,0.90625,8,236
exp41a_ru_1aa117b4f684224681e8d54c,0.9113924050632911,11,176
exp41a_ru_1af69f9e7e39ea9dfd7c3eb1,0.825,12,191
exp41a_ru_1b2120d08decf7a3ef641f62,0.9038461538461539,5,239
exp41a_ru_1b4fbbd1b8b7cffc5e25ba4d,0.9180327868852459,11,232
exp41a_ru_1c4f6933557707f9a6211562,0.6455696202531646,9,177
exp41a_ru_1ceb780fc30dd4c8bcd25c1d,0.9117647058823529,10,240
exp41a_ru_1d4aab1e8df115b36628051c,0.94,12,192
exp41a_ru_1d5718a4db3b88d966b0c3d1,0.8333333333333334,12,250
exp41a_ru_1da42b5c09e9e4d8d149fe86,0.90625,8,235
exp41a_ru_1dd1019436f730f92c84c904,0.6060606060606061,10,223
exp41a_ru_1e272150d4eb0ba6bb336022,0.6515151515151515,11,245
exp41a_ru_1e9d884d0e787b9c8eebc4c1,0.825,12,199
exp41a_ru_1f09e0a924f1f5fc85dc1994,0.9206349206349206,12,249
exp41a_ru_1fa700b8cc32331e8306f1cd,0.8225806451612904,9,234
exp41a_ru_1fc9ad1483439eb7f275f75a,0.7802197802197802,7,242
exp41a_ru_1fe60f1aeae9ecbd75e6fe5e,0.95,10,254
exp41a_ru_2006be69f2bb321c59bc7768,0.9038461538461539,5,249
exp41a_ru_20d7e520d93704ed8706159a,0.8333333333333334,12,201
exp41a_ru_21072ef043814bfbd27996a2,0.7,6,243
exp41a_ru_2129e66b3d2d2e76b84be73b,0.935064935064935,5,195
exp41a_ru_21a8248227d782d71e807a0a,0.9361702127659575,11,246
exp41a_ru_224895f38db969c68abc012a,0.6976744186046512,11,245
exp41a_ru_229710c4d0e1fd21e538b38c,0.660377358490566,7,203
exp41a_ru_230fd001ac6eda519543f83a,0.9180327868852459,11,235
exp41a_ru_23364303799fdae77f59a85b,0.9361702127659575,11,247
exp41a_ru_23558e053f9ee6fb9f684dc8,0.9230769230769231,12,248
exp41a_ru_23745999799aaac3452b92c6,0.7790697674418605,12,190
exp41a_ru_23b5ea00ccd147904244e578,0.9305555555555556,9,218
exp41a_ru_23c6bf90be519f3096c528f1,0.6060606060606061,10,253
exp41a_ru_23f33f90820332b0ddba9516,0.9120879120879121,12,252
exp41a_ru_241764ba15e635ddb2cc631d,0.927536231884058,5,191
exp41a_ru_24687643403e6e332b9a1f3f,0.9230769230769231,12,247
exp41a_ru_24ad20c705b0b07099e86223,0.927536231884058,10,228
exp41a_ru_254d9f8bcbb5c47fd682d25d,0.696969696969697,11,209
exp41a_ru_259b731ddf78e26e355503ed,0.9230769230769231,10,206
exp41a_ru_25db8295f08145a45e12ab9c,0.8372093023255814,12,187
exp41a_ru_25f1d5508db0c2562aa3051d,0.8333333333333334,12,250
exp41a_ru_260429395f0b9146f84fa281,0.9038461538461539,5,250
exp41a_ru_263e4a785c21d4a2c649d8ca,0.9367088607594937,11,194
exp41a_ru_26422598dce1bbde2103d075,0.9120879120879121,12,245
exp41a_ru_26567883f104ea5cbc776386,0.775,7,244
exp41a_ru_2673969588805a4599d4b20f,0.9180327868852459,11,250
exp41a_ru_268727cb1611a5a6f22e2f8a,0.8051948051948052,5,244
exp41a_ru_269a66956262a939dede24f2,0.8734177215189873,11,168
exp41a_ru_26aebccc82b2981e37f10a0f,0.8333333333333334,12,250
exp41a_ru_272d45807f9868a48d0a3399,0.8985507246376812,12,252
exp41a_ru_275ffc1a4da93749d32723e7,0.813953488372093,12,210
exp41a_ru_27613666cd41f8e5d24adadf,0.9375,11,189
exp41a_ru_27688caf08bba0f37b2f7ed5,0.8333333333333334,12,250
exp41a_ru_27aca4072fc85b8ce7752a26,0.9117647058823529,10,237
exp41a_ru_27fa87e61f5014e814e14494,0.6976744186046512,11,239
exp41a_ru_288f64b234daed9b3283ff3a,0.7362637362637363,10,188
exp41a_ru_28b4ea80968c6ff69b392ddf,0.6515151515151515,11,245
exp41a_ru_292d9b7f49b58661292d5552,0.927536231884058,5,191
exp41a_ru_292ef706cde143279a4af84e,0.7096774193548387,7,205
exp41a_ru_29a9c84ca52fdf5fa544dc26,0.9113924050632911,11,176
exp41a_ru_29b561d2ccc178ddba028013,0.8870967741935484,10,227
exp41a_ru_29dfd4fc122f86f104cecff6,0.8125,8,245
exp41a_ru_2ab3f7b2acf62ab4b1a34822,0.94,11,201
exp41a_ru_2ad21b4a4d18102e3726daf1,0.927536231884058,10,227
exp41a_ru_2ad61f99c27112c187ab701e,0.775,7,245
exp41a_ru_2b142c23ff166d3eedff3193,0.9117647058823529,10,241
exp41a_ru_2b27ad5b637cf3ca5e37df23,0.9302325581395349,12,186
exp41a_ru_2b2b9c6be5c06d3adcbd0225,0.7362637362637363,10,249
exp41a_ru_2b31cdceeb24947854567494,0.6376811594202898,12,201
exp41a_ru_2b48071ed1d57b56a5f467ed,0.9361702127659575,12,191
exp41a_ru_2b9d64122bdff0788de1e3c6,0.9117647058823529,11,237
exp41a_ru_2b9dc3966ea8b6dc560be4ef,0.9038461538461539,5,251
exp41a_ru_2c34c6dfcd6c879971cd9297,0.9038461538461539,5,240
exp41a_ru_2c42ea8385a28416d7d1d8cf,0.6060606060606061,10,223
exp41a_ru_2c53785dd01e981834cabd40,0.9361702127659575,11,246
exp41a_ru_2c54fd3b4d553d56c56f66b6,0.8333333333333334,12,212
exp41a_ru_2c641c5eefd85449db9c31ef,0.9444444444444444,10,204
exp41a_ru_2c8b94f01db255a35e1978d3,0.9444444444444444,10,208
exp41a_ru_2cefd14b34f3b92e0eb93f0b,0.90625,8,235
exp41a_ru_2d405b68b352f61b3e448298,0.9038461538461539,5,250
exp41a_ru_2dca50360e41262d15af6edb,0.8405797101449275,10,240
exp41a_ru_2e7eb662636a87b11a7d187a,0.8490566037735849,8,252
exp41a_ru_2ed23e9c751a98d987ddbee4,0.9206349206349206,12,249
exp41a_ru_2f3bc02e0336d7c30d6b4e25,0.9418604651162791,5,210
exp41a_ru_2fa6e7aaf54aa9b0c51cc52b,0.9484536082474226,8,253
exp41a_ru_2fd2caffa10a53a29754f9a3,0.6976744186046512,11,232
exp41a_ru_2fdabd8b52afeb362826af44,0.9230769230769231,12,246
exp41a_ru_2ff2ca57699f5995d784453a,0.9180327868852459,11,256
exp41a_ru_30356a7b1b4fd4e3f4af7ec4,0.9230769230769231,12,246
exp41a_ru_3062f5a267449b2f8a49aa3a,0.9166666666666666,12,217
exp41a_ru_30639207eb7f36268bfc0cdf,0.8372093023255814,12,240
exp41a_ru_306c66739e614905e9126a20,0.9230769230769231,12,247
exp41a_ru_3083a92d27de8bad1686f7c2,0.9032258064516129,10,232
exp41a_ru_30bdcac0b060d7a8ec6aa683,0.925,9,188
exp41a_ru_30e764ba7464aab977c21455,0.8985507246376812,12,253
exp41a_ru_3117a803034aef025a1a2d00,0.927536231884058,10,229
exp41a_ru_31373d385a1cd68b80612479,0.9206349206349206,12,249
exp41a_ru_317253ac750602c391be35ed,0.935064935064935,5,190
exp41a_ru_31b0749878ccf8c91dd82925,0.8875,12,188
exp41a_ru_32374fd61b55be953f9971ea,0.94,12,187
exp41a_ru_3303873e0c4fcb9d32e6dabb,0.9444444444444444,10,212
exp41a_ru_3312dd9bfdab61012d873357,0.6612903225806451,7,205
exp41a_ru_332e8100400dee0b9eb427ef,0.9484536082474226,8,253
exp41a_ru_337dd3e3598eab62b1a82145,0.8490566037735849,7,227
exp41a_ru_33c3032511cdec16d9761eb2,0.9206349206349206,12,249
exp41a_ru_33f6b735f99a4f8fe8dc387a,0.925531914893617,12,189
exp41a_ru_3473898c1fa0865830dee690,0.94,11,249
exp41a_ru_349010dc19ced86c959991b2,0.9180327868852459,11,232
exp41a_ru_3499c4a96078f0df188b2376,0.775,7,244
exp41a_ru_34c263fa497e142d09cb953a,0.9206349206349206,12,249
exp41a_ru_35255f8f8cb34485cf9742f3,0.9230769230769231,12,248
exp41a_ru_35351a8b311639cd3d43bb1c,0.6515151515151515,11,245
exp41a_ru_35687bb3ff00213887f452ad,0.7362637362637363,10,249
exp41a_ru_356e771f6fe91c43c5efcaeb,0.9375,11,183
exp41a_ru_35c2980e82e97c52d698be0a,0.8333333333333334,12,250
exp41a_ru_3605a06256c7558f92d8b166,0.9120879120879121,12,171
exp41a_ru_366830c758be03eab21b9313,0.90625,8,235
exp41a_ru_369dfe2521f57a04e00f5dd0,0.9206349206349206,12,249
exp41a_ru_36a75fcb9b5235cfe62e3070,0.90625,8,235
exp41a_ru_36d5de20270f58bb321bb9ba,0.9375,11,180
exp41a_ru_36d85fe13887d3cc21c37c88,0.8985507246376812,12,252
exp41a_ru_371c91ca573692af4447ed3f,0.6046511627906976,9,189
exp41a_ru_371cf5ceb34081e1920e23a1,0.9418604651162791,12,193
exp41a_ru_37203045893eb9c0560ee124,0.8875,9,180
exp41a_ru_377954d2ec726784e8cea0ae,0.9375,11,183
exp41a_ru_37f68946d969bf9e339183ad,0.9056603773584906,9,239
exp41a_ru_38837511a372d63fe3a492cc,0.9206349206349206,12,249
exp41a_ru_388a69f19416ab4733f28bc9,0.925531914893617,11,184
exp41a_ru_390be4a8b0b2d9c48f0b1e39,0.927536231884058,10,227
exp41a_ru_391933fe5fdf79347c36faa1,0.9056603773584906,9,250
exp41a_ru_39808f389ac2358c2f7fcb3d,0.8831168831168831,5,253
exp41a_ru_39c6355cdaace4e275170947,0.94,11,253
exp41a_ru_39e82a5aa76d6fef68f5e14b,0.7903225806451613,12,190
exp41a_ru_39fd903137f63e9cd9853fb6,0.9166666666666666,10,236
exp41a_ru_3ad786fdfec118e33682bc99,0.813953488372093,12,206
exp41a_ru_3adca065fafcdec5fe076807,0.8939393939393939,12,209
exp41a_ru_3b189b31a31f5186789e7ae8,0.9038461538461539,5,248
exp41a_ru_3b910fd1f413b84ebf551bed,0.6,9,215
exp41a_ru_3c5d5512e942efbfea008a4d,0.8115942028985508,10,244
exp41a_ru_3cb35bdbc442429cb16dce6a,0.9305555555555556,10,210
exp41a_ru_3cd22bd7f63185dd33185832,0.9056603773584906,6,222
exp41a_ru_3cd9475c2912b70b9665b8b5,0.9038461538461539,5,250
exp41a_ru_3ce2817fd5de54baa2c32f12,0.9367088607594937,11,194
exp41a_ru_3cec298cd5bcc195aec81875,0.825,12,191
exp41a_ru_3d7129e940ca51d73fb5e57f,0.8333333333333334,12,250
exp41a_ru_3d71c2521803ab0811693a4f,0.9056603773584906,9,239
exp41a_ru_3daf20f46338931c6fa1170f,0.8333333333333334,12,250
exp41a_ru_3ea3d38f43b9e775beac9924,0.9180327868852459,11,232
exp41a_ru_3eb25efb3d28801b4b7705ad,0.9230769230769231,12,246
exp41a_ru_3f25b9cabc962b79b3ff3014,0.813953488372093,12,186
exp41a_ru_3f2f7f911beb6c8fec67ce1d,0.6060606060606061,10,223
exp41a_ru_3f40914a8ad62aee921a095e,0.9375,11,188
exp41a_ru_3fc592df2660b7cc88834192,0.9230769230769231,12,247
exp41a_ru_400079831d624b946a7c7e7b,0.9444444444444444,10,209
exp41a_ru_406ed93a8c961a900ba67011,0.9375,10,205
exp41a_ru_40714a72550dc68b234b255c,0.9484536082474226,8,187
exp41a_ru_40c03d8c21bcc85b06feb471,0.9230769230769231,12,246
exp41a_ru_40c4732ba4a632afcfbf82e2,0.925531914893617,11,254
exp41a_ru_40ced9ad0ce1960a951f2639,0.927536231884058,10,229
exp41a_ru_41b34814819459ff03694d16,0.9230769230769231,12,247
exp41a_ru_41f7f51f313d9b7605a1f205,0.927536231884058,9,229
exp41a_ru_4240271b71b95e9a2b115129,0.8831168831168831,5,248
exp41a_ru_4242daf7f44f033296935d3a,0.9418604651162791,12,216
exp41a_ru_42bd334a04436f5edc6b1cdf,0.9038461538461539,5,250
exp41a_ru_437a2301c42a5f97438d9940,0.9206349206349206,12,249
exp41a_ru_43a07c2747c2bcc31fee272b,0.9056603773584906,9,250
exp41a_ru_43fcaf5b875cd5e2f2f6da1a,0.8888888888888888,12,249
exp41a_ru_442e5277b3d67d8cfee5db0f,0.9361702127659575,11,246
exp41a_ru_445a89da59d7abd19e8a6990,0.94,11,185
exp41a_ru_45070388167c175e9ac40147,0.9240506329113924,8,193
exp41a_ru_4529c7ecd85432a64882533a,0.8051948051948052,5,239
exp41a_ru_456a5df0e06f2a8f5989e454,0.925531914893617,11,185
exp41a_ru_45a35099fa13c324e91b20e0,0.6060606060606061,10,223
exp41a_ru_45bc4b03b19ad774288581d7,0.8604651162790697,12,224
exp41a_ru_4641cab25f83c40539c64b1e,0.9206349206349206,12,249
exp41a_ru_466e98136dc9b28043f411be,0.9206349206349206,12,249
exp41a_ru_46ed7b55fd89cf445f253614,0.813953488372093,12,186
exp41a_ru_47003bd77730cc0bf13cbcd5,0.8831168831168831,5,201
exp41a_ru_47737fceed27ed20406e9222,0.7252747252747253,7,190
exp41a_ru_47893b3053eb41cb1d4d3358,0.9418604651162791,5,203
exp41a_ru_47b90c3e3fc1baccb60ab6ec,0.9032258064516129,10,229
exp41a_ru_4817db3e088e7d2b606e0da3,0.9444444444444444,10,215
exp41a_ru_485e339e6cd13d6d16890236,0.9186046511627907,5,170
exp41a_ru_4975b9fc2f35b6edd643db73,0.9361702127659575,11,246
exp41a_ru_4978613bd6ac01c82c74b4b1,0.8679245283018868,12,180
exp41a_ru_49b5bfeb6a0066d552f876cd,0.8831168831168831,5,196
exp41a_ru_4ab33700098ab890c6fa444c,0.813953488372093,12,188
exp41a_ru_4b453b63c7e1a904635d8c63,0.8734177215189873,11,168
exp41a_ru_4b64ab5b36eea1a328b2da29,0.925531914893617,11,250
exp41a_ru_4b973d23bf79a56781e9b0c0,0.9120879120879121,12,177
exp41a_ru_4bd6a14a743f310348cb0f93,0.813953488372093,12,191
exp41a_ru_4c4d8b7eeca7c105402e2005,0.825,12,191
exp41a_ru_4c9fbe108c70cce009dee081,0.8679245283018868,8,247
exp41a_ru_4cc553d28c7c7bf8b5de6fee,0.9117647058823529,10,253
exp41a_ru_4cd0e4de0ab4ce030ec2f125,0.6666666666666666,12,190
exp41a_ru_4cebe3901f379962787754c2,0.9032258064516129,10,229
exp41a_ru_4d4b56bea7e7e11a28604f7a,0.9361702127659575,11,253
exp41a_ru_4d615cb10f98bf94119fd245,0.8301886792452831,11,180
exp41a_ru_4df858d2b33ee6fe217599d6,0.7362637362637363,10,249
exp41a_ru_4e3d132468c5cb51158b5ac9,0.9230769230769231,12,246
exp41a_ru_4e5f116d468da60454127f36,0.8607594936708861,11,193
exp41a_ru_4e703782bdd5fbc88eda7556,0.7790697674418605,12,190
exp41a_ru_4f54ce2e427f1656fa58c922,0.7032967032967034,9,196
exp41a_ru_4f7d3475c6c1b09fa86e282a,0.9444444444444444,10,204
exp41a_ru_4fd233aaa373b50a5a11c69e,0.9056603773584906,9,242
exp41a_ru_4fdbb18c2ea25d77496a49ac,0.9230769230769231,12,247
exp41a_ru_503141412c1c8f504bebce6a,0.8791208791208791,12,195
exp41a_ru_5042cbd027f6cb18c35f1eae,0.9038461538461539,5,238
exp41a_ru_508d58ceaf77efac53a484c2,0.9230769230769231,12,247
exp41a_ru_508e9421f54f16967a98efef,0.9444444444444444,10,209
exp41a_ru_50bc306f159259d74f38c840,0.7362637362637363,10,249
exp41a_ru_50f95db574344f60f035ee0b,0.9361702127659575,11,246
exp41a_ru_514a5eedf663c55e87e383c1,0.925531914893617,11,254
exp41a_ru_51698ebe6a62370dcfa3b7c2,0.9038461538461539,5,246
exp41a_ru_52218681f48c5c3129ac99f4,0.94,11,193
exp41a_ru_528d0fb095947b2be2baa572,0.9032258064516129,10,237
exp41a_ru_532df109ea63a6d78ef9a2df,0.9056603773584906,9,247
exp41a_ru_5330d4a5ebc89a3406250928,0.813953488372093,12,209
exp41a_ru_533b9ef226dcff3954d97b1b,0.927536231884058,10,227
exp41a_ru_534403bcad8dc50b6334451e,0.935064935064935,5,199
exp41a_ru_53512910242024754e8d9e7f,0.825,12,191
exp41a_ru_53b8920824acb7d1f46604b3,0.8571428571428571,10,178
exp41a_ru_53ec21a987518b6f63730449,0.9242424242424242,7,255
exp41a_ru_5434da25f0e60a285756f09f,0.9117647058823529,10,241
exp41a_ru_54b09bfaeda7b931f71cbf9a,0.9032258064516129,10,229
exp41a_ru_5501c8cb3eac4b96315624bf,0.851063829787234,12,220
exp41a_ru_55476a4734505eded6f7f950,0.9032258064516129,10,237
exp41a_ru_554a766e84cb1d00e5057005,0.8064516129032258,7,214
exp41a_ru_557b1aac8949b37482a51742,0.851063829787234,12,218
exp41a_ru_55b38ee6870735eb911abe7b,0.81,11,246
exp41a_ru_55c5375634908461f50dc50f,0.9305555555555556,9,213
exp41a_ru_561d19a7b47a0ac4fb31028c,0.6976744186046512,11,244
exp41a_ru_56211dd2b7ad4259645eca6d,0.927536231884058,10,229
exp41a_ru_56cf15939305b768075d9c16,0.7121212121212122,11,227
exp41a_ru_56e4c07dc15ddf4e7807a5bf,0.8372093023255814,11,253
exp41a_ru_570e02d53854bb866f68cb73,0.9038461538461539,5,250
exp41a_ru_5722a7c8050e939658e9d369,0.8829787234042553,12,209
exp41a_ru_577b7a3e5f2bcfdfc1596e04,0.9056603773584906,9,247
exp41a_ru_578552db2c8b96bc15b18eb4,0.94,11,238
exp41a_ru_57900d2b6346fcfab6bcaa3a,0.9206349206349206,12,249
exp41a_ru_57a20f15c102668c6a50136c,0.9230769230769231,12,248
exp41a_ru_582202d3618a16dfa58d9ed7,0.90625,8,235
exp41a_ru_58a99b7ac066f0b95b336b55,0.9117647058823529,11,235
exp41a_ru_58f223ce87883d9f4c0bb58b,0.9166666666666666,10,225
exp41a_ru_59ae3e22f0d9e6343f652bec,0.9186046511627907,5,188
exp41a_ru_59b1c488ed416b051f7f31c7,0.775,7,177
exp41a_ru_59b7e6412ac254c1f23aa1d3,0.9444444444444444,9,216
exp41a_ru_59dccc632be2fd7f9f1caff1,0.8860759493670886,12,196
exp41a_ru_5a053f5e47a6b4e44b46054a,0.9038461538461539,5,240
exp41a_ru_5a119390b649d534d7c578c3,0.927536231884058,10,229
exp41a_ru_5a3a06488aa5c1807e2d3c39,0.8604651162790697,12,185
exp41a_ru_5ae66df26ccdae2e71ede1d0,0.9230769230769231,12,248
exp41a_ru_5aeef9705e7c2312c049d66e,0.7032967032967034,9,196
exp41a_ru_5af82571cf419b67023d976b,0.6060606060606061,10,223
exp41a_ru_5b9d2e5db618a426d7b8b6b9,0.9230769230769231,12,246
exp41a_ru_5bc0b96fe9bf85996289c69d,0.83,8,205
exp41a_ru_5c028d1dbc1400b5f331b9a6,0.9038461538461539,5,245
exp41a_ru_5c242e89639cbe6c0047ffc4,0.9418604651162791,12,217
exp41a_ru_5c8037f637978b7a4bfe87af,0.8831168831168831,5,194
exp41a_ru_5cbbc1d0e3004dbba0a4054c,0.6060606060606061,10,225
exp41a_ru_5ce09a597765c31e4e6c54a4,0.8051948051948052,5,248
