item,value,status,details
score_logit_margin_lam0p05_alllow_exp13_probability_hinge_disabled,False,PASS,Exp14 must not reuse Exp13 probability-space q3 hinge.
score_logit_margin_lam0p05_alllow_logit_margin_enabled,True,PASS,
score_logit_margin_lam0p05_alllow_logit_margin_threshold_t,3,PASS,threshold tensor index is 2 in the loss implementation
score_logit_margin_lam0p05_alllow_selection_rule,mae_guard_low_to_high_then_p_gt_3,PASS,
score_logit_margin_lam0p05_alllow_selection_decode_mode,projected,PASS,
config_score_tail_logit_margin_lam0p02_top0p50,thesis_exp/configs/exp14_logit_margin_tail_risk_oc/exp14_score_tail_logit_margin_lam0p02_top0p50.yaml,PASS,
score_tail_logit_margin_lam0p02_top0p50_exp13_probability_hinge_disabled,False,PASS,Exp14 must not reuse Exp13 probability-space q3 hinge.
score_tail_logit_margin_lam0p02_top0p50_logit_margin_enabled,True,PASS,
score_tail_logit_margin_lam0p02_top0p50_logit_margin_threshold_t,3,PASS,threshold tensor index is 2 in the loss implementation
score_tail_logit_margin_lam0p02_top0p50_selection_rule,mae_guard_low_to_high_then_p_gt_3,PASS,
score_tail_logit_margin_lam0p02_top0p50_selection_decode_mode,projected,PASS,
config_score_tail_logit_margin_lam0p05_top0p50,thesis_exp/configs/exp14_logit_margin_tail_risk_oc/exp14_score_tail_logit_margin_lam0p05_top0p50.yaml,PASS,
score_tail_logit_margin_lam0p05_top0p50_exp13_probability_hinge_disabled,False,PASS,Exp14 must not reuse Exp13 probability-space q3 hinge.
score_tail_logit_margin_lam0p05_top0p50_logit_margin_enabled,True,PASS,
score_tail_logit_margin_lam0p05_top0p50_logit_margin_threshold_t,3,PASS,threshold tensor index is 2 in the loss implementation
score_tail_logit_margin_lam0p05_top0p50_selection_rule,mae_guard_low_to_high_then_p_gt_3,PASS,
score_tail_logit_margin_lam0p05_top0p50_selection_decode_mode,projected,PASS,
config_score_tail_logit_margin_lam0p02_top0p25,thesis_exp/configs/exp14_logit_margin_tail_risk_oc/exp14_score_tail_logit_margin_lam0p02_top0p25.yaml,PASS,
score_tail_logit_margin_lam0p02_top0p25_exp13_probability_hinge_disabled,False,PASS,Exp14 must not reuse Exp13 probability-space q3 hinge.
score_tail_logit_margin_lam0p02_top0p25_logit_margin_enabled,True,PASS,
score_tail_logit_margin_lam0p02_top0p25_logit_margin_threshold_t,3,PASS,threshold tensor index is 2 in the loss implementation
score_tail_logit_margin_lam0p02_top0p25_selection_rule,mae_guard_low_to_high_then_p_gt_3,PASS,
score_tail_logit_margin_lam0p02_top0p25_selection_decode_mode,projected,PASS,
config_point_pair_tail_logit_margin_lam0p02_top0p50,thesis_exp/configs/exp14_logit_margin_tail_risk_oc/exp14_point_pair_tail_logit_margin_lam0p02_top0p50.yaml,PASS,
point_pair_tail_logit_margin_lam0p02_top0p50_exp13_probability_hinge_disabled,False,PASS,Exp14 must not reuse Exp13 probability-space q3 hinge.
point_pair_tail_logit_margin_lam0p02_top0p50_logit_margin_enabled,True,PASS,
point_pair_tail_logit_margin_lam0p02_top0p50_logit_margin_threshold_t,3,PASS,threshold tensor index is 2 in the loss implementation
point_pair_tail_logit_margin_lam0p02_top0p50_selection_rule,mae_guard_low_to_high_then_p_gt_3,PASS,
point_pair_tail_logit_margin_lam0p02_top0p50_selection_decode_mode,projected,PASS,
